Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
AGE 10 - TAG A,A,Chamber1,9220,CAA,PRE,16,22.133,4.92,14.76,100.31,0,1741
AGE 10 - TAG A,A,Chamber1,9220,CAA,SHK1,1,1,0.22,50,20.87,0,159
AGE 10 - TAG A,A,Chamber1,9220,CAA,POST1,3,5.4,1.2,6.92,126.38,0,1068
AGE 10 - TAG A,A,Chamber1,9220,CAA,SHK2,0,0,0,0,355.22,44,882
AGE 10 - TAG A,A,Chamber1,9220,CAA,POST2,6,7,1.56,8.97,158.66,0,1447
AGE 10 - TAG A,A,Chamber1,9220,CAA,SHK3,0,0,0,0,406.73,4,1115
AGE 10 - TAG A,A,Chamber1,9220,CAA,POST3,4,5.467,1.21,7.01,171.4,0,1144
AGE 10 - TAG A,A,Chamber1,9220,CAA,SHK4,0,0,0,0,260.87,1,1075
AGE 10 - TAG A,A,Chamber1,9220,CAA,POST4,1,1.2,0.27,2.07,263.89,0,1770
AGE 10 - TAG A,A,Chamber2,9221,CAA,PRE,3,4.933,1.1,3.29,168.95,0,1301
AGE 10 - TAG A,A,Chamber2,9221,CAA,SHK1,0,0,0,0,26.12,0,123
AGE 10 - TAG A,A,Chamber2,9221,CAA,POST1,2,2.5,0.56,3.21,186.08,0,1236
AGE 10 - TAG A,A,Chamber2,9221,CAA,SHK2,0,0,0,0,409.03,7,955
AGE 10 - TAG A,A,Chamber2,9221,CAA,POST2,1,1.3,0.29,1.67,213.62,0,1454
AGE 10 - TAG A,A,Chamber2,9221,CAA,SHK3,1,1.233,0.27,61.67,37.67,0,192
AGE 10 - TAG A,A,Chamber2,9221,CAA,POST3,3,5.033,1.12,6.45,133.27,0,1180
AGE 10 - TAG A,A,Chamber2,9221,CAA,SHK4,0,0,0,0,57.35,0,180
AGE 10 - TAG A,A,Chamber2,9221,CAA,POST4,3,3.8,0.84,6.55,150.22,0,914
AGE 10 - TAG A,A,Chamber3,9278,CAA,PRE,1,1.267,0.28,0.84,157.46,0,1117
AGE 10 - TAG A,A,Chamber3,9278,CAA,SHK1,0,0,0,0,56.18,0,242
AGE 10 - TAG A,A,Chamber3,9278,CAA,POST1,0,0,0,0,164.93,0,1178
AGE 10 - TAG A,A,Chamber3,9278,CAA,SHK2,0,0,0,0,144.2,5,454
AGE 10 - TAG A,A,Chamber3,9278,CAA,POST2,0,0,0,0,152.19,0,848
AGE 10 - TAG A,A,Chamber3,9278,CAA,SHK3,0,0,0,0,45.55,0,228
AGE 10 - TAG A,A,Chamber3,9278,CAA,POST3,0,0,0,0,155.51,0,958
AGE 10 - TAG A,A,Chamber3,9278,CAA,SHK4,0,0,0,0,132.22,12,515
AGE 10 - TAG A,A,Chamber3,9278,CAA,POST4,0,0,0,0,150.52,0,957
AGE 10 - TAG A,A,Chamber4,9224,CAA,PRE,0,0,0,0,208.54,0,2297
AGE 10 - TAG A,A,Chamber4,9224,CAA,SHK1,0,0,0,0,361.65,14,751
AGE 10 - TAG A,A,Chamber4,9224,CAA,POST1,0,0,0,0,241.67,0,1379
AGE 10 - TAG A,A,Chamber4,9224,CAA,SHK2,0,0,0,0,640.05,18,1522
AGE 10 - TAG A,A,Chamber4,9224,CAA,POST2,0,0,0,0,203.04,0,1385
AGE 10 - TAG A,A,Chamber4,9224,CAA,SHK3,0,0,0,0,445.3,102,805
AGE 10 - TAG A,A,Chamber4,9224,CAA,POST3,0,0,0,0,229.74,0,1369
AGE 10 - TAG A,A,Chamber4,9224,CAA,SHK4,0,0,0,0,95.12,5,275
AGE 10 - TAG A,A,Chamber4,9224,CAA,POST4,0,0,0,0,228.15,0,1165
AGE 10 - TAG A,A,Chamber1,8004,SAA,PRE,7,9,2,6,133.78,0,1378
