Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
AGE 10 - RCTAG,A,Chamber1,8004,SAA,1,12,48.967,8.16,81.61,12.09,0,439
AGE 10 - RCTAG,A,Chamber1,8004,SAA,2,7,52.533,8.76,87.56,8.24,0,550
AGE 10 - RCTAG,A,Chamber1,8004,SAA,3,1,60,10,100,0.03,0,7
AGE 10 - RCTAG,A,Chamber1,8004,SAA,4,7,52.6,8.77,87.67,6.37,0,277
AGE 10 - RCTAG,A,Chamber1,8004,SAA,5,5,57.6,9.6,96,2.18,0,707
AGE 10 - RCTAG,A,Chamber1,8004,SAA,6,2,59.133,9.86,98.56,0.19,0,43
AGE 10 - RCTAG,A,Chamber1,8004,SAA,7,6,40,6.67,66.67,82.61,0,5362
AGE 10 - RCTAG,A,Chamber1,8004,SAA,8,5,17.5,2.92,29.17,110.29,0,772
AGE 10 - RCTAG,A,Chamber1,8004,SAA,9,4,49.1,8.18,81.83,20,0,527
AGE 10 - RCTAG,A,Chamber1,8004,SAA,10,3,57.1,9.52,95.17,4.29,0,662
AGE 10 - RCTAG,A,Chamber2,8006,SAA,1,10,15.767,2.63,26.28,83.39,0,1035
AGE 10 - RCTAG,A,Chamber2,8006,SAA,2,13,21.4,3.57,35.67,41.66,0,588
AGE 10 - RCTAG,A,Chamber2,8006,SAA,3,12,26.033,4.34,43.39,40.47,0,681
AGE 10 - RCTAG,A,Chamber2,8006,SAA,4,9,38.3,6.38,63.83,32.39,0,658
AGE 10 - RCTAG,A,Chamber2,8006,SAA,5,12,42.933,7.16,71.56,9.15,0,250
AGE 10 - RCTAG,A,Chamber2,8006,SAA,6,13,27.767,4.63,46.28,40.71,0,881
AGE 10 - RCTAG,A,Chamber2,8006,SAA,7,11,33.567,5.59,55.94,52.11,0,576
AGE 10 - RCTAG,A,Chamber2,8006,SAA,8,4,7.6,1.27,12.67,187.99,0,1448
AGE 10 - RCTAG,A,Chamber2,8006,SAA,9,2,3.733,0.62,6.22,152.73,0,824
AGE 10 - RCTAG,A,Chamber2,8006,SAA,10,2,2.5,0.42,4.17,244.79,0,1413
AGE 10 - RCTAG,A,Chamber3,9272,SAA,1,11,15.767,2.63,26.28,31.55,0,504
AGE 10 - RCTAG,A,Chamber3,9272,SAA,2,25,32.233,5.37,53.72,8.27,0,147
AGE 10 - RCTAG,A,Chamber3,9272,SAA,3,20,31.033,5.17,51.72,17.45,0,392
AGE 10 - RCTAG,A,Chamber3,9272,SAA,4,4,8.067,1.34,13.44,43.14,0,403
