[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,137988,AI,AI,TEMP ASSOC CTX,3.4409,16,18,1,35,0,50,38,88,5,5,4,14,20,22,9,51,0,1,2,3
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,96252,AcB,AcB,STRIATUM,2.9173,19,33,23,75,0,159,0,159,43,34,5,82,70,28,4,102,10,13,1,24
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,752887,BNST,BNST,STRIATUM,11.1627,286,283,197,766,0,1111,0,1111,235,203,120,558,321,155,49,525,36,61,3,100
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,79440,CLA,CLA,CORTICO-AMY,6.1644,2,3,0,5,0,17,53,70,1,2,0,3,4,4,0,8,1,1,1,3
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,3865040,Cpu,Cpu,STRIATUM,8.0264,1258,746,441,2445,0,4733,322,5055,667,531,236,1434,1071,984,534,2589,86,414,63,563
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,128327,EP,EP,OLFACTORY,3.0414,8,13,7,28,0,33,46,79,15,9,2,26,17,13,2,32,1,2,1,4
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,1144674,FBRS,FBRS,V&F,8.2057,593,424,344,1361,0,1565,18,1583,358,391,182,931,570,439,144,1153,95,99,6,200
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,127914,Gus,Gus,VISC CTX,3.3272,19,16,7,42,0,47,22,69,15,10,5,30,18,17,6,41,1,3,2,6
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,67464,HY,HY,HYPOTHAL,NaN,59,32,42,133,0,105,0,105,12,20,30,62,8,11,19,38,1,1,0,2
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,358919,LH,LH,HYPOTHAL,5.9255,82,107,51,240,0,79,1,80,35,40,7,82,96,64,9,169,3,7,0,10
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,649753,LSC,LSC,STRIATUM,15.7614,254,150,108,512,0,1334,0,1334,214,286,304,804,119,137,113,369,38,45,0,83
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,181338,MH,MH,HYPOTHAL,0,145,62,46,253,0,219,0,219,42,54,82,178,63,76,39,178,3,5,1,9
01_01_0_8492_LEFT_COUNTS.tif,8492,27,1,LEFT,0,3531,4597,11741.3424,4932.9298,20510.2324,7543.4843,12480.2503,13073.0365,18146.9556,7371.0362,9985,18513,7785,8913,703294,MoP,Mo,MOTOR CTX,5.8587,143,153,70,366,0,532,5,537,76,92,64,232,115,174,108,397,15,26,0,41
