[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,474362,AuD,ACtx,AUD CTX,5.4494,68,94,23,185,0,609,22,631,182,171,13,366,281,315,158,754,58,92,21,171
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,480212,AuP,ACtx,AUD CTX,6.6219,60,89,30,179,0,949,16,965,143,203,8,354,311,349,169,829,112,89,14,215
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,485363,AuV,ACtx,AUD CTX,6.9053,112,132,55,299,0,822,23,845,178,225,42,445,291,325,191,807,71,109,31,211
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,123580,CA1p,CA1,SUBIC-HPC,15.403,22,23,10,55,0,358,2,360,26,87,77,190,54,22,1,77,11,7,0,18
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,672626,CA1s,CA1,SUBIC-HPC,8.9206,122,163,57,342,0,1805,164,1969,119,516,397,1032,315,230,92,637,32,56,48,136
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,93468,CA2s,CA2,SUBIC-HPC,10.6518,17,19,2,38,0,428,3,431,55,105,39,199,64,48,36,148,36,46,6,88
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,850456,CA3p,CA3,SUBIC-HPC,10.8891,924,343,214,1481,0,1523,224,1747,466,537,181,1184,684,666,262,1612,121,201,200,522
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,1063507,CA3s,CA3,SUBIC-HPC,11.2798,759,259,67,1085,0,1376,82,1458,777,625,111,1513,859,441,127,1427,102,111,43,256
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,525777,COA,COA,OLFACTORY,10.0558,252,260,139,651,0,1069,85,1154,51,171,126,348,152,230,190,572,47,161,82,290
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,97535,DGg,DG,SUBIC-HPC,12.212,70,48,23,141,0,358,12,370,33,55,62,150,82,69,39,190,20,41,5,66
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,312149,DGm,DG,SUBIC-HPC,10.3165,94,120,37,251,0,919,24,943,316,292,182,790,282,206,60,548,36,56,12,104
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,188750,ECT,ECT,TEMP ASSOC CTX,9.0596,51,77,31,159,0,510,16,526,26,124,62,212,95,105,70,270,28,65,43,136
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,604819,ENT,ENT,TEMP ASSOC CTX,11.7559,321,336,169,826,0,2039,42,2081,116,418,275,809,222,384,366,972,178,330,80,588
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,87837,EP,EP,OLFACTORY,12.4093,13,38,11,62,0,334,3,337,19,62,35,116,32,42,47,121,15,49,14,78
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,2125007,FBRS,FBRS,V&F,7.1938,722,578,174,1474,0,3068,124,3192,1267,1208,364,2839,1984,1095,382,3461,257,410,83,750
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,402738,LAT,LAT,THALAMIC,12.1101,81,21,0,102,0,224,19,243,1257,184,0,1441,1119,534,8,1661,87,33,10,130
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,485735,LGN,LGN,THALAMIC,7.9914,88,21,0,109,0,46,0,46,455,66,0,521,642,185,1,828,16,9,0,25
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,489601,LH,LH,HYPOTHAL,3.8817,115,72,3,190,0,208,0,208,348,183,0,531,1060,249,32,1341,43,46,3,92
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,1439007,MBm,MBm,MIDBRAIN,12.8805,443,207,46,696,0,1369,28,1397,2835,1689,77,4601,3453,2088,206,5747,241,206,25,472
03_01_-2.5_3607_LEFT_RECOUNT.tif,3607,52,01,LEFT,-2.5,4347,5477,8574.4304,1086.6521,6867.5565,4806.0512,12122.9032,3379.5152,11926.2266,5890.8795,14646,37184,24590,32461,108629,MED,MED,THALAMIC,13.1438,40,35,13,88,0,104,4,108,154,133,10,297,242,185,21,448,28,10,5,43
