"Width","Height","Name"
"?451 pixels","?2029 pixels","01_01_-0.3_8351_LEFT_THUMB.tif"
"?449 pixels","?2029 pixels","01_01_-0.3_8351_RIGHT_THUMB.tif"
"?471 pixels","?1849 pixels","02_01_-0.5_8351_LEFT_THUMB.tif"
"?482 pixels","?1849 pixels","02_01_-2.9_8351_RIGHT_THUMB.tif"
"?473 pixels","?1849 pixels","03_01_-0.7_8351_LEFT_THUMB.tif"
"?483 pixels","?1849 pixels","03_01_-2.9_8351_RIGHT_THUMB.tif"
"?1524 pixels","?406 pixels","04_01_2.2_8351_LEFT_THUMB.tif"
"?1524 pixels","?428 pixels","04_01_2.2_8351_RIGHT_THUMB.tif"
"?408 pixels","?1514 pixels","05_01_2.2_8351_LEFT_THUMB.tif"
"?429 pixels","?1514 pixels","05_01_2.2_8351_RIGHT_THUMB.tif"
"?1504 pixels","?427 pixels","06_01_1.7_8351_RIGHT_THUMB.tif"
"?407 pixels","?1504 pixels","06_01_2.2_8351_LEFT_THUMB.tif"
"?455 pixels","?1914 pixels","07_01_-0.3_8351_RIGHT_THUMB.tif"
"?457 pixels","?1914 pixels","07_01_-3.2_8351_LEFT_THUMB.tif"
"?455 pixels","?1904 pixels","08_01_-0.4_8351_RIGHT_THUMB.tif"
"?458 pixels","?1909 pixels","08_01_-0.6_8351_LEFT_THUMB.tif"
"?458 pixels","?1894 pixels","09_01_-0.1_8351_LEFT_THUMB.tif"
"?455 pixels","?1894 pixels","09_01_-0.4_8351_RIGHT_THUMB.tif"
"?476 pixels","?1809 pixels","10_01_-0.3_8351_RIGHT_THUMB.tif"
"?465 pixels","?1809 pixels","10_01_-3.4_8351_LEFT_THUMB.tif"
"?465 pixels","?1799 pixels","11_01_-0.5_8351_LEFT_THUMB.tif"
"?477 pixels","?1799 pixels","11_01_-2.9_8351_RIGHT_THUMB.tif"
"?478 pixels","?1804 pixels","12_01_-3.4_8351_RIGHT_THUMB.tif"
"?465 pixels","?1809 pixels","12_01_0_8351_LEFT_THUMB.tif"
"?366 pixels","?1364 pixels","13_01_0.1_8351_RIGHT_THUMB.tif"
