"Width","Height","Name"
"?334 pixels","?1043 pixels","01_01_0_8056_LEFT_THUMB.tif"
"?334 pixels","?1178 pixels","01_01_0_8056_RIGHT_THUMB.tif"
"?336 pixels","?1023 pixels","02_01_0_8056_LEFT_THUMB.tif"
"?339 pixels","?1218 pixels","02_01_0_8056_RIGHT_THUMB.tif"
"?335 pixels","?1033 pixels","03_01_0_8056_LEFT_THUMB.tif"
"?341 pixels","?1218 pixels","03_01_0_8056_RIGHT_THUMB.tif"
"?333 pixels","?1328 pixels","04_01_2.2_8056_LEFT_THUMB.tif"
"?1088 pixels","?295 pixels","04_01_2.2_8056_RIGHT_THUMB.tif"
"?335 pixels","?1333 pixels","05_01_2.2_8056_LEFT_THUMB.tif"
"?1093 pixels","?297 pixels","05_01_2.2_8056_RIGHT_THUMB.tif"
"?301 pixels","?1093 pixels","06_01_0.4_8056_RIGHT_THUMB.tif"
"?338 pixels","?1328 pixels","06_01_1.6_8056_LEFT_THUMB.tif"
"?504 pixels","?1908 pixels","07_01_-3.2_8056_LEFT_THUMB.tif"
"?507 pixels","?1853 pixels","07_01_-3.4_8056_RIGHT_THUMB.tif"
"?502 pixels","?1943 pixels","08_01_-0.4_8056_LEFT_THUMB.tif"
"?505 pixels","?1873 pixels","08_01_-0.4_8056_RIGHT_THUMB.tif"
"?499 pixels","?1908 pixels","09_01_-0.4_8056_RIGHT_THUMB.tif"
"?502 pixels","?1983 pixels","09_01_-0.6_8056_LEFT_THUMB.tif"
"?1768 pixels","?431 pixels","10_01_2.2_8056_RIGHT_THUMB.tif"
"?1468 pixels","?415 pixels","10_01_2.3_8056_LEFT_THUMB.tif"
"?1618 pixels","?452 pixels","11_01_2.2_8056_LEFT_THUMB.tif"
"?1618 pixels","?452 pixels","11_01_2.2_8056_RIGHT_THUMB.tif"
"?1648 pixels","?442 pixels","12_01_2.2_8056_LEFT_THUMB.tif"
"?1673 pixels","?436 pixels","12_01_2.2_8056_RIGHT_THUMB.tif"
"?1858 pixels","?456 pixels","13_01_0.4_8056_RIGHT_THUMB.tif"
"?428 pixels","?1493 pixels","13_01_1.4_8056_LEFT_THUMB.tif"
"?469 pixels","?1713 pixels","14_01_0_8056_LEFT_THUMB.tif"
"?462 pixels","?1713 pixels","14_01_0_8056_RIGHT_THUMB.tif"
"?470 pixels","?1723 pixels","15_01_0_8056_LEFT_THUMB.tif"
"?463 pixels","?1728 pixels","15_01_0_8056_RIGHT_THUMB.tif"
"?485 pixels","?1708 pixels","16_01_0_8056_LEFT_THUMB.tif"
"?480 pixels","?1708 pixels","16_01_0_8056_RIGHT_THUMB.tif"
"?485 pixels","?1713 pixels","17_01_0_8056_LEFT_THUMB.tif"
"?480 pixels","?1718 pixels","17_01_0_8056_RIGHT_THUMB.tif"
"?489 pixels","?1738 pixels","18_01_0_8056_LEFT_THUMB.tif"
"?481 pixels","?1733 pixels","18_01_0_8056_RIGHT_THUMB.tif"
"?378 pixels","?1618 pixels","19_01_0.4_8056_RIGHT_THUMB.tif"
"?1508 pixels","?366 pixels","19_01_2.3_8056_LEFT_THUMB.tif"
"?1568 pixels","?424 pixels","20_01_2.5_8056_LEFT_THUMB.tif"
"?1563 pixels","?431 pixels","20_01_2.5_8056_RIGHT_THUMB.tif"
"?1528 pixels","?423 pixels","21_01_2.2_8056_LEFT_THUMB.tif"
"?1543 pixels","?432 pixels","21_01_2.2_8056_RIGHT_THUMB.tif"
"?1543 pixels","?385 pixels","22_01_2.2_8056_RIGHT_THUMB.tif"
"?1438 pixels","?408 pixels","22_01_2.5_8056_LEFT_THUMB.tif"
"?1568 pixels","?386 pixels","23_01_2.2_8056_RIGHT_THUMB.tif"
"?1453 pixels","?405 pixels","23_01_2.5_8056_LEFT_THUMB.tif"
"?1463 pixels","?406 pixels","24_01_2.2_8056_LEFT_THUMB.tif"
"?1578 pixels","?386 pixels","24_01_2.2_8056_RIGHT_THUMB.tif"
"?516 pixels","?1958 pixels","25_01_0.7_8056_LEFT_THUMB.tif"
"?1973 pixels","?499 pixels","25_01_0.9_8056_RIGHT_THUMB.tif"
"?2078 pixels","?518 pixels","26_01_-0.1_8056_LEFT_THUMB.tif"
"?498 pixels","?2023 pixels","26_01_-0.4_8056_RIGHT_THUMB.tif"
"?517 pixels","?2093 pixels","27_01_-0.7_8056_LEFT_THUMB.tif"
"?498 pixels","?2033 pixels","27_01_-0.8_8056_RIGHT_THUMB.tif"
"?455 pixels","?1533 pixels","28_01_0_8056_LEFT_THUMB.tif"
"?457 pixels","?1653 pixels","28_01_0_8056_RIGHT_THUMB.tif"
"?455 pixels","?1603 pixels","29_01_2.2_8056_RIGHT_THUMB.tif"
"?1593 pixels","?450 pixels","29_01_2.5_8056_LEFT_THUMB.tif"
"?1563 pixels","?447 pixels","30_01_1.6_8056_LEFT_THUMB.tif"
"?1588 pixels","?453 pixels","30_01_1.6_8056_RIGHT_THUMB.tif"
"?364 pixels","?1388 pixels","31_01_2.3_8056_LEFT_THUMB.tif"
"?314 pixels","?1243 pixels","31_01_2.3_8056_RIGHT_THUMB.tif"
"?370 pixels","?1408 pixels","32_01_1.9_8056_LEFT_THUMB.tif"
"?296 pixels","?1273 pixels","32_01_2.3_8056_RIGHT_THUMB.tif"
"?373 pixels","?1418 pixels","33_01_1.9_8056_LEFT_THUMB.tif"
"?301 pixels","?1283 pixels","33_01_2.3_8056_RIGHT_THUMB.tif"
"?523 pixels","?2133 pixels","55_01_-3.4_8056_LEFT_THUMB.tif"
"?505 pixels","?2043 pixels","55_01_-3.4_8056_RIGHT_THUMB.tif"
"?523 pixels","?2133 pixels","55_01_-3.5_8056_LEFT_THUMB.tif"
"?505 pixels","?2043 pixels","55_01_-3.5_8056_RIGHT_THUMB.tif"
"?2133 pixels","?520 pixels","56_01_-0.1_8056_LEFT_THUMB.tif"
"?2033 pixels","?502 pixels","56_01_-0.1_8056_RIGHT_THUMB.tif"
"?2153 pixels","?513 pixels","57_01_-0.1_8056_LEFT_THUMB.tif"
"?2053 pixels","?493 pixels","57_01_-0.1_8056_RIGHT_THUMB.tif"
"?492 pixels","?1913 pixels","59_01_-1.7_8056_RIGHT_THUMB.tif"
"?501 pixels","?2023 pixels","59_01_-3.4_8056_LEFT_THUMB.tif"
"?1938 pixels","?489 pixels","60_01_-0.1_8056_RIGHT_THUMB.tif"
"?2023 pixels","?499 pixels","60_01_0_8056_LEFT_THUMB.tif"
"?495 pixels","?1693 pixels","61_01_-3.2_8056_LEFT_THUMB.tif"
"?498 pixels","?1918 pixels","61_01_-3.4_8056_RIGHT_THUMB.tif"
"?499 pixels","?1758 pixels","62_01_-1.3_8056_RIGHT_THUMB.tif"
"?499 pixels","?1793 pixels","62_01_-3.4_8056_LEFT_THUMB.tif"
"?1783 pixels","?500 pixels","63_01_-0.1_8056_LEFT_THUMB.tif"
"?1753 pixels","?499 pixels","63_01_-0.1_8056_RIGHT_THUMB.tif"
"?827 pixels","?2823 pixels","64_01_-3.4_8056_RIGHT_THUMB.tif"
"?827 pixels","?2823 pixels","64_01_-3.5_8056_RIGHT_THUMB.tif"
"?837 pixels","?2943 pixels","64_01_-3.6_8056_LEFT_THUMB.tif"
"?837 pixels","?2943 pixels","64_01_-3.7_8056_LEFT_THUMB.tif"
"?549 pixels","?2148 pixels","67_01_-3.5_8056_LEFT_THUMB.tif"
"?549 pixels","?2018 pixels","67_01_-3.5_8056_RIGHT_THUMB.tif"
"?549 pixels","?2148 pixels","67_01_0_8056_LEFT_THUMB.tif"
"?549 pixels","?2018 pixels","67_01_0_8056_RIGHT_THUMB.tif"
"?2108 pixels","?564 pixels","68_01_-1.7_8056_LEFT_THUMB.tif"
"?556 pixels","?2118 pixels","68_01_-3.4_8056_RIGHT_THUMB.tif"
"?562 pixels","?2113 pixels","69_01_-1.3_8056_RIGHT_THUMB.tif"
"?2103 pixels","?562 pixels","69_01_-1.7_8056_LEFT_THUMB.tif"
"?1958 pixels","?536 pixels","73_01_-0.5_8056_LEFT_THUMB.tif"
"?2118 pixels","?544 pixels","73_01_-0.5_8056_RIGHT_THUMB.tif"
"?2143 pixels","?541 pixels","74_01_-0.4_8056_RIGHT_THUMB.tif"
"?534 pixels","?1943 pixels","74_01_-0.5_8056_LEFT_THUMB.tif"
"?2163 pixels","?541 pixels","75_01_-0.4_8056_RIGHT_THUMB.tif"
"?532 pixels","?1923 pixels","75_01_-0.7_8056_LEFT_THUMB.tif"
"?1938 pixels","?524 pixels","77_01_-0.2_8056_RIGHT_THUMB.tif"
"?2118 pixels","?531 pixels","77_01_-0.3_8056_LEFT_THUMB.tif"
"?1938 pixels","?524 pixels","78_01_-0.2_8056_RIGHT_THUMB.tif"
"?2133 pixels","?533 pixels","78_01_-0.3_8056_LEFT_THUMB.tif"
"?589 pixels","?1888 pixels","82_01_-3.3_8056_LEFT_THUMB.tif"
"?567 pixels","?1768 pixels","82_01_-3.4_8056_RIGHT_THUMB.tif"
"?2218 pixels","?560 pixels","83_01_-2.1_8056_LEFT_THUMB.tif"
"?560 pixels","?2338 pixels","83_01_-3.5_8056_RIGHT_THUMB.tif"
"?2228 pixels","?564 pixels","84_01_-1.9_8056_LEFT_THUMB.tif"
"?2338 pixels","?564 pixels","84_01_-2.1_8056_RIGHT_THUMB.tif"
"?524 pixels","?2148 pixels","86_01_-3.5_8056_LEFT_THUMB.tif"
"?524 pixels","?2223 pixels","86_01_-3.5_8056_RIGHT_THUMB.tif"
"?524 pixels","?2148 pixels","86_01_0_8056_LEFT_THUMB.tif"
"?524 pixels","?2223 pixels","86_01_0_8056_RIGHT_THUMB.tif"
"?524 pixels","?2158 pixels","87_01_-3.5_8056_LEFT_THUMB.tif"
"?524 pixels","?2223 pixels","87_01_-3.5_8056_RIGHT_THUMB.tif"
