[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,572215,AI,AI,TEMP ASSOC CTX,2.8496,162,210,160,532,10,11,13,34,42,59,48,149,49,85,54,188,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,144173,DP,DP,OLFACTORY,4.034,49,67,26,142,0,0,0,0,17,18,1,36,21,15,2,38,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,144896,EP,EP,OLFACTORY,6.2721,64,102,65,231,0,0,0,0,28,45,87,160,15,28,9,52,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,268978,FBRS,FBRS,V&F,4.8483,108,119,84,311,0,0,0,0,47,75,97,219,28,51,28,107,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,601252,InfL,InfL,PFC,4.2854,271,364,186,821,1,0,0,1,42,47,19,108,57,67,14,138,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,2082749,MoP,Mo,MOTOR CTX,5.0405,926,1131,768,2825,135,203,247,585,243,244,171,658,246,260,170,676,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,884781,MoS,Mo,MOTOR CTX,4.7428,378,558,449,1385,15,15,15,45,76,47,23,146,92,146,91,329,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,1008655,OC,OC,PFC,3.4784,409,500,285,1194,13,17,30,60,51,25,29,105,52,76,44,172,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,654066,ON,ON,OLFACTORY,4.4781,213,357,198,768,0,0,0,0,120,136,89,345,51,68,29,148,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,64805,OTub,OTub,OLFACTORY,1.95,14,30,31,75,0,0,0,0,8,9,9,26,4,3,4,11,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,958214,PIR,PIR,OLFACTORY,4.9374,323,471,305,1099,0,0,0,0,147,216,271,634,107,141,101,349,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,276462,PrL,PrL,PFC,3.0923,99,149,65,313,0,0,0,0,2,4,6,12,0,0,0,0,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,582342,TaeT,TaeT,OLFACTORY,2.8587,154,266,134,554,0,0,0,0,94,112,106,312,40,38,23,101,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,218450,dACC,ACC,PFC,4.5718,90,121,89,300,0,0,0,0,10,7,6,23,23,21,5,49,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,1,RIGHT,2.2,2909,3712,8747.8699,40362.8816,32381.2016,18622.7762,5962.1624,20289.399,17336.2993,5091.0189,12198,1010,2614,3015,572215,AI,AI,TEMP ASSOC CTX,5.1979,221,276,198,695,37,43,92,172,36,40,13,89,97,138,55,290,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,1,RIGHT,2.2,2909,3712,8747.8699,40362.8816,32381.2016,18622.7762,5962.1624,20289.399,17336.2993,5091.0189,12198,1010,2614,3015,144173,DP,DP,OLFACTORY,4.8823,58,92,49,199,0,0,0,0,16,14,2,32,14,38,32,84,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,1,RIGHT,2.2,2909,3712,8747.8699,40362.8816,32381.2016,18622.7762,5962.1624,20289.399,17336.2993,5091.0189,12198,1010,2614,3015,144896,EP,EP,OLFACTORY,5.4826,64,68,59,191,0,0,0,0,13,19,5,37,16,25,9,50,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,1,RIGHT,2.2,2909,3712,8747.8699,40362.8816,32381.2016,18622.7762,5962.1624,20289.399,17336.2993,5091.0189,12198,1010,2614,3015,268978,FBRS,FBRS,V&F,3.3236,108,159,80,347,0,0,0,0,39,49,55,143,26,45,20,91,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,1,RIGHT,2.2,2909,3712,8747.8699,40362.8816,32381.2016,18622.7762,5962.1624,20289.399,17336.2993,5091.0189,12198,1010,2614,3015,601252,InfL,InfL,PFC,5.6575,267,347,195,809,0,1,0,1,76,95,61,232,100,123,44,267,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,1,RIGHT,2.2,2909,3712,8747.8699,40362.8816,32381.2016,18622.7762,5962.1624,20289.399,17336.2993,5091.0189,12198,1010,2614,3015,2082749,MoP,Mo,MOTOR CTX,3.6238,674,819,532,2025,106,146,231,483,89,119,39,247,191,222,44,457,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,1,RIGHT,2.2,2909,3712,8747.8699,40362.8816,32381.2016,18622.7762,5962.1624,20289.399,17336.2993,5091.0189,12198,1010,2614,3015,884781,MoS,Mo,MOTOR CTX,3.2632,343,406,272,1021,7,3,8,18,33,18,11,62,130,188,55,373,0,0,0,0
