[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,572215,AI,AI,TEMP ASSOC CTX,2.8496,165,214,162,541,10,12,13,35,43,61,50,154,50,88,54,192,1,4,4,9
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,144173,DP,DP,OLFACTORY,4.034,58,78,27,163,0,0,0,0,19,20,2,41,24,21,3,48,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,144896,EP,EP,OLFACTORY,6.2721,78,117,72,267,0,0,0,0,34,55,99,188,15,29,15,59,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,268978,FBRS,FBRS,V&F,4.8483,135,149,94,378,0,0,0,0,39,71,89,199,31,62,25,118,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,601252,InfL,InfL,PFC,4.2854,288,382,203,873,1,0,0,1,50,52,18,120,64,72,13,149,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,2082749,MoP,Mo,MOTOR CTX,5.0405,952,1180,814,2946,138,207,249,594,257,256,198,711,241,257,168,666,22,21,17,60
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,884781,MoS,Mo,MOTOR CTX,4.7428,378,553,446,1377,15,11,14,40,81,48,29,158,90,140,91,321,2,3,1,6
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,1008655,OC,OC,PFC,3.4784,444,537,315,1296,13,19,29,61,53,28,33,114,58,85,49,192,0,2,3,5
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,654066,ON,ON,OLFACTORY,4.4781,206,358,213,777,0,0,0,0,129,142,98,369,43,56,28,127,0,0,0,0
19_01_2.2_3663_LEFT_COUNTS.tif,3663,5,1,LEFT,2.2,2909,3897,9416.3096,35216.2428,32816.7221,20895.8395,6059.8658,19234.4722,19145.6428,6817.0041,12528,926,3490,2557,64805,OTub,OTub,OLFACTORY,1.95,18,35,40,93,0,0,0,0,14,11,16,41,3,3,1,7,0,0,0,0
