[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,447626,AI,AI,TEMP ASSOC CTX,0.8302,20,33,13,66,0,0,0,0,78,41,0,119,42,73,2,117,0,0,0,0
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,1304654,AcB,AcB,STRIATUM,0.3083,63,79,19,161,0,0,0,0,30,27,7,64,13,49,6,68,0,0,0,0
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,95560,CLA,CLA,CORTICO-AMY,1.531,12,10,1,23,0,0,0,0,26,19,2,47,10,30,4,44,0,0,0,0
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,1209073,Cpu,Cpu,STRIATUM,1.3713,188,238,96,522,0,0,0,0,173,290,100,563,84,162,15,261,0,0,0,0
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,248413,EP,EP,OLFACTORY,0.5036,15,17,8,40,0,0,0,0,18,2,0,20,9,23,2,34,0,0,0,0
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,805104,FBRS,FBRS,V&F,2.8683,115,184,72,371,0,0,0,0,172,297,150,619,54,92,18,164,0,0,0,0
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,392617,Gus,Gus,VISC CTX,2.0977,39,62,29,130,3,5,0,8,89,138,10,237,61,109,38,208,0,2,0,2
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,195988,InfL,InfL,PFC,2.5155,25,44,10,79,0,0,0,0,39,93,9,141,3,7,5,15,0,0,0,0
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,222864,LSC,LSC,STRIATUM,0.6309,20,32,11,63,0,0,0,0,31,63,28,122,21,45,22,88,0,0,0,0
10_01_1.4_8060_LEFT_COUNTS.tif,8060,13,1,LEFT,1.4,3529,4362,9007.3397,15454.8416,17062.6304,11228.2065,6699.7426,8366.9227,14641.7647,5915.935,2982,119,4578,2684,742243,MoP,Mo,MOTOR CTX,1.9422,63,89,42,194,0,0,0,0,209,172,99,480,53,135,29,217,0,0,0,0
