[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,420050,AuD,ACtx,AUD CTX,5.7157,216,225,133,574,19,7,5,31,415,239,176,830,18,39,9,66,1,0,1,2
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,553407,AuP,ACtx,AUD CTX,6.3465,309,324,195,828,11,9,4,24,593,326,256,1175,16,46,15,77,0,1,0,1
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,482775,AuV,ACtx,AUD CTX,7.3956,347,338,220,905,2,5,0,7,562,321,270,1153,13,25,8,46,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,174399,CA1p,CA1,SUBIC-HPC,12.6423,241,134,42,417,6,11,23,40,338,199,117,654,1,2,0,3,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,912086,CA1s,CA1,SUBIC-HPC,10.125,1050,672,298,2020,28,66,66,160,1103,1056,1184,3343,2,6,1,9,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,71204,CA2s,CA2,SUBIC-HPC,9.1722,76,64,13,153,5,4,3,12,69,73,138,280,0,0,0,0,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,124180,CA3p,CA3,SUBIC-HPC,9.9267,69,95,50,214,4,0,1,5,124,137,239,500,5,4,7,16,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,666874,CA3s,CA3,SUBIC-HPC,10.0695,923,490,292,1705,10,6,5,21,864,670,804,2338,11,22,9,42,0,1,0,1
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,301894,COA,COA,OLFACTORY,10.6942,317,205,141,663,0,0,0,0,751,317,122,1190,1,4,1,6,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,202213,Cpu,Cpu,STRIATUM,7.7428,448,85,85,618,2,0,0,2,88,56,117,261,2,2,0,4,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,92811,DGg,DG,SUBIC-HPC,12.422,94,109,40,243,2,2,2,6,114,123,156,393,1,0,0,1,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,349848,DGm,DG,SUBIC-HPC,12.0604,460,524,275,1259,33,18,5,56,417,379,451,1247,2,1,7,10,0,1,0,1
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,189307,ECT,ECT,TEMP ASSOC CTX,9.3715,168,175,116,459,0,0,0,0,291,174,121,586,8,16,24,48,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,196396,ENT,ENT,TEMP ASSOC CTX,9.5027,171,184,123,478,0,0,0,0,385,162,84,631,8,15,5,28,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,213333,EP,EP,OLFACTORY,11.4694,164,154,116,434,0,0,0,0,536,292,112,940,7,16,1,24,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,2554875,FBRS,FBRS,V&F,10.6712,2679,2134,1729,6542,58,39,3,100,3523,3327,3452,10302,23,33,15,71,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,153454,HY,HY,HYPOTHAL,6.1367,275,102,31,408,0,0,0,0,237,60,23,320,0,3,3,6,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,198274,ILM,ILM,THALAMIC,7.5623,109,116,42,267,4,0,0,4,292,235,149,676,2,3,0,5,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,251525,LA,LA,NUCLEAR AMY,9.4364,337,101,132,570,1,0,0,1,50,50,117,217,6,9,2,17,0,0,0,0
100_01_-2.3_3541_LEFT_COUNTS.tif,3541,50,1,LEFT,-2.3,4219,5220,4525.1374,21363.4658,18770.8311,30450.0416,4765.8602,15922.3469,19722.6917,8813.4505,34128,629,50187,1046,627227,LGN,LGN,THALAMIC,10.617,424,451,228,1103,7,2,1,10,1076,869,566,2511,7,1,0,8,0,0,0,0
