[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,420050,AuD,ACtx,AUD CTX,8.3347,394,386,241,1021,2,4,1,7,494,301,173,968,21,48,25,94,1,0,1,2
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,553407,AuP,ACtx,AUD CTX,9.1134,579,600,347,1526,10,1,0,11,691,371,284,1346,8,42,10,60,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,482775,AuV,ACtx,AUD CTX,10.7064,534,533,326,1393,2,0,0,2,921,410,229,1560,13,32,7,52,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,174399,CA1p,CA1,SUBIC-HPC,7.734,104,89,42,235,3,3,0,6,139,170,189,498,0,2,0,2,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,912086,CA1s,CA1,SUBIC-HPC,10.3212,875,775,446,2096,23,22,9,54,975,1136,1577,3688,9,17,5,31,1,0,0,1
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,71204,CA2s,CA2,SUBIC-HPC,8.5543,60,50,30,140,0,0,1,1,59,75,110,244,1,0,0,1,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,124180,CA3p,CA3,SUBIC-HPC,7.4827,264,157,76,497,3,1,0,4,174,126,150,450,0,1,1,2,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,666874,CA3s,CA3,SUBIC-HPC,6.7476,457,406,282,1145,14,2,1,17,420,479,585,1484,2,5,2,9,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,301894,COA,COA,OLFACTORY,4.8757,102,162,138,402,0,1,0,1,239,147,83,469,3,10,1,14,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,202213,Cpu,Cpu,STRIATUM,14.1366,332,308,160,800,0,0,0,0,258,176,181,615,0,2,2,4,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,92811,DGg,DG,SUBIC-HPC,10.5688,70,110,99,279,2,0,0,2,88,105,146,339,4,4,2,10,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,349848,DGm,DG,SUBIC-HPC,9.477,304,320,210,834,10,4,1,15,412,394,498,1304,2,11,4,17,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,189307,ECT,ECT,TEMP ASSOC CTX,10.9283,205,205,89,499,0,0,0,0,429,220,54,703,0,0,0,0,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,196396,ENT,ENT,TEMP ASSOC CTX,11.2136,282,228,72,582,0,0,0,0,442,203,62,707,0,1,0,1,0,0,0,0
100_01_-2.3_3541_RIGHT_COUNTS.tif,3541,50,1,RIGHT,-2.3,4219,5220,3776.7662,20259.0506,16296.1133,26747.5907,3962.0461,15423.8128,18193.4224,7827.865,37803,584,51869,966,213333,EP,EP,OLFACTORY,10.6664,214,199,77,490,0,0,1,1,503,243,110,856,5,8,0,13,0,0,0,0
