[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,572215,AI,AI,TEMP ASSOC CTX,10.0766,501,495,350,1346,50,62,131,243,750,626,154,1530,83,130,45,258,3,2,2,7
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,144173,DP,DP,OLFACTORY,10.0067,144,159,96,399,0,0,0,0,183,144,38,365,7,36,25,68,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,144896,EP,EP,OLFACTORY,11.1625,125,129,77,331,0,0,0,0,164,175,79,418,12,20,10,42,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,268978,FBRS,FBRS,V&F,7.0524,199,232,168,599,0,0,0,0,217,300,214,731,24,22,16,62,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,601252,InfL,InfL,PFC,11.6891,696,607,340,1643,0,1,0,1,703,690,345,1738,59,113,40,212,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,2082749,MoP,Mo,MOTOR CTX,6.9443,1131,1124,830,3085,91,120,191,402,1789,1386,330,3505,113,180,25,318,4,9,2,15
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,884781,MoS,Mo,MOTOR CTX,6.4557,515,535,425,1475,7,3,5,15,632,552,77,1261,73,111,34,218,0,2,0,2
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,1008655,OC,OC,PFC,10.2458,982,944,589,2515,25,30,57,112,1847,1035,440,3322,49,88,33,170,3,5,5,13
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,654066,ON,ON,OLFACTORY,11.6842,595,703,453,1751,0,0,0,0,609,781,523,1913,58,119,117,294,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,64805,OTub,OTub,OLFACTORY,0,42,40,38,120,0,0,0,0,37,61,51,149,1,1,2,4,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,958214,PIR,PIR,OLFACTORY,8.3575,855,873,452,2180,0,0,0,0,1019,1016,402,2437,78,222,167,467,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,276462,PrL,PrL,PFC,11.0247,220,233,129,582,1,0,0,1,718,225,54,997,10,32,9,51,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,582342,TaeT,TaeT,OLFACTORY,8.7632,419,491,379,1289,0,0,0,0,467,506,319,1292,19,41,20,80,0,0,0,0
19_01_2.2_3663_RIGHT_COUNTS.tif,3663,5,01,RIGHT,2.2,2909,3712,6900.2681,40152.7719,11633.8011,19505.4259,5999.1493,20287.0946,14570.7534,5462.8853,18881,1022,19107,2319,218450,dACC,ACC,PFC,8.5585,187,200,167,554,0,0,0,0,198,203,39,440,16,48,17,81,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,523064,AI,AI,TEMP ASSOC CTX,4.4987,249,302,255,806,5,3,4,12,258,370,144,772,36,72,50,158,1,2,2,5
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,99066,DP,DP,OLFACTORY,8.779,79,85,40,204,0,0,0,0,99,82,18,199,3,14,3,20,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,169114,EP,EP,OLFACTORY,13.6837,183,209,129,521,0,0,0,0,109,240,202,551,10,25,4,39,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,364653,FBRS,FBRS,V&F,9.5951,311,313,188,812,0,0,0,0,230,387,353,970,26,62,35,123,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,155040,Gus,Gus,VISC CTX,6.6047,103,108,65,276,2,3,1,6,89,144,46,279,14,15,14,43,0,1,0,1
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,634485,InfL,InfL,PFC,11.8034,669,601,347,1617,1,0,0,1,1736,392,97,2225,33,38,6,77,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,1925021,MoP,Mo,MOTOR CTX,10.5633,1737,1682,1160,4579,137,210,248,595,2361,2072,764,5197,211,265,183,659,14,23,19,56
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,980384,MoS,Mo,MOTOR CTX,10.2814,792,895,751,2438,18,16,20,54,1285,790,158,2233,74,150,92,316,1,6,1,8
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,846597,OC,OC,PFC,7.7758,738,731,372,1841,13,18,30,61,1290,585,194,2069,56,127,74,257,0,2,3,5
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,541713,ON,ON,OLFACTORY,9.2464,424,519,354,1297,0,0,0,0,508,695,328,1531,36,86,40,162,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,593836,OTub,OTub,OLFACTORY,3.2556,243,301,305,849,0,0,0,0,189,331,252,772,7,12,29,48,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,878614,PIR,PIR,OLFACTORY,9.8436,622,634,381,1637,0,0,0,0,505,857,668,2030,73,118,99,290,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,565990,PrL,PrL,PFC,13.3382,499,473,276,1248,0,0,0,0,1977,220,60,2257,3,3,0,6,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,435101,TaeT,TaeT,OLFACTORY,9.2296,297,329,218,844,0,0,0,0,384,448,224,1056,33,40,19,92,0,0,0,0
19_01_2_3663_LEFT_COUNTS.tif,3663,7,01,LEFT,2,2909,3897,7123.4984,35128.3655,11529.5773,20682.3665,6179.5038,19200.5276,16425.7158,7467.9325,20900,932,22107,2342,262556,dACC,ACC,PFC,10.9443,235,247,198,680,0,1,0,1,528,200,35,763,11,27,6,44,0,0,0,0
22_01_-0.8_3663_LEFT_COUNTS.tif,3663,35,01,LEFT,-0.8,4602,4829,7891.6498,29100.9957,14911.1607,24186.5062,6641.9787,21046.6926,16964.954,7206.6465,52025,510,59060,1324,247574,AI,AI,TEMP ASSOC CTX,10.9911,215,243,178,636,0,0,0,0,358,244,248,850,3,28,12,43,0,0,0,0
