[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,115414,AI,AI,TEMP ASSOC CTX,4.5263,12,10,8,30,0,0,0,0,94,87,18,199,8,4,1,13,0,0,0,0
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,265568,AcB,AcB,STRIATUM,4.4834,88,59,13,160,0,0,0,0,158,123,17,298,8,9,1,18,0,0,0,0
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,389932,BNST,BNST,STRIATUM,7.7268,166,138,94,398,0,0,0,0,210,259,177,646,14,24,15,53,0,0,0,0
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,87302,CLA,CLA,CORTICO-AMY,6.2519,35,36,8,79,7,5,7,19,67,70,18,155,2,2,0,4,0,0,0,0
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,3790254,Cpu,Cpu,STRIATUM,6.6202,1385,1266,477,3128,50,39,28,117,2367,2839,982,6188,93,168,27,288,1,2,1,4
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,109625,EP,EP,OLFACTORY,5.2388,27,34,11,72,0,0,0,0,88,69,15,172,1,2,0,3,0,0,0,0
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,1315366,FBRS,FBRS,V&F,7.2723,436,379,160,975,17,16,35,68,783,827,253,1863,49,64,19,132,0,0,0,0
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,166327,Gus,Gus,VISC CTX,4.5609,21,23,7,51,13,2,3,18,93,80,6,179,0,0,0,0,0,0,0,0
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,119112,HY,HY,HYPOTHAL,5.7156,30,33,32,95,0,0,0,0,62,43,7,112,7,10,1,18,0,0,0,0
10_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3045,4074,7634.4148,34563.5397,5817.7481,12349.2308,8428.2496,18668.7874,8287.9746,10810.9105,8660,920,16814,1173,243941,LH,LH,HYPOTHAL,0.3491,62,53,17,132,0,0,0,0,131,126,47,304,6,4,0,10,0,0,0,0
