[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,137988,AI,AI,TEMP ASSOC CTX,7.9905,83,158,65,306,3,0,3,6,265,179,1,445,0,0,0,0,0,0,0,0
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,96252,AcB,AcB,STRIATUM,10.2886,66,112,64,242,0,0,0,0,184,161,13,358,0,0,0,0,0,0,0,0
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,752887,BNST,BNST,STRIATUM,13.2475,465,900,1012,2377,0,0,0,0,821,1230,465,2516,0,1,0,1,0,0,0,0
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,79440,CLA,CLA,CORTICO-AMY,12.1287,75,107,40,222,15,9,8,32,96,103,13,212,0,0,0,0,0,0,0,0
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,3865040,Cpu,Cpu,STRIATUM,10.1525,2723,3877,3282,9882,245,204,130,579,3572,4281,1147,9000,6,4,0,10,0,0,0,0
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,128327,EP,EP,OLFACTORY,9.8226,129,152,94,375,6,7,5,18,171,151,31,353,0,0,0,0,0,0,0,0
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,1144674,FBRS,FBRS,V&F,12.0594,711,1172,1108,2991,15,15,11,41,1065,1568,708,3341,8,11,3,22,0,0,0,0
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,127914,Gus,Gus,VISC CTX,10.3366,90,146,102,338,1,0,1,2,232,204,26,462,0,0,0,0,0,0,0,0
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,67464,HY,HY,HYPOTHAL,4.648,31,63,107,201,0,0,0,0,27,79,45,151,0,0,0,0,0,0,0,0
13_01_0_9272_RIGHT_COUNTS.tif,9272,27,1,RIGHT,0,4112,5003,23357.5225,23876.2267,7325.7764,12398.9254,15938.0195,15394.024,11439.4691,3041.2938,50772,925,40074,510,358919,LH,LH,HYPOTHAL,10.0279,233,472,535,1240,0,0,0,0,581,538,43,1162,0,0,0,0,0,0,0,0
