"","Bregma.","File.Name.","n"
"1",-3,"46_01_-3_9272_LEFT_COUNTS.tif",34
"2",-3,"73_01_-3_3426_RIGHT_COUNTS.tif",34
"3",-3,"01_01_-3_8352_LEFT_COUNTS.tif",34
"4",-2,"79_01_-2_9265_LEFT_COUNTS.tif",39
"5",-2,"73_01_-2_8489_RIGHT_COUNTS.tif",39
"6",-2,"67_01_-2_3661_RIGHT_COUNTS.tif",39
"7",-1.5,"70_01_-1.5_3597_LEFT_COUNTS.tif",42
"8",-1.5,"43_01_-1.5_3531_LEFT_COUNTS.tif",42
"9",-1.5,"94_01_-1.5_3604_LEFT_COUNTS.tif",42
"10",-1,"37_01_-1_8492_LEFT_COUNTS.tif",35
"11",-1,"76_01_-1_3602_LEFT_COUNTS.tif",35
"12",-1,"43_01_-1_3603_LEFT_COUNTS.tif",35
"13",1,"40_01_1_9224_LEFT_COUNTS.tif",20
"14",1,"58_01_1_3431_RIGHT_COUNTS.tif",20
"15",1,"04_01_1_9229_RIGHT_COUNTS.tif",20
"16",1.5,"25_01_1.5_3597_RIGHT_COUNTS.tif",20
"17",1.5,"43_01_1.5_8364_RIGHT_COUNTS.tif",20
"18",1.5,"46_01_1.5_3663_LEFT_COUNTS.tif",20
"19",2,"19_01_2_8351_LEFT_COUNTS.tif",15
"20",2,"67_01_2_9265_LEFT_COUNTS.tif",15
"21",2,"10_01_2_3602_RIGHT_COUNTS.tif",15
