ID,SUBEXPT,GROUP,CODE,AGE,DOB,EXPT,DELTA.T,Mouse.ID.,VALENCE,CONTEXT,BATCH,FREEZE
3307,11B,SAB,C1,101,4/10/2015,AGE 11,1:31,3307,SHOCK,AB,C,4
3308,11B,SAB,C2,101,4/10/2015,AGE 11,1:41,3308,SHOCK,AB,C,3
3422,11B,SAA,A1,103,4/2/2015,AGE 11,1:32,3422,SHOCK,AA,C,29
3425,11B,SAA,D1,103,4/2/2015,AGE 11,1:28,3425,SHOCK,AA,C,8
3426,11B,SAA,D2,103,4/2/2015,AGE 11,1:28,3426,SHOCK,AA,C,1
3427,11B,SAA,A2,103,4/2/2015,AGE 11,1:39,3427,SHOCK,AA,C,3
3429,11B,SAA,A3,103,4/2/2015,AGE 11,1:43,3429,SHOCK,AA,C,29
3431,11B,SAB,D3,103,4/2/2015,AGE 11,1:47,3431,SHOCK,AB,C,0
3433,11B,SAB,D4,103,4/2/2015,AGE 11,1:26,3433,SHOCK,AB,C,5
3507,11B,SAA,A4,101,4/16/2015,AGE 11,1:38,3507,SHOCK,AA,C,16
3508,11B,SAA,A5,101,4/16/2015,AGE 11,1:44,3508,SHOCK,AA,C,22
3531,11B,SAB,C3,101,4/10/2015,AGE 11,1:35,3531,SHOCK,AB,C,3
3539,11A,CAA,E1,100,4/20/2015,AGE 11,1:32,3539,CONTEXT,AA,C,8
3540,11A,CAA,E2,100,4/20/2015,AGE 11,1:36,3540,CONTEXT,AA,C,1
3541,11A,CAA,E3,100,4/20/2015,AGE 11,1:41,3541,CONTEXT,AA,C,25
3542,11A,CAA,E4,100,4/20/2015,AGE 11,1:40,3542,CONTEXT,AA,C,2
3595,11B,SAA,B1,98,5/1/2015,AGE 11,1:33,3595,SHOCK,AA,C,9
3596,11A,CAB,B2,98,5/1/2015,AGE 11,1:49,3596,CONTEXT,AB,C,2
3597,11B,SAB,B3,98,5/1/2015,AGE 11,1:33,3597,SHOCK,AB,C,7
3602,11A,CAA,F1,98,5/1/2015,AGE 11,1:49,3602,CONTEXT,AA,C,0
3603,11B,SAB,B4,98,5/1/2015,AGE 11,1:38,3603,SHOCK,AB,C,7
3604,11B,SAB,B5,98,5/1/2015,AGE 11,1:42,3604,SHOCK,AB,C,16
3606,11A,CAA,E5,98,5/1/2015,AGE 11,1:45,3606,CONTEXT,AA,C,4
3607,11A,CAA,F2,98,5/1/2015,AGE 11,1:31,3607,CONTEXT,AA,C,0
3608,11A,CAB,F3,98,5/1/2015,AGE 11,1:49,3608,CONTEXT,AB,C,1
3661,11A,CAA,G1,97,5/8/2015,AGE 11,1:36,3661,CONTEXT,AA,C,2
3662,11A,CAB,G2,97,5/8/2015,AGE 11,1:35,3662,CONTEXT,AB,C,2
