"","ID","File.Name.","bregma","sequence.no"
"1",3307,"07_01_0_3307_LEFT_RECOUNT.tif",0,"07"
"2",3307,"13_01_0.1_3307_LEFT_RECOUNT.tif",0.1,"13"
"3",3307,"13_01_0.1_3307_RIGHT_RECOUNT.tif",0.1,"13"
"4",3307,"16_01_0.1_3307_LEFT_RECOUNT.tif",0.1,"16"
"5",3307,"16_01_0.1_3307_RIGHT_RECOUNT.tif",0.1,"16"
"6",3307,"22_01_0.1_3307_LEFT_RECOUNT.tif",0.1,"22"
"7",3307,"22_01_0.1_3307_RIGHT_RECOUNT.tif",0.1,"22"
"8",3307,"25_01_0.3_3307_LEFT_RECOUNT.tif",0.3,"25"
"9",3307,"25_01_0.3_3307_RIGHT_RECOUNT.tif",0.3,"25"
"10",3307,"37_01_-0.7_3307_LEFT_RECOUNT.tif",-0.7,"37"
"11",3307,"46_01_-1_3307_LEFT_RECOUNT.tif",-1,"46"
"12",3307,"46_01_-1_3307_RIGHT_RECOUNT.tif",-1,"46"
"13",3307,"49_01_-0.8_3307_RIGHT_RECOUNT.tif",-0.8,"49"
"14",3422,"07_01_0.3_3422_RIGHT_RECOUNT.tif",0.3,"07"
"15",3422,"100_01_-0.9_3422_LEFT_RECOUNT.tif",-0.9,"100"
"16",3422,"100_01_-0.9_3422_RIGHT_RECOUNT.tif",-0.9,"100"
"17",3422,"25_01_0_3422_RIGHT_RECOUNT.tif",0,"25"
"18",3422,"31_01_1.8_3422_RIGHT_RECOUNT.tif",1.8,"31"
"19",3422,"37_01_0.9_3422_LEFT_RECOUNT.tif",0.9,"37"
"20",3422,"37_01_1.1_3422_RIGHT_RECOUNT.tif",1.1,"37"
"21",3422,"40_01_1.3_3422_LEFT_RECOUNT.tif",1.3,"40"
"22",3422,"40_01_1.3_3422_RIGHT_RECOUNT.tif",1.3,"40"
"23",3422,"43_01_-2_3422_LEFT_RECOUNT.tif",-2,"43"
"24",3422,"43_01_-2_3422_RIGHT_RECOUNT.tif",-2,"43"
"25",3422,"46_01_-0.1_3422_LEFT_RECOUNT.tif",-0.1,"46"
"26",3422,"46_01_0_3422_RIGHT_RECOUNT.tif",0,"46"
"27",3422,"49_01_0_3422_LEFT_RECOUNT.tif",0,"49"
"28",3422,"49_01_0_3422_RIGHT_RECOUNT.tif",0,"49"
"29",3422,"52_01_1.4_3422_LEFT_RECOUNT.tif",1.4,"52"
"30",3422,"52_01_1.4_3422_RIGHT_RECOUNT.tif",1.4,"52"
"31",3422,"55_01_-1.6_3422_LEFT_RECOUNT.tif",-1.6,"55"
"32",3422,"55_01_-1.6_3422_RIGHT_RECOUNT.tif",-1.6,"55"
"33",3422,"61_01_-0.4_3422_LEFT_RECOUNT.tif",-0.4,"61"
"34",3422,"64_01_-1.3_3422_RIGHT_RECOUNT.tif",-1.3,"64"
"35",3422,"67_01_0_3422_LEFT_RECOUNT.tif",0,"67"
"36",3422,"67_01_0_3422_RIGHT_RECOUNT.tif",0,"67"
"37",3422,"70_01_-1.7_3422_RIGHT_RECOUNT.tif",-1.7,"70"
"38",3422,"73_01_0.8_3422_LEFT_RECOUNT.tif",0.8,"73"
"39",3422,"73_01_0.8_3422_RIGHT_RECOUNT.tif",0.8,"73"
"40",3422,"76_01_-0.5_3422_LEFT_RECOUNT.tif",-0.5,"76"
"41",3422,"76_01_-0.5_3422_RIGHT_RECOUNT.tif",-0.5,"76"
"42",3422,"79_01_0.3_3422_LEFT_RECOUNT.tif",0.3,"79"
"43",3422,"79_01_0.4_3422_RIGHT_RECOUNT.tif",0.4,"79"
"44",3422,"94_01_-2.4_3422_LEFT_RECOUNT.tif",-2.4,"94"
"45",3422,"94_01_-2.5_3422_RIGHT_RECOUNT.tif",-2.5,"94"
"46",3425,"100_01_-1.7_3425_LEFT_RECOUNT.tif",-1.7,"100"
"47",3425,"100_01_-1.7_3425_RIGHT_RECOUNT.tif",-1.7,"100"
