"","x"
"1","Ch1m05sd"
"2","Ch1m05sdm05sd"
"3","Ch1m05sd1"
"4","Ch1Total"
"5","Ch2m05sd"
"6","Ch2m05sdm05sd"
"7","Ch2m05sd1"
"8","Ch2Total"
"9","Ch3m05sd"
"10","Ch3m05sdm05sd"
"11","Ch3m05sd1"
"12","Ch3Total"
"13","Ch4m05sd"
"14","Ch4m05sdm05sd"
"15","Ch4m05sd1"
"16","Ch4Total"
"17","OLm05sd"
"18","OLm05sdm05sd"
"19","OLm05sd1"
"20","OLTotal"
"21","Ch1m05sdperMM2"
"22","Ch1m05sdm05sdperMM2"
"23","Ch1m05sd1perMM2"
"24","Ch1TotalperMM2"
"25","Ch2m05sdperMM2"
"26","Ch2m05sdm05sdperMM2"
"27","Ch2m05sd1perMM2"
"28","Ch2TotalperMM2"
"29","Ch3m05sdperMM2"
"30","Ch3m05sdm05sdperMM2"
"31","Ch3m05sd1perMM2"
"32","Ch3TotalperMM2"
"33","Ch4m05sdperMM2"
"34","Ch4m05sdm05sdperMM2"
"35","Ch4m05sd1perMM2"
"36","Ch4TotalperMM2"
"37","OLm05sdperMM2"
"38","OLm05sdm05sdperMM2"
"39","OLm05sd1perMM2"
"40","OLTotalperMM2"
"41","Ch1m05sd_COUNTnormd"
"42","Ch1m05sdm05sd_COUNTnormd"
"43","Ch1m05sd1_COUNTnormd"
"44","Ch1Total_COUNTnormd"
"45","Ch2m05sd_COUNTnormd"
"46","Ch2m05sdm05sd_COUNTnormd"
"47","Ch2m05sd1_COUNTnormd"
"48","Ch2Total_COUNTnormd"
"49","Ch3m05sd_COUNTnormd"
"50","Ch3m05sdm05sd_COUNTnormd"
"51","Ch3m05sd1_COUNTnormd"
"52","Ch3Total_COUNTnormd"
"53","Ch4m05sd_COUNTnormd"
"54","Ch4m05sdm05sd_COUNTnormd"
"55","Ch4m05sd1_COUNTnormd"
"56","Ch4Total_COUNTnormd"
"57","OLm05sd_COUNTnormd"
"58","OLm05sdm05sd_COUNTnormd"
"59","OLm05sd1_COUNTnormd"
"60","OLTotal_COUNTnormd"
