"","x"
"1","MouseID"
"2","GROUP"
"3","CODE"
"4","ID"
"5","AGE"
"6","DOB"
"7","SUBEXPT"
"8","EXPT"
"9","DELTAT"
"10","Ch1TotalCoronalCount"
"11","Ch2TotalCoronalCount"
"12","Ch3TotalCoronalCount"
"13","Ch4TotalCoronalCount"
"14","ROIAreapx"
"15","SubROI_SubroiAGGR"
"16","MajorROI"
"17","System"
"18","nonzeropixels"
"19","fseq"
"20","PopMeans_subroiIndex"
"21","SubROI_SubroiAreaPX_PopMean"
"22","ROIAreapx_PopMean"
"23","Sample_roiAreaMM2"
"24","Pop_roiAreaMM2"
"25","areaNormFactor"
"26","nonzeropixelsperMM2"
"27","fseq_COUNTnormd"
