"","x"
"1","MouseID"
"2","GROUP"
"3","CODE"
"4","ID"
"5","AGE"
"6","DOB"
"7","SUBEXPT"
"8","EXPT"
"9","DELTAT"
"10","Ch1TotalCoronalCount"
"11","Ch2TotalCoronalCount"
"12","Ch3TotalCoronalCount"
"13","Ch4TotalCoronalCount"
"14","ROIAreapx"
"15","SubROI_SubroiAGGR"
"16","MajorROI"
"17","System"
"18","nonzeropixels"
"19","Ch1m05sd"
"20","Ch1m05sdm05sd"
"21","Ch1m05sd1"
"22","Ch1Total"
"23","Ch2m05sd"
"24","Ch2m05sdm05sd"
"25","Ch2m05sd1"
"26","Ch2Total"
"27","Ch3m05sd"
"28","Ch3m05sdm05sd"
"29","Ch3m05sd1"
"30","Ch3Total"
"31","Ch4m05sd"
"32","Ch4m05sdm05sd"
"33","Ch4m05sd1"
"34","Ch4Total"
"35","OLm05sd"
"36","OLm05sdm05sd"
"37","OLm05sd1"
"38","OLTotal"
"39","NormOLm05sd"
"40","NormOLm05sdm05sd"
"41","NormOLm05sd1"
"42","NormOLTotal"
"43","fseq"
"44","PopMeans_subroiIndex"
"45","SubROI_SubroiAreaPX_PopMean"
"46","ROIAreapx_PopMean"
"47","Sample_roiAreaMM2"
"48","Pop_roiAreaMM2"
"49","areaNormFactor"
"50","nonzeropixelsperMM2"
"51","Ch1m05sdperMM2"
"52","Ch1m05sdm05sdperMM2"
"53","Ch1m05sd1perMM2"
"54","Ch1TotalperMM2"
"55","Ch2m05sdperMM2"
"56","Ch2m05sdm05sdperMM2"
"57","Ch2m05sd1perMM2"
"58","Ch2TotalperMM2"
"59","Ch3m05sdperMM2"
"60","Ch3m05sdm05sdperMM2"
"61","Ch3m05sd1perMM2"
"62","Ch3TotalperMM2"
"63","Ch4m05sdperMM2"
"64","Ch4m05sdm05sdperMM2"
"65","Ch4m05sd1perMM2"
"66","Ch4TotalperMM2"
"67","OLm05sdperMM2"
"68","OLm05sdm05sdperMM2"
"69","OLm05sd1perMM2"
"70","OLTotalperMM2"
"71","NormOLm05sdperMM2"
"72","NormOLm05sdm05sdperMM2"
"73","NormOLm05sd1perMM2"
"74","NormOLTotalperMM2"
"75","Ch1m05sdm05sd_COUNTnormd"
"76","Ch1m05sd1_COUNTnormd"
"77","Ch1Total_COUNTnormd"
"78","Ch2m05sd_COUNTnormd"
"79","Ch2m05sdm05sd_COUNTnormd"
"80","Ch2m05sd1_COUNTnormd"
"81","Ch2Total_COUNTnormd"
"82","Ch3m05sd_COUNTnormd"
"83","Ch3m05sdm05sd_COUNTnormd"
"84","Ch3m05sd1_COUNTnormd"
"85","Ch3Total_COUNTnormd"
"86","Ch4m05sd_COUNTnormd"
"87","Ch4m05sdm05sd_COUNTnormd"
"88","Ch4m05sd1_COUNTnormd"
"89","Ch4Total_COUNTnormd"
"90","OLm05sd_COUNTnormd"
"91","OLm05sdm05sd_COUNTnormd"
"92","OLm05sd1_COUNTnormd"
"93","OLTotal_COUNTnormd"
"94","NormOLm05sd_COUNTnormd"
"95","NormOLm05sdm05sd_COUNTnormd"
"96","NormOLm05sd1_COUNTnormd"
"97","NormOLTotal_COUNTnormd"
"98","fseq_COUNTnormd"
