"","x"
"1","Ch1m05sd"
"2","Ch1m05sdm05sd"
"3","Ch1m05sd1"
"4","Ch1Total"
"5","Ch2m05sd"
"6","Ch2m05sdm05sd"
"7","Ch2m05sd1"
"8","Ch2Total"
"9","Ch3m05sd"
"10","Ch3m05sdm05sd"
"11","Ch3m05sd1"
"12","Ch3Total"
"13","Ch4m05sd"
"14","Ch4m05sdm05sd"
"15","Ch4m05sd1"
"16","Ch4Total"
"17","OLm05sd"
"18","OLm05sdm05sd"
"19","OLm05sd1"
"20","OLTotal"
"21","NormOLm05sd"
"22","NormOLm05sdm05sd"
"23","NormOLm05sd1"
"24","NormOLTotal"
"25","Ch1m05sd_COUNTnormd"
"26","Ch1m05sdm05sd_COUNTnormd"
"27","Ch1m05sd1_COUNTnormd"
"28","Ch1Total_COUNTnormd"
"29","Ch2m05sd_COUNTnormd"
"30","Ch2m05sdm05sd_COUNTnormd"
"31","Ch2m05sd1_COUNTnormd"
"32","Ch2Total_COUNTnormd"
"33","Ch3m05sd_COUNTnormd"
"34","Ch3m05sdm05sd_COUNTnormd"
"35","Ch3m05sd1_COUNTnormd"
"36","Ch3Total_COUNTnormd"
"37","Ch4m05sd_COUNTnormd"
"38","Ch4m05sdm05sd_COUNTnormd"
"39","Ch4m05sd1_COUNTnormd"
"40","Ch4Total_COUNTnormd"
"41","OLm05sd_COUNTnormd"
"42","OLm05sdm05sd_COUNTnormd"
"43","OLm05sd1_COUNTnormd"
"44","OLTotal_COUNTnormd"
"45","NormOLm05sd_COUNTnormd"
"46","NormOLm05sdm05sd_COUNTnormd"
"47","NormOLm05sd1_COUNTnormd"
"48","NormOLTotal_COUNTnormd"
