MouseID,GROUP,CODE,ID,AGE,DOB,SUBEXPT,EXPT,DELTAT,Ch1TotalCoronalCount,Ch2TotalCoronalCount,Ch3TotalCoronalCount,Ch4TotalCoronalCount,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,OLm05sd1perMM2,OLTotalperMM2,Ch1m05sd_COUNTnormd,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd,OLm05sd_COUNTnormd,OLm05sdm05sd_COUNTnormd,OLm05sd1_COUNTnormd,OLTotal_COUNTnormd
3307,SAB,1,3307,101,,11,11,91,307225,6007,6758.3,128539.2,1330234,AI,AI,TEMP ASSOC CTX,49.54343,980,1692.9,1206.9,3879.8,19.3,31.9,15.8,67,20.4,24.6,12.6,57.6,617.2,905.9,774.6,2297.7,4.5,14.2,9,27.7,180.6,1,AI,2593791.96078431,2.0453677984,3.98821451890196,0.512853004447497,479.131430917515,827.675101428839,590.065024463622,1896.87155680998,9.43595573133474,15.5962169859885,7.72477204948647,32.7569447668097,9.97375631705848,12.0271767352764,6.16026125465377,28.1611943069887,301.755019553358,442.903227824671,378.709394274191,1123.36764165222,2.20009330523349,6.94251665207012,4.40018661046698,13.5427965677706,2.0453677984,1910.87892924751,3300.94585645215,2353.30589766206,7565.13068336171,37.6326156474254,62.2010590234647,30.80804804297,130.64172271386,39.7774797516828,47.9669608770292,24.5684433760394,112.312884004751,1203.46375013425,1766.39308367889,1510.3743046889,4480.23113850204,8.7744440628712,27.6882457095047,17.5488881257424
3422,SAA,1,3422,103,,11,11,92,57983.1,4008.8,45185.6,136368,2143623,AI,AI,TEMP ASSOC CTX,27.9982933333333,398.7,543.133333333333,196.833333333333,1138.66666666667,16.8333333333333,17.2,6.86666666666667,40.9,205.566666666667,158.1,44.1666666666667,407.833333333333,982.6,1115,704.166666666667,2801.76666666667,3.53333333333333,4.8,3.53333333333333,11.8666666666667,501,1,AI,2593791.96078431,3.2960347248,3.98821451890196,0.826443690322723,120.963531421591,164.783862635516,59.7182219751271,345.465616032234,5.10714684122594,5.21839162390611,2.08331138473771,12.4088498498698,62.3678704353275,47.9667276592765,13.3999397319295,123.734537826533,298.115791258729,338.285270968332,213.640548556234,850.041610783295,1.07199517855436,1.45629533690403,1.07199517855436,3.60028569401274,3.2960347248,482.428512273243,657.193393443711,238.169079924212,1377.79098564117,20.3683971823416,20.8120652397787,8.30869271200469,49.489155134125,248.736446383169,191.301599674943,53.4418341912923,493.479880249405,1188.94972701201,1349.15422920659,852.04433757815,3390.14829379675,4.27534673530338,5.80801820644988,4.27534673530338
3425,SAA,1,3425,103,,11,11,88,264634.833333333,8686.5,19952.9166666667,153805.666666667,2622501,AI,AI,TEMP ASSOC CTX,59.6777583333333,2487.25,2269.91666666667,1286.25,6043.41666666667,122.833333333333,119.333333333333,84.4166666666667,326.583333333333,198.75,200.666666666667,109.416666666667,508.833333333333,1482.91666666667,1805.58333333333,1209.16666666667,4497.66666666667,34.3333333333333,41.0833333333333,23.5,98.9166666666667,636.25,1,AI,2593791.96078431,4.0323575376,3.98821451890196,1.01106836617961,616.822783398412,562.925446342659,318.982130926207,1498.73036066728,30.4619151917868,29.5939366042325,20.934816885536,80.9906686815552,49.2887840789766,49.7641056864468,27.1346639394953,126.187553704919,367.75426108402,447.773620393788,299.865935843166,1115.39381732097,8.51445662077079,10.1884153253398,5.82785623072176,24.5307281768324,4.0323575376,2460.02158033907,2245.06743816316,1272.16916583018,5977.25818433241,121.488652441444,118.026967636464,83.4925406534484,323.008160731357,196.574244282798,198.469928818859,108.218860689021,503.263033790677,1466.68288344335,1785.8172540358,1195.92967905384,4448.42981653299,33.957479515519,40.6335859251235,23.2427408334378
3426,SAA,2,3426,103,,11,11,88,351265.25,7743.83333333333,30442.4166666667,195777.5,2737292,AI,AI,TEMP ASSOC CTX,55.2709583333333,1675.16666666667,1827.66666666667,1121.58333333333,4624.41666666667,21.1666666666667,24.5833333333333,12.5833333333333,58.3333333333333,69.0833333333333,33.75,18.3333333333333,121.166666666667,1095.91666666667,1217.75,816.833333333333,3130.5,3.75,10.0833333333333,9.5,23.3333333333333,579.5,1,AI,2593791.96078431,4.2088601792,3.98821451890196,1.0553244213049,398.00957868481,434.242666387188,266.48149037503,1098.73373544703,5.02907337508416,5.84085293562924,2.9897247229831,13.8596510336965,16.413786724192,8.01879809806726,4.35589032487605,28.7884751471353,260.383243920204,289.330115079153,194.074713474704,743.788072474061,0.890977566451918,2.39573967868182,2.25714316834486,5.5438604134786,4.2088601792,1587.34758037281,1731.85290681208,1062.78534893233,4381.98583611723,20.0570234511339,23.2945744806477,11.9236635477214,55.275261479503,65.4617025235828,31.9806869988553,17.3722250364152,114.814614558853,1038.46423388135,1153.91056571425,774.011590031554,2966.38638962715,3.55340966653948,9.55472377002837,9.00197115523334
3429,SAA,3,3429,103,,11,11,103,327813.166666667,7553.66666666667,14624.9583333333,115918.333333333,1699668,AI,AI,TEMP ASSOC CTX,46.0099041666667,1392.29166666667,1931.875,1259.58333333333,4583.75,62.75,71.5,123.291666666667,257.541666666667,23.9166666666667,14.25,5.25,43.4166666666667,771.083333333333,914.625,578.5,2264.20833333333,19.875,18.2083333333333,16.875,54.9583333333333,339.75,1,AI,2593791.96078431,2.6134095168,3.98821451890196,0.655283085805406,532.749137751463,739.216333139206,481.969368075018,1753.93483896569,24.010779633509,27.3588963154724,47.1765583901415,98.5462343391229,9.15151893069997,5.45264716776897,2.00887000917804,16.613036107647,295.048796744832,349.973853741803,221.358342916095,866.38099340273,7.60500789188831,6.96727138103813,6.457082172358,21.0293614452844,2.6134095168,2124.71784611288,2948.15331243525,1922.19723142279,6995.06838997092,95.760139944516,109.1131475065,188.150235123388,393.023522574405,36.4982206694238,21.7463266009459,8.01180453719059,66.2563518075602,1176.71789496229,1395.77080472913,882.824557098048,3455.31325678947,30.3304028907929,27.7869728789864,25.7522288695412
3431,SAB,3,3431,103,,11,11,107,422166.921428571,4897.95952380952,34626.6166666667,204113.335714286,3655623,AI,AI,TEMP ASSOC CTX,84.5108576190476,2957.72142857143,3285.4380952381,1999.42142857143,8242.58095238095,40.5214285714286,27.8761904761905,22.102380952381,90.5,151.271428571429,95.6214285714286,46.5309523809524,293.42380952381,1507.51904761905,1922.91904761905,1470.88333333333,4901.32142857143,7.95952380952381,18.6142857142857,10.4761904761905,37.05,731.914285714286,1,AI,2593791.96078431,5.6208859248,3.98821451890196,1.409374018915,526.202002343015,584.505385662136,355.712863651929,1466.42025165708,7.20908218269354,4.95939445296292,3.93218813690253,16.100664772559,26.9123818905489,17.0118073646604,8.2782239318632,52.2024131870725,268.199545016151,342.102485861687,261.68176209441,871.983792972249,1.41606215034635,3.31162844493202,1.86379702707865,6.59148762235702,5.6208859248,2098.6064656197,2331.13286547412,1418.65920737682,5848.39853847063,28.7513662289758,19.7791289622686,15.6824098186487,64.2129050098931,107.332352194121,67.8467371245019,33.0153328757785,208.194422194402,1069.63731939631,1364.37810106603,1043.64300291678,3477.65842337912,5.64755962767884,13.2074846452866,7.43322236368139
3433,SAB,4,3433,103,,11,11,86,281003.125,3277.5,21232,135072.125,1328111,AI,AI,TEMP ASSOC CTX,45.5093,821.375,1232.5,1041.875,3095.75,6.875,9,5.625,21.5,88,51.125,41.875,181,600,732.5,569.75,1902.25,3.5,2.125,0.625,6.25,276.75,1,AI,2593791.96078431,2.0421034736,3.98821451890196,0.512034511664692,402.220068972317,603.544343336942,510.196967719413,1515.96138002867,3.3666266616158,4.40722035702432,2.7545127231402,10.5283597417803,43.0928212686823,25.0354600836521,20.5058169389326,88.6340982912669,293.814690468288,358.698767946702,279.001533157179,931.514991572169,1.71391902773168,1.04059369540852,0.3060569692378,3.060569692378,2.0421034736,1604.13991886914,2407.06431289754,2034.77495415832,6045.979185925,13.4268293315786,17.5769402158847,10.9855876349279,41.9893571823912,171.863415444206,99.8467853930116,81.7815968377968,353.491797675014,1171.79601439231,1430.56763423728,1112.71796533337,3715.08161396296,6.83547675062182,4.15011088430611,1.22062084832533
3507,SAA,4,3507,101,,11,11,98,243918.845238095,6494.9880952381,16762.1547619048,88642.5119047619,1377728,AI,AI,TEMP ASSOC CTX,37.9596369047619,913.428571428571,1566.36904761905,1046.03571428571,3525.83333333333,20.4285714285714,22.5833333333333,31.2619047619048,74.2738095238095,30.5833333333333,26.1904761904762,26.5714285714286,83.3452380952381,513.904761904762,580.178571428571,362.261904761905,1456.34523809524,9.47619047619048,16.797619047619,7.58333333333333,33.8571428571429,296.964285714286,1,AI,2593791.96078431,2.1183945728,3.98821451890196,0.531163647983318,431.189063244834,739.413264993731,493.787006309741,1664.38933454831,9.64342133938242,10.6605887417299,14.7573568981458,35.0613669792581,14.4370334620475,12.3633606915159,12.5431913924834,39.3435855460468,242.591615605163,273.876537864104,171.007757201286,687.475910670554,4.47328868656667,7.9294099707859,3.57975489113438,15.982453548487,2.1183945728,1719.67448242478,2948.9387189167,1969.32850780964,6637.94170915112,38.460032997614,42.5167147998098,58.8555050418032,139.832252839227,57.5779864632111,49.3077346123256,50.0249380248685,156.910659100405,967.507403520396,1092.27838469622,682.015620115031,2741.80140833165,17.8404348870051,31.6241879718143,14.2768304309325
3508,SAA,5,3508,101,,11,11,104,426167.071428571,17013.2142857143,29038.0714285714,147380.428571429,2990309,AI,AI,TEMP ASSOC CTX,74.1205285714286,2516.02380952381,4282.54761904762,2698.52380952381,9497.09523809524,57.1190476190476,59.4761904761905,123.928571428571,240.52380952381,120.261904761905,144.428571428571,136.142857142857,400.833333333333,1530.07142857143,1885.45238095238,1078.97619047619,4494.5,28.7142857142857,47.1428571428571,21.1666666666667,97.0238095238095,479.928571428571,1,AI,2593791.96078431,4.5978991184,3.98821451890196,1.15287156611272,547.211616595744,931.414002084039,586.903657525843,2065.52927620563,12.4228579505947,12.9355144479306,26.9533037235703,52.3116761220956,26.1558380610478,31.4118617458555,29.6097964824928,87.1774962893961,332.776206952507,410.068236035699,234.667217068403,977.511660056609,6.24508824027393,10.2531299467184,4.6035517791074,21.1017699660997,4.5978991184,2182.39731421896,3714.67884622015,2340.69768814123,8237.77384858034,49.5450224448183,51.5896065307028,107.495557242717,208.630186218239,104.315093109119,125.277243080562,118.09022023321,347.682556422891,1327.18290011311,1635.44009269809,935.903202222522,3898.52619503372,24.9067515916844,40.8916817176908,18.3599520439531
3531,SAB,3,3531,101,,11,11,95,278525.5,9259.5,19328,126974.5,1400841,AI,AI,TEMP ASSOC CTX,46.11505,1342.5,1474,978.5,3795,17,9.5,23,49.5,49.5,81,90,220.5,670.5,848.5,558,2077,5,9.5,8,22.5,241.5,1,AI,2593791.96078431,2.1539331216,3.98821451890196,0.540074539970589,623.278404764376,684.329511078354,454.285228351539,1761.89314419427,7.89253845884126,4.41053619758776,10.6781402678441,22.9812149242731,22.9812149242731,37.6056244215378,41.784027135042,102.370866480853,311.291002156063,393.930522489812,259.06096823726,964.282492883135,2.32133484083566,4.41053619758776,3.71413574533706,10.4460067837605,2.1539331216,2485.76798319934,2729.25289179577,1811.7869434343,7026.80781842941,31.4771364725428,17.5901644993622,42.5867140510873,91.6540150229923,91.6540150229923,149.979297310351,166.643663678168,408.276976011511,1241.49529440235,1571.0794292325,1033.19071480464,3845.76543843949,9.25798131545377,17.5901644993622,14.812770104726
