MouseID,GROUP,CODE,ID,AGE,DOB,SUBEXPT,EXPT,DELTAT,Ch1TotalCoronalCount,Ch2TotalCoronalCount,Ch3TotalCoronalCount,Ch4TotalCoronalCount,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,OLm05sd1perMM2,OLTotalperMM2,Ch1m05sd_COUNTnormd,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd,OLm05sd_COUNTnormd,OLm05sdm05sd_COUNTnormd,OLm05sd1_COUNTnormd,OLTotal_COUNTnormd
3307,SAB,1,3307,101,,11,11,91,178774.833333333,4395.33333333333,8884.16666666667,28472.5,1102161,AI,AI,TEMP ASSOC CTX,31.2824833333333,623,1067.83333333333,742.166666666667,2433,20.6666666666667,17.1666666666667,16.5,54.3333333333333,57.1666666666667,123.333333333333,4.33333333333333,184.833333333333,253.5,370.833333333333,190.333333333333,814.666666666667,0.333333333333333,6.83333333333333,3,10.1666666666667,174,1,AI,3388156.63043478,1.6946827536,5.20962963495652,0.325298125269541,367.620428470501,630.108101982477,437.938407699074,1435.66693815205,12.1950061878925,10.1297228818784,9.7363355854948,32.0610646552657,33.7329606648961,72.7766498309713,2.55701742649358,109.066627922361,149.585519449875,218.821683613393,112.312073117526,480.719276180794,0.196693648191814,4.03221978793219,1.77024283372633,5.99915626985033,1.6946827536,1915.16627857533,3282.62984131412,2281.49690703477,7479.29302692422,63.5314656349228,52.772104519331,50.7227024020755,167.026272556329,175.736231554666,379.139391692281,13.3211137621612,568.196737009108,779.285155086432,1139.97992772341,585.104304476467,2504.36938728631,1.02470105862779,21.0063717018696,9.22230952765009
3422,SAA,1,3422,103,,11,11,92,15070.9,7578.6,63066.1,57972.4,3919330,AI,AI,TEMP ASSOC CTX,18.21542,135.1,217,98.2,450.3,76.9,80.2,42,199.1,576.5,540.6,133.9,1251,692.8,636.7,344.8,1674.3,6.5,11.5,2.7,20.7,720.6,1,AI,3388156.63043478,6.026361808,5.20962963495652,1.15677355786738,22.4181694203383,36.0084586544293,16.2950720731104,74.721700147878,12.7606012466618,13.3081953183651,6.96937909440568,33.0381756594326,95.6630249505922,89.7058652008502,22.2190443033552,207.587934454798,114.961567538197,105.65246831924,57.2152836131209,277.829319470558,1.07859438365802,1.90828237108727,0.448031513211794,3.43490826795708,6.026361808,116.79035977367,187.590733315222,84.8912903758284,389.27238346472,66.4780064144726,69.3307687183446,36.3078838674623,172.116659000279,498.36892975219,467.334333779764,115.752991663171,1081.45625519513,598.907189128044,550.41022996222,298.070437083357,1447.38785617362,5.61907726520249,9.94144439228133,2.33407824862257
3425,SAA,1,3425,103,,11,11,88,323629.05,15861.15,58567.5,67953.8,4987857,AI,AI,TEMP ASSOC CTX,64.796555,2210.7,2565.9,1552.65,6329.25,214.25,242.35,205.25,661.85,527.8,678.1,320.5,1526.4,757.4,948.65,451,2157.05,26.2,29,15.65,70.85,1021.7,1,AI,3388156.63043478,7.6693289232,5.20962963495652,1.47214475127732,288.252078133271,334.56643021765,202.449264537759,825.26777288868,27.9359513909862,31.5998964742381,26.7624458483077,86.2982937135321,68.819580602859,88.4171231655905,41.7898362698301,199.02654003828,98.7570108916358,123.694003673555,58.8056666386688,281.256681203859,3.41620502424196,3.78129563751972,2.04059574921323,9.23809641097491,7.6693289232,1501.68656858089,1742.96718972348,1054.68568811106,4299.33944641543,145.535960247187,164.623757133749,139.422430995263,449.582148376199,358.524526573933,460.620465081061,217.709569471288,1036.85456112628,514.48745060079,644.399947204171,306.355743624183,1465.24314142914,17.7971629333783,19.6991498117546,10.6307480880676
3426,SAA,2,3426,103,,11,11,88,348153.966666667,13751.5166666667,52390.3,73184.1166666667,4465957,AI,AI,TEMP ASSOC CTX,57.9365933333333,2083.56666666667,2605.5,1324.6,6013.66666666667,176.883333333333,164.933333333333,136.15,477.966666666667,251.233333333333,163.5,26.9,441.633333333333,788.483333333333,966.45,413.633333333333,2168.56666666667,14.6666666666667,15.95,7,37.6166666666667,679.3,1,AI,3388156.63043478,6.8668554832,5.20962963495652,1.31810818894371,303.423695425684,379.431314139994,192.897608409072,875.75261797475,25.7590004283743,24.0187570186745,19.8271247054923,69.6048821525411,36.5863726050424,23.8100248942195,3.9173680101193,64.3137655093812,114.824512509748,140.741275590327,60.2362077293314,315.801995829407,2.13586359907372,2.32275166399267,1.01938944501246,5.47800470807885,6.8668554832,1580.72507563767,1976.69661857421,1004.92509728014,4562.34679149201,134.194851998517,125.128828359306,103.291976441711,362.615656799534,190.60145095879,124.041411297979,20.4080364765482,335.050898733317,598.193183190221,733.209920176951,313.808332884122,1645.21143625129,11.1270583019594,12.1006759033808,5.31064146229878
3429,SAA,3,3429,103,,11,11,103,480634.833333333,16738.1666666667,27930.3333333333,56158.0833333333,5430191,AI,AI,TEMP ASSOC CTX,79.4358333333333,3121.5,5172,3401.33333333333,11694.8333333333,174.25,207.583333333333,411.416666666667,793.25,140.083333333333,102.75,44.75,287.583333333333,771.166666666667,845.833333333333,281.916666666667,1898.91666666667,16.25,28.5833333333333,12.25,57.0833333333333,667,1,AI,3388156.63043478,8.3494616816,5.20962963495652,1.6026977475664,373.856437580756,619.441132522078,407.371572328905,1400.66914243174,20.869608921495,24.861882268505,49.2746337854715,95.0061249754715,16.7775287408097,12.3061825921585,5.35962696836098,34.4433383013291,92.3612438830773,101.30393618038,33.7646518323374,227.429831895795,1.9462332566674,3.42337439506111,1.46716045502619,6.8367681067547,8.3494616816,1947.65357643998,3227.05888109805,2122.2550156435,7296.96747318152,108.722933107373,129.521198646804,256.702592420422,494.946724174599,87.404710929457,64.1106535252948,27.9216714866856,179.437035941437,481.167873254726,527.755988063051,175.901330799734,1184.82519211751,10.1391544504724,17.8345127000617,7.64336258574074
3431,SAB,3,3431,103,,11,11,107,56554.5,2355.66666666667,5351.16666666667,16677.8333333333,2298922,AI,AI,TEMP ASSOC CTX,15.5929166666667,771.833333333333,1069.83333333333,598.666666666667,2440.33333333333,53,54.6666666666667,35.3333333333333,143,75.1666666666667,47.3333333333333,10.1666666666667,132.666666666667,392.333333333333,505.166666666667,257.833333333333,1155.33333333333,6.16666666666667,3.83333333333333,3.16666666666667,13.1666666666667,112,1,AI,3388156.63043478,3.5348224672,5.20962963495652,0.678517037656843,218.351371390009,302.655463820442,169.362583898275,690.369419108725,14.9936808684998,15.4651802668803,9.99578724566655,40.4546483810467,21.2646228669605,13.3905829140061,2.87614633012104,37.5313521110876,110.990958378769,142.911467649129,72.940956929463,326.843382957361,1.74454777400784,1.08444861627514,0.895848856922946,3.72484524720593,3.5348224672,1137.52977522679,1576.72287350048,882.316336129263,3596.56898485653,78.1115241896173,80.5678614282845,52.0743494597449,210.753735077647,110.780809463891,69.7599775781488,14.98365715587,195.52444419791,578.221785982262,744.515817040032,379.995370821818,1702.73297384411,9.08844778306868,5.64957564893459,4.6670407534677
3433,SAB,4,3433,103,,11,11,86,452830.25,9629,58207,83813.8333333333,5027937,AI,AI,TEMP ASSOC CTX,79.987175,2882.08333333333,4241.91666666667,2605.5,9729.5,143.916666666667,160.333333333333,142,446.25,410.666666666667,275.916666666667,96.5833333333333,783.166666666667,1107.91666666667,1339.41666666667,716.166666666667,3163.5,12.3333333333333,15.0833333333333,12.3333333333333,39.75,576.5,1,AI,3388156.63043478,7.7309559312,5.20962963495652,1.48397419258471,372.797796156364,548.692387386075,337.021711569319,1258.51189511176,18.6156366621958,20.7391343011376,18.3677156180554,57.7224865813888,53.1197785010428,35.6898511803881,12.4930647895107,101.302694470942,143.309142688994,173.253693150824,92.6362371018591,409.199072941677,1.59531802316443,1.95103082562677,1.59531802316443,5.14166687195564,7.7309559312,1942.13844670268,2858.48412180154,1755.75829621529,6556.38086471951,96.9805724289583,108.04320865855,95.688995610275,300.712776697783,276.734372281359,185.930906376538,65.0842405588666,527.749519216763,746.587556712797,902.587574204196,482.600486076704,2131.7756169937,8.31101605065769,10.1641480078989,8.31101605065769
3507,SAA,4,3507,101,,11,11,98,490542.666666667,26074,39860.3333333333,67412.6666666667,4320520,AI,AI,TEMP ASSOC CTX,79.7007583333333,2237,4270.08333333333,3062.58333333333,9569.66666666667,133.166666666667,203.666666666667,333.916666666667,670.75,98,63.75,33.9166666666667,195.666666666667,540.833333333333,659.5,205.5,1405.83333333333,21.25,25.6666666666667,8.83333333333333,55.75,620.5,1,AI,3388156.63043478,6.643231552,5.20962963495652,1.27518307778043,336.733708962249,642.772015382753,461.008066535227,1440.51379088023,20.0454651662075,30.6577702541997,50.2641920657031,100.96742748611,14.7518567180601,9.59623332424828,5.10544701041706,29.4535370527254,81.4111820580017,99.2739745465371,30.9337403628709,211.61889696741,3.19874444141609,3.86358152139669,1.3296741599612,8.39200012277398,6.643231552,1754.25790929856,3348.60413985872,2401.68128537593,7504.5433345332,104.429449376363,159.715628457967,261.857824562633,526.002902396964,76.8517099290383,49.9928215099612,26.5974880451689,153.442019484168,424.122106666206,517.180639777559,161.153330514463,1102.45607695823,16.6642738366537,20.1278287909386,6.92710990856978
3508,SAA,5,3508,101,,11,11,104,599009.233333333,41101.4666666667,48871.6,74211.0666666667,5806719,AI,AI,TEMP ASSOC CTX,96.15617,2806.96666666667,5161.26666666667,3133.93333333333,11102.1666666667,132.766666666667,162.5,346.066666666667,641.333333333333,151.666666666667,113.166666666667,53.7,318.533333333333,847.733333333333,886.033333333333,315.166666666667,2048.93333333333,23.3333333333333,37.8666666666667,18.4,79.6,841.9,1,AI,3388156.63043478,8.9284111344,5.20962963495652,1.71382838320992,314.385910820324,578.072244767155,351.006834940508,1243.46499052799,14.8701336293906,18.2003267495052,38.760162525818,71.8306229047137,16.9869716328715,12.6748942183733,6.01450797814417,35.676373829389,94.9478379268544,99.2375149391993,35.2993003931428,229.484653259197,2.613380251211,4.24114280767956,2.06083699809781,8.91536005698837,8.9284111344,1637.83415782236,3011.54229748481,1828.61560937836,6477.99206468553,77.4678888314367,94.816961600114,201.926091350232,374.210941781783,88.495830826773,66.0315045399768,31.3333590026223,185.860694369372,494.643070238789,516.990698726693,183.896281421349,1195.53005038683,13.6147432041189,22.0947832569701,10.7361974981052
3531,SAB,3,3531,101,,11,11,95,363669.5,21653.5,24805.5,39698.1666666667,3912573,AI,AI,TEMP ASSOC CTX,65.9118666666667,2550.75,3183.33333333333,2132.41666666667,7866.5,176.083333333333,224.916666666667,303.5,704.5,145.583333333333,130.75,116.666666666667,393,563.25,742.583333333333,352.583333333333,1658.41666666667,25.75,37.5833333333333,22.25,85.5833333333333,543,1,AI,3388156.63043478,6.0159722448,5.20962963495652,1.15477925809408,423.99630453827,529.146944799304,354.459192944225,1307.6024422818,29.2693061351029,37.3865864924954,50.4490359413368,117.104928568935,24.199468915298,21.7338103767044,19.3928199664667,65.3260992584691,93.6257643952487,123.43529908656,58.6078723415146,275.668935823324,4.28027240688443,6.24725843205462,3.69848780789043,14.2260186468295,6.0159722448,2208.86371323462,2756.65960487316,1846.60111594501,6812.12443405279,152.482244636047,194.770268941169,262.820792694975,610.073306272191,126.070270411346,113.225102619005,101.029409602681,340.324782633032,487.755556788945,643.052192121066,305.325308592103,1436.13305750211,22.2986339765918,32.5459026648637,19.2677516885113
