MouseID,GROUP,CODE,ID,AGE,DOB,SUBEXPT,EXPT,DELTAT,Ch1TotalCoronalCount,Ch2TotalCoronalCount,Ch3TotalCoronalCount,Ch4TotalCoronalCount,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,OLm05sd1perMM2,OLTotalperMM2,Ch1m05sd_COUNTnormd,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd,OLm05sd_COUNTnormd,OLm05sdm05sd_COUNTnormd,OLm05sd1_COUNTnormd,OLTotal_COUNTnormd
3307,SAB,1,3307,101,NA,11,11,91,291036.1667,4842.166667,6758.3,72073.66667,1335370,AI,AI,TEMP ASSOC CTX,71.35163333,970.3333333,1639,1281.333333,3890.666667,24.66666667,28.16666667,21.5,74.33333333,20.4,24.6,12.6,57.6,427.5,679.3333333,697.5,1804.333333,3,9.666666667,9.5,22.16666667,223,1,AI,3779924.961,2.053264912,5.81201262,0.3532795,472.5806824,798.2408848,624.0467686,1894.868336,12.01338732,13.71798958,10.47112814,36.20250504,9.973756317,12.02717674,6.160261255,28.16119431,208.2049898,330.8551806,339.702878,878.7630484,1.461087648,4.707949086,4.62677755,10.79581428,2.053264912,2746.64489,4639.386096,3626.967694,11012.99868,69.82195873,79.72912855,60.8583289,130.6417227,39.77747975,47.96696088,24.56844338,13246.82959,1210.090028,1922.934485,1974.357414,5107.381927,8.491859846,27.3626595,26.89088951
3422,SAA,1,3422,103,NA,11,11,92,100198.7,7707.8,45185.6,91997.3,4046320,AI,AI,TEMP ASSOC CTX,85.52241,602.7,749.5,362.3,1714.5,79.9,81.7,55.5,217.1,205.5666667,158.1,44.16666667,407.8333333,783.2,1010.2,628.1,2421.5,7.5,19,9.2,35.7,766.6,1,AI,3779924.961,6.221621632,5.81201262,1.070476277,96.8718504,120.466985,58.23240651,275.5712419,12.84231101,13.13162465,8.920503895,34.89443956,62.36787044,47.96672766,13.39993973,123.7345378,125.8835793,162.3692439,100.9543873,389.2072105,1.205473499,3.053866198,1.478714159,5.738053857,6.221621632,563.020417,700.1556372,338.4474815,1601.623536,74.63967367,76.3211682,51.84608121,49.48915513,248.7364464,191.3015997,53.44183419,10400.69756,731.6369514,943.6920944,586.7481731,2262.077219,7.006227191,17.74910888,8.594305354
3425,SAA,1,3425,103,NA,11,11,88,531614.7,18079.45,19952.91667,99415.7,6232706,AI,AI,TEMP ASSOC CTX,173.056525,4973.55,4675.15,2841.05,12489.75,290.75,332.55,296.3,919.6,198.75,200.6666667,109.4166667,508.8333333,1249.1,1776.2,1016.2,4041.5,36.3,56.7,39.4,132.4,1216.7,1,AI,3779924.961,9.583408746,5.81201262,1.648896754,518.9750466,487.8379003,296.4550585,1303.268005,30.33889169,34.7005965,30.91801757,95.95750577,49.28878408,49.76410569,27.13466394,126.1875537,130.3398439,185.3411502,106.0374264,421.7184206,3.78779628,5.916475182,4.111271996,13.81554346,9.583408746,3016.28952,2835.320033,1723.000541,7574.610094,176.3300214,201.6803048,179.6959083,323.0081607,196.5742443,198.4699288,108.2188607,11434.67591,757.5368176,1077.205104,616.2908607,2451.032782,22.01471978,34.38662842,23.89476472
3426,SAA,2,3426,103,NA,11,11,88,577704.5619,16074.99762,30442.41667,142379.169,4905692,AI,AI,TEMP ASSOC CTX,182.9959345,3897.233333,4052.92381,2375.704762,10325.8619,181.6928571,167.7047619,144.8880952,494.2857143,69.08333333,33.75,18.33333333,121.1666667,1239.92381,1911.892857,1244.442857,4396.259524,24.58571429,35.76428571,26.43333333,86.78333333,780.3,1,AI,3779924.961,7.542992019,5.81201262,1.29782788,516.6694229,537.3098366,314.9552268,1368.934486,24.08763746,22.2331883,19.20830552,65.52913128,16.41378672,8.018798098,4.355890325,28.78847515,164.380899,253.4661116,164.9800045,582.8270151,3.259411414,4.74139249,3.504356529,11.50516043,7.542992019,3002.889206,3122.851551,1830.523753,7956.26451,139.9976529,129.219571,111.6389141,55.27526148,65.46170252,31.980687,17.37222504,13841.55222,955.3838596,1473.148239,958.8658681,3387.397967,18.94374027,27.55703299,20.36736437
3429,SAA,3,3429,103,NA,11,11,103,729111.6667,17513.25,14624.95833,143602.1667,5677765,AI,AI,TEMP ASSOC CTX,210.907525,4899.5,7176.583333,5324.166667,17400.25,176.0833333,207,416.4166667,799.5,23.91666667,14.25,5.25,43.41666667,1627.833333,2430.333333,1157.5,5215.666667,42.83333333,82,49.33333333,174.1666667,770,1,AI,3779924.961,8.730131464,5.81201262,1.502084052,561.2172073,822.0475674,609.8609956,1993.12577,20.16960845,23.71098315,47.69878534,91.57937693,9.151518931,5.452647168,2.008870009,16.61303611,186.4614915,278.3845058,132.5867777,597.432775,4.90637896,9.392756608,5.65092674,19.95006231,8.730131464,3261.801491,4777.750836,3544.519803,11584.07213,117.2260188,137.8085333,277.2259423,393.0235226,36.49822067,21.7463266,8.011804537,15524.54181,1083.716541,1617.974261,770.5960254,3472.286828,28.51593643,54.59081994,32.84325753
3431,SAB,3,3431,103,NA,11,11,107,680428.8333,10695.08333,34626.61667,184650,6608441,AI,AI,TEMP ASSOC CTX,244.361425,4806.333333,5360.5,3494,13660.83333,84.08333333,101.3333333,49.83333333,235.25,151.2714286,95.62142857,46.53095238,293.4238095,1571.166667,2633,2169.166667,6373.333333,14.16666667,32.5,26.16666667,72.83333333,1124.25,1,AI,3779924.961,10.16113888,5.81201262,1.748299521,473.0112824,527.5491323,343.859093,1344.419508,8.274991053,9.972635402,4.904305897,23.15193235,26.91238189,17.01180736,8.278223932,52.20241319,154.6250558,259.1244968,213.4767266,627.2262792,1.394200673,3.198460367,2.575170655,7.167831695,10.16113888,2749.147543,3066.122214,1998.513388,7813.783145,48.09435243,57.96108281,28.50388776,64.21290501,107.3323522,67.84673712,33.01533288,14240.2182,898.6827757,1506.034846,1240.729429,3645.44705,8.103111906,18.58949202,14.96692434
3433,SAB,4,3433,103,NA,11,11,86,602304.5,9359.666667,21232,138039.3333,5027937,AI,AI,TEMP ASSOC CTX,198.831225,4709.416667,5635.083333,3767.75,14112.25,141.0833333,159.6666667,150.4166667,451.1666667,88,51.125,41.875,181,1328,2035.416667,1423.5,4786.916667,25.66666667,31.83333333,23.75,81.25,568.5,1,AI,3779924.961,7.730955931,5.81201262,1.33016847,609.1635638,728.8986489,487.3588769,1825.42109,18.24914468,20.65290089,19.45641238,58.35845796,43.09282127,25.03546008,20.50581694,88.63409829,171.7769461,263.2813697,184.1298816,619.1881973,3.319986156,4.117645168,3.072065112,10.50969644,7.730955931,3540.46632,4236.368146,2832.535943,10609.37041,106.0642592,120.0349206,113.0809143,41.98935718,171.8634154,99.84678539,81.78159684,16791.16882,998.3697783,1530.194643,1070.165195,3598.729617,19.29580144,23.93180568,17.8548812
3507,SAA,4,3507,101,NA,11,11,98,652424.25,25895.08333,16762.15476,100911.3333,4320520,AI,AI,TEMP ASSOC CTX,173.3314833,3368.416667,5502.083333,4447.333333,13317.83333,136.25,204.6666667,345.1666667,686.0833333,30.58333333,26.19047619,26.57142857,83.3452381,927.0833333,1161.666667,469.75,2558.5,50.08333333,54.33333333,21.5,125.9166667,626.5,1,AI,3779924.961,6.643231552,5.81201262,1.1430174,507.0448983,828.2239284,669.4533073,2004.722134,20.50959671,30.8082994,51.95764501,103.2755411,14.43703346,12.36336069,12.54319139,39.34358555,139.5530663,174.8646961,70.7110683,385.1288307,7.539001605,8.178750493,3.236376729,18.95412883,6.643231552,2946.951348,4813.647924,3890.87107,11651.47034,119.2020349,179.0582249,301.9784885,139.8322528,57.57798646,49.30773461,50.02493802,12676.68075,811.0841826,1016.315821,410.9736213,2238.373625,43.81677247,47.53500108,18.80986239
3508,SAA,5,3508,101,NA,11,11,104,965921.6,45781.53333,29038.07143,147853.8,6718936,AI,AI,TEMP ASSOC CTX,276.0408467,4866.4,7845.566667,5338.366667,18050.33333,157.8666667,174.3333333,358.3666667,690.5666667,120.2619048,144.4285714,136.1428571,400.8333333,1633.3,2057.066667,890.8333333,4581.2,50.16666667,70.9,39.13333333,160.2,1135.5,1,AI,3779924.961,10.33103599,5.81201262,1.777531583,471.0466601,759.4172232,516.7310103,1747.194894,15.28081663,16.87471938,34.68835719,66.84389321,26.15583806,31.41186175,29.60979648,87.17749629,158.0964388,199.1152357,86.22884809,443.4405226,4.855918293,6.862816086,3.787938921,15.5066733,10.33103599,2737.729133,4413.742485,3003.247153,10154.71877,88.81229912,98.07608201,201.6091697,208.6301862,104.3150931,125.2772431,118.0902202,13790.24723,918.8584976,1157.260263,501.1631533,2577.281913,28.2226584,39.8867737,22.01554881
3531,SAB,3,3531,101,NA,11,11,95,585052.9167,22304.41667,19328,138395,4160147,AI,AI,TEMP ASSOC CTX,186.7278333,4694.75,4981.75,3491,13167.5,178.4166667,227.0833333,312.1666667,717.6666667,49.5,81,90,220.5,1453.166667,2054.416667,1484.583333,4992.166667,49,95,69.25,213.25,646,1,AI,3779924.961,6.396642027,5.81201262,1.100589838,733.9397734,778.8070645,545.7550986,2058.501936,27.89223876,35.5003973,48.80164707,112.1942831,22.98121492,37.60562442,41.78402714,102.3708665,227.1764874,321.1711173,232.0879185,780.4355231,7.660269215,14.85154236,10.82599272,33.33780429,6.396642027,4265.667225,4526.436487,3171.93552,11964.03923,162.1100436,206.3287571,283.6357887,91.65401502,91.65401502,149.9792973,166.6436637,16846.26979,1320.352611,1866.650587,1348.897911,4535.901109,44.52158135,86.31735159,62.92080629
