MouseID,GROUP,CODE,AGE,DOB,SUBEXPT,EXPT,DELTAT,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,OLm05sd1perMM2,OLTotalperMM2,Ch1m05sd_COUNTnormd,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd,OLm05sd_COUNTnormd,OLm05sdm05sd_COUNTnormd,OLm05sd1_COUNTnormd,OLTotal_COUNTnormd
3425,SAA,1,103,,11,11,88,3991851,AI,AI,TEMP ASSOC CTX,108.4323333,923.25,955.4166667,616.5,2495.166667,683.0833333,8034.25,1126.166667,9843.5,2120.583333,3001.166667,982.9166667,6104.666667,1454.083333,1552.166667,997.25,4003.5,409.6666667,693.0833333,185.25,1288,1,AI,4036522.327,6.137870098,6.20655673,0.988933214,150.4186282,155.6593169,100.4420084,406.5199535,111.2899626,1308.963838,183.4784133,1603.732214,345.4917259,488.9589742,160.1396985,994.5903986,236.9035692,252.8835968,162.4749276,652.2620936,66.74410832,112.9191922,30.18147941,209.84478,933.581749,966.1083809,623.3990233,2523.089153,690.7274661,8124.158318,1138.769181,9953.654965,2144.313996,3034.751612,993.9161232,6172.981732,1470.355442,1569.536389,1008.409856,4048.301687,414.2510947,700.8393724,187.3230642,1302.413531
3426,SAA,2,103,,11,11,88,4375577,AI,AI,TEMP ASSOC CTX,151.2288026,1303.133333,1334.918803,821.4564103,3459.508547,0,9578.861111,216.9931624,9795.854274,4821.673504,4485.038034,267.1688034,9573.880342,1842.668803,2265.463675,1564.469231,5672.601709,14,1434.429487,85.13547009,1533.564957,1,AI,4036522.327,6.727887195,6.20655673,1.083996729,193.6913173,198.4157529,122.097233,514.2043032,0,1423.754714,32.25279439,1456.007509,716.6697901,666.6339527,39.71065442,1423.014397,273.8852109,336.7273573,232.5349973,843.1475655,2.080891013,213.2065306,12.65411676,227.9415384,1202.156149,1231.478627,757.803403,3191.438178,0,8836.614403,200.1787981,9036.793202,4448.051709,4137.501445,246.4664295,8832.019584,1699.884099,2089.917445,1443.241652,5233.043197,12.91516812,1323.278427,78.53849351,1414.732089
3429,SAA,3,103,,11,11,103,3548501,AI,AI,TEMP ASSOC CTX,132.7660711,1731.433333,2825.222222,1952.677778,6509.333333,0,6315,157.6777778,6472.677778,3572.566667,2907.755556,365.3888889,6845.711111,1690.377778,1854.244444,1234.466667,4779.088889,78.2,987.9555556,55.38888889,1121.544444,1,AI,4036522.327,5.456175138,6.20655673,0.879098569,317.3346327,517.8027008,357.8839991,1193.021333,0,1157.404196,28.8989583,1186.303155,654.774925,532.9292924,66.9679546,1254.672172,309.810029,339.8432781,226.2512906,875.9045977,14.33238451,181.0710856,10.15159658,205.5550667,1969.5554,3213.771837,2221.227343,7404.55458,0,7183.494804,179.3630241,7362.857828,4063.897717,3307.655887,415.6404093,7787.194013,1922.853521,2109.256585,1404.24147,5436.351576,88.95475751,1123.827965,63.0064601,1275.789183
3431,SAB,3,103,,11,11,107,5485727,AI,AI,TEMP ASSOC CTX,198.1471056,1767.666667,1940.416667,1245.416667,4953.5,8.5,8895.444444,154.25,9058.194444,4562.555556,8085.833333,536.8611111,13185.25,2338,3473.333333,2510.027778,8321.361111,181.6111111,1396.944444,92.41666667,1670.972222,1,AI,4036522.327,8.434853835,6.20655673,1.359023079,209.5669589,230.047456,147.6512446,587.2656595,1.007723449,1054.605642,18.28721671,1073.900582,540.9169672,958.6216301,63.64794478,1563.186542,277.1832264,411.7834643,297.5781,986.5447907,21.53103239,165.6157263,10.9565226,198.1032813,1300.689219,1427.802586,916.4058258,3644.897631,6.254492755,6545.469745,113.5006479,6665.224886,3357.231843,5949.73953,395.03458,9702.005953,1720.353419,2555.757432,1846.935359,6123.04621,133.633574,1027.903401,68.00227907,1229.539254
3433,SAB,4,103,,11,11,86,3164073,AI,AI,TEMP ASSOC CTX,119.4052345,1047.988095,1311.428571,799.4047619,3158.821429,8.333333333,8787.535714,134.797619,8930.666667,3324.214286,3095.809524,404.9404762,6824.964286,1488.511905,1724.559524,1083.27381,4296.345238,10.19047619,1132.47619,54.26190476,1196.928571,1,AI,4036522.327,4.865078645,6.20655673,0.783861142,215.4103092,269.5595831,164.3148694,649.2847617,1.712887692,1806.247413,27.70718192,1835.667482,683.2806884,636.3328838,83.23410694,1402.847679,305.9584466,354.477214,222.6631651,883.0988257,2.09461695,232.7765434,11.15334586,246.0245062,1336.956304,1673.036845,1019.829558,4029.822707,10.63113463,11210.57703,171.9661964,11393.17437,4240.820355,3949.436142,516.5972066,8706.853704,1898.948456,2200.082938,1381.971566,5481.00296,13.00035892,1444.740822,69.22387381,1526.965055
3507,SAA,4,101,,11,11,98,5729157,AI,AI,TEMP ASSOC CTX,175.5340609,2608.796581,5118.298291,3277.066667,11004.16154,321,8525.913675,382.482906,9229.396581,6062.182051,4303.097436,492.1264957,10857.40598,2733.008547,2213.611111,1016.904274,5963.523932,170.5717949,1048.242735,91.51965812,1310.334188,1,AI,4036522.327,8.809151803,6.20655673,1.419329942,296.1461716,581.0205574,372.0070604,1249.173789,36.43937659,967.8472872,43.418812,1047.705476,688.168644,488.4803364,55.86536669,1232.514347,310.2465036,251.285386,115.4372516,676.9691413,19.3630214,118.9947407,10.38915666,148.7469188,1838.048014,3606.137051,2308.882924,7753.067989,226.163058,6006.999094,269.4813198,6502.643472,4271.157729,3031.780919,346.7315676,7649.670215,1925.562525,1559.617004,716.4678511,4201.64738,120.1776908,738.547609,64.48089018,923.20619
3508,SAA,5,101,,11,11,104,5607535,AI,AI,TEMP ASSOC CTX,182.38737,2912.041667,5197.625,3371.966667,11481.63333,90.83333333,10789.35833,546.7,11426.89167,5366.883333,4899.1,877.5833333,11143.56667,3010.816667,3482.583333,1609.108333,8102.508333,975.7916667,1466.716667,241.3916667,2683.9,1,AI,4036522.327,8.622145816,6.20655673,1.38919955,337.7397841,602.8226744,391.0820738,1331.644532,10.53488717,1251.354195,63.40648971,1325.295571,622.4533252,568.1996228,101.7824741,1292.435422,349.1957491,403.9114401,186.625043,939.7322321,113.1727168,170.1103992,27.99670428,311.2798203,2096.20113,3741.453127,2427.273077,8264.927334,65.38537486,7766.600798,393.5359755,8225.522148,3863.291874,3526.563193,631.7186997,8021.573767,2167.303226,2506.899267,1158.298916,5832.50141,702.4128871,1055.799843,173.7631334,1931.975863
3531,SAB,3,101,,11,11,95,4628248,AI,AI,TEMP ASSOC CTX,162.195529,2024.416667,2359.833333,1903.416667,6287.666667,455,8772.833333,580.3333333,9808.166667,3488.666667,6220.25,951.25,10660.16667,2519.5,2892.166667,1836.666667,7248.333333,179.8333333,1173.666667,202.5833333,1556.083333,1,AI,4036522.327,7.116394125,6.20655673,1.146592939,284.4722525,331.6052051,267.4692595,883.5467171,63.93687477,1232.763838,81.54879046,1378.249503,490.2295468,874.0732864,133.6702245,1497.973058,354.0416615,406.4090066,258.0895092,1018.540177,25.2702886,164.9243488,28.46713234,218.6617697,1765.593173,2058.126517,1660.063132,5483.782823,396.8278404,7651.218694,506.1371943,8554.183729,3042.637493,5424.985438,829.6318312,9297.254762,2197.379657,2522.400555,1601.84718,6321.627392,156.8414798,1023.612327,176.6828718,1357.136678
3539,CAA,1,100,,11,11,92,5324661,AI,AI,TEMP ASSOC CTX,157.9556,1750.541667,2349.5,1467,5567.041667,0,8277.416667,159.6666667,8437.083333,5155.5,5083.583333,806.7916667,11045.875,2043.958333,3199.875,2273.333333,7517.166667,16,1581.666667,88.08333333,1685.75,1,AI,4036522.327,8.187198754,6.20655673,1.319120909,213.8144827,286.9723908,179.1821652,679.9690388,0,1011.019387,19.50198981,1030.521377,629.7025582,620.91852,98.54306594,1349.164144,249.6529515,390.8388078,277.6692495,918.1610088,1.954270378,193.1877696,10.75866557,205.9007056,1327.051717,1781.110423,1112.104274,4220.266414,0,6274.949182,121.0402061,6395.989388,3908.284651,3853.766019,611.6131291,8373.663799,1549.485206,2425.763233,1723.369949,5698.618388,12.12928996,1199.030852,66.77426819,1277.93441
3540,CAA,2,100,,11,11,96,3651739,AI,AI,TEMP ASSOC CTX,95.87380917,1090.033333,1073.95,765.1666667,2929.15,0,3628.041667,81.58333333,3709.625,893.0416667,4110.116667,467.2333333,5470.391667,2744.441667,2643.566667,1235.9,6623.908333,96.475,657.3583333,47.175,801.0083333,1,AI,4036522.327,5.614913886,6.20655673,0.904674545,194.1317989,191.2674035,136.2739807,521.6731831,0,646.1437771,14.52975682,660.6735339,159.0481501,731.9999469,83.21291168,974.2610087,488.7771606,470.8116135,220.1102323,1179.699006,17.18191979,117.0736269,8.401731701,142.6572784,1204.890023,1187.11199,845.7921921,3237.794205,0,4010.328008,90.17975997,4100.507768,987.1413664,4543.199197,516.465657,6046.80622,3033.623176,2922.118988,1366.126644,7321.868808,106.6405599,726.6241068,52.14582443,885.4104912
