SubROI,MajorROI,System,ROIAreapx,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,CountPerROI
AI,AI,TEMP ASSOC CTX,2593791.96078431,55.3186307827575,1864.98380018674,2342.38283535637,1512.71567849362,5720.08231403672,66.9254201680672,69.9767818238407,77.088079676315,213.990281668223,109.469810146281,99.0455726735138,57.5398926237161,266.055275443511,1081.67801120448,1437.9311546841,910.586819172113,3430.19598506069,21.6451680672269,37.1508870214753,21.6345082477435,80.4305633364457,390.628711484594,51
ATN,ATN,THALAMIC,2426944.3,45.5765752857143,2172.22992857143,2204.44052380952,1403.03769047619,5779.70814285714,7.84992857142857,4.22152380952381,0.913190476190476,12.9846428571429,186.713809523809,229.052095238095,202.539595238095,618.3055,1035.09880952381,1190.06802380952,447.147166666667,2672.314,0.650690476190476,1.09735714285714,0.685333333333333,2.43338095238095,338.465857142857,50
AcB,AcB,STRIATUM,1875177.92,36.2888072738095,1443.37652380952,1740.91914285714,1153.54833333333,4337.844,8.35161904761905,6.35254761904762,4.26495238095238,18.969119047619,67.7301904761905,75.6257619047619,65.2555952380952,208.611547619048,882.590642857143,951.347928571428,386.894119047619,2220.83269047619,2.48852380952381,3.56795238095238,2.41633333333333,8.47280952380952,219.024857142857,50
AuD,ACtx,AUD CTX,1379658.20408163,34.0227864328699,1091.86099444773,1259.24415261609,884.715651298815,3235.82079836264,24.3259598111639,23.8761558736049,26.8430545644831,75.0451702492519,85.1981967578906,80.4099503670932,47.4281341674199,213.036281292404,598.158605510136,726.025748174728,521.466248604004,1845.65060228887,6.24282565507055,10.9429815649203,8.70640532936451,25.8922125493554,318.627649221527,49
AuP,ACtx,AUD CTX,1749877.06122449,33.2966188420536,1342.1194149388,1583.8572466649,1119.34264992377,4045.31931152747,26.746102310388,28.9542343144384,28.6712455911436,84.37158221597,103.611240969914,93.7296784847805,56.5032086960659,253.844128150761,756.314464673648,903.821900774962,633.785880672615,2293.92224612123,6.54147111392009,12.8590081120693,9.03194690796732,28.4324261339567,318.627649221527,49
AuV,ACtx,AUD CTX,1757225.17777778,37.3757780740741,1337.16740740741,1615.98851851852,1097.92,4051.07592592593,25.5407407407407,26.6959259259259,26.432962962963,78.6696296296296,112.561111111111,105.329259259259,63.3925925925926,281.282962962963,777.362592592593,961.24962962963,648.915925925926,2387.52814814815,6.79555555555556,12.0351851851852,9.89074074074074,28.7214814814815,337.437777777778,45
BNST,BNST,STRIATUM,1686311.32,21.7792648142857,1341.18771428571,1662.80633333333,1163.78552380952,4167.77957142857,3.34354761904762,1.98845238095238,0.744047619047619,6.07604761904762,118.537023809524,132.268761904762,99.4870476190476,350.292833333333,751.984119047619,895.291595238095,351.791595238095,1999.06730952381,0.275404761904762,0.830285714285714,0.402571428571429,1.5082619047619,133.907571428571,50
CA1,CA1,SUBIC-HPC,2728309.55102041,80.6412992021641,4595.95718029136,5415.51589578222,3790.94579009426,13802.4188661678,136.554889668155,150.716662702377,150.959457832417,438.231010202949,858.006350112473,1200.08524774545,998.920263296794,3057.01186115472,2436.02880934259,2394.02706867962,1042.44187235667,5872.49775037887,39.0616774382081,57.6259240192914,30.7230994062627,127.410700863762,680.979788238972,49
CA2,CA2,SUBIC-HPC,276178.571428571,23.5611139285714,205.260714285714,227.557142857143,145.652380952381,578.470238095238,3.71666666666667,4.12896825396825,3.10039682539683,10.9460317460317,52.7670634920635,78.5519841269841,59.252380952381,190.571428571429,89.2988095238095,78.0329365079365,41.9793650793651,209.311111111111,0.738095238095238,1.14404761904762,0.936111111111111,2.81825396825397,252.817857142857,42
CA3,CA3,SUBIC-HPC,1331975.03333333,82.6953328148148,2393.37111111111,2501.64296296296,1632.67222222222,6527.6862962963,36.7103703703704,29.8751851851852,19.5588888888889,86.1444444444445,480.865925925926,672.729259259259,523.084074074074,1676.67925925926,1059.46074074074,1056.49740740741,430.944444444444,2546.90259259259,5.85703703703704,7.93592592592593,3.52,17.312962962963,703.408888888889,45
