SubROI,MajorROI,System,ROIAreapx,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,CountPerROI
AI,AI,TEMP ASSOC CTX,3130398.98039216,91.6839246708684,2265.26824618736,2823.72630718954,1862.74000155618,6951.73455493308,86.4118658574541,92.3791238717709,107.222416744476,286.013406473701,3482.01719576719,4694.32710084034,841.272805788982,9017.61710239651,573.084259259259,872.388733271086,484.248373793962,1929.72136632431,13.0875350140056,24.4491752256458,13.2893246187364,50.8260348583878,437.691153127918,51
ATN,ATN,THALAMIC,2731685.34,69.5837528785714,2457.63808730159,2496.89129365079,1612.92095238095,6567.45033333333,10.3521507936508,5.34902380952381,1.3145,17.0156746031746,2678.37526190476,3260.10161111111,1318.55148412698,7257.02835714286,265.557206349206,353.50457936508,133.234746031746,752.296531746032,0.405444444444444,0.417547619047619,0.257,1.07999206349206,401.533547619048,50
AcB,AcB,STRIATUM,2214319.38,54.4719687531746,1758.27900793651,2082.47521428571,1351.20442857143,5191.95865079365,9.84745238095238,7.92763492063492,5.41838095238095,23.1934682539683,2053.32186507936,2862.65836507937,706.163817460318,5622.14404761905,303.603555555556,410.833626984127,157.638952380952,872.076134920635,0.858579365079365,1.33927777777778,1.03855555555556,3.2364126984127,234.669547619048,50
AuD,ACtx,AUD CTX,1786413.29166667,49.2395219883877,1400.36138057544,1603.20921763422,1133.20833847865,4136.77893668831,29.9652241855367,27.5962361712362,29.4666945901321,87.028154946905,1929.59094146594,1556.3826840405,384.008451617827,3869.98207712427,228.348866237929,354.639085451585,231.723487160987,814.711438850501,4.11463675213675,6.22919146825397,4.54487561050061,14.8887038308913,403.421677627928,48
AuP,ACtx,AUD CTX,2175106.875,49.294171648421,1678.39722517066,1960.6743619228,1378.04896174427,5017.12054883774,31.3349513333888,32.7513132700633,30.7661491864617,94.8524137899138,2480.38977821947,1939.37127692909,446.108662633663,4865.86971778222,270.456667406667,409.094241522367,264.370262839013,943.921171768047,4.06552324989825,6.76727589540089,4.64974001692752,15.4825391622267,403.421677627928,48
AuV,ACtx,AUD CTX,2276662.54545455,59.7175192424243,1753.28598484848,2077.8446969697,1403.86893939394,5234.99962121212,33.5193181818182,33.6992424242424,32.6007575757576,99.8193181818182,2605.04507575758,2314.5375,513.561742424243,5433.14431818182,310.764772727273,476.670454545454,295.30303030303,1082.73825757576,4.60795454545455,8.43636363636364,6.16515151515152,19.2094696969697,446.329545454545,44
BNST,BNST,STRIATUM,1798314.24,31.820645718254,1446.50073015873,1824.13046825397,1271.40486507936,4542.03606349206,3.34777777777778,1.94285714285714,0.715555555555556,6.00619047619047,1999.04722222222,2553.53527777778,739.613563492064,5292.19606349206,216.970888888889,306.385928571429,106.143912698413,629.50073015873,0.308833333333333,0.23352380952381,0.235,0.777357142857143,140.271047619048,50
CA1,CA1,SUBIC-HPC,3232130.55208333,132.639618532677,5316.2146794178,6296.82790022478,4364.09421429265,15977.1367939352,172.023597814223,203.287709108022,220.212614526677,595.523921448922,7008.95784117503,9062.46764670514,5234.9861405377,21306.4116284179,471.453311676749,663.528080426518,288.473503868816,1423.45489597208,15.918117472805,25.8535205535205,15.3555364774115,57.127174503737,867.655855255855,48
CA2,CA2,SUBIC-HPC,367799.619047619,45.9974297222222,260.419047619048,298.823809523809,194.84126984127,754.084126984127,5.55873015873016,6.49087301587301,4.35238095238095,16.4019841269841,291.922619047619,497.71746031746,392.680555555556,1182.32063492063,20.8059523809524,28.0559523809524,15.3174603174603,64.1793650793651,0.375793650793651,0.838095238095238,0.484920634920635,1.69880952380952,352.192857142857,42
CA3,CA3,SUBIC-HPC,1624674.68888889,141.739605925926,2823.00518518518,2991.76814814815,1968.94666666667,7783.72,44.0244444444444,34.8251851851852,20.8766666666667,99.7262962962963,3126.49851851852,4741.50074074074,3041.83185185185,10909.8311111111,224.901481481481,315.452592592593,123.208518518519,663.562592592593,2.02555555555556,3.58888888888889,1.36925925925926,6.9837037037037,910.111111111111,45
CLA,CLA,CORTICO-AMY,422480.636363636,30.0631334848485,350.944696969697,400.539015151515,229.186742424242,980.670454545455,18.9753787878788,16.5503787878788,11.4454545454545,46.9712121212121,483.066287878788,598.880681818182,154.560227272727,1236.5071969697,55.557196969697,72.5083333333333,17.7181818181818,145.783712121212,2.42121212121212,4.2969696969697,1.82424242424242,8.54242424242424,106.617045454545,44
COA,COA,OLFACTORY,2070881.26,95.8650470753968,1591.86346031746,1976.50557142857,1442.54123015873,5010.91026190476,26.5016746031746,25.0766031746032,19.7401825396825,71.3184603174603,2235.63376190476,2539.02222222222,664.292753968254,5438.94873809524,242.161373015873,366.83276984127,163.788341269841,772.782484126984,2.51604761904762,4.01923015873016,1.60516666666667,8.14044444444444,599.660547619048,50
CeA,CeA,NUCLEAR AMY,1326488.24489796,72.0383539739229,1300.2939909297,1400.52250566893,861.043424036281,3561.85992063492,13.9569160997732,11.5620181405896,7.95770975056689,33.4766439909297,1376.41672335601,2063.5727324263,823.554988662132,4263.54444444444,132.732142857143,196.119897959184,58.2675736961451,387.119614512472,0.917573696145125,1.71666666666667,0.728798185941043,3.36303854875283,416.570918367347,49
Cpu,Cpu,STRIATUM,21734453.58,119.912565354762,18191.5527698413,19957.731984127,12987.7833809524,51137.0681349206,610.429317460318,565.979126984127,432.301833333333,1608.71027777778,19982.733047619,28302.1523412698,11032.134952381,59317.0203412698,1863.7821984127,2308.07334920635,706.956634920635,4878.81218253968,45.5999841269841,65.9935555555556,25.1754920634921,136.769031746032,626.282547619048,50
