SubROI,MajorROI,System,ROIAreapx,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,CountPerROI
AI,AI,TEMP ASSOC CTX,4285382.69090909,133.092971541126,1625.98214285714,2101.53461038961,1584.66270562771,5312.17945887446,275.399350649351,7867.30729437229,406.822554112554,8549.5291991342,2511.89935064935,3146.34313852814,537.805800865801,6196.04829004329,1761.57088744589,2067.69175324675,1356.24757575758,5185.51021645022,146.875930735931,974.345476190476,100.310714285714,1221.53212121212,498.233181818182,55
ATN,ATN,THALAMIC,2722468.07272727,82.8932267363636,1258.09632034632,1440.27614718615,1094.10653679654,3792.479004329,148.721861471861,5113.12645021645,246.909523809524,5508.75783549783,1552.48493506493,1812.08177489178,717.227186147186,4081.7938961039,2054.07792207792,1469.18666666667,645.534718614719,4168.79930735931,81.7362337662338,759.187359307359,90.0119913419913,930.935584415584,432.772337662338,55
AcB,AcB,STRIATUM,4988788.76363636,94.1085006125541,2477.92807359307,2938.18363636364,2388.27811688312,7804.38982683983,329.550606060606,9790.61714285715,238.803354978355,10358.9711038961,2554.36573593074,2769.07787878788,762.022316017316,6085.46593073593,2518.41383116883,2064.12694805195,839.458528138528,5421.99930735931,137.950887445887,730.047294372294,45.7825324675325,913.780714285714,292.011623376623,55
AuD,ACtx,AUD CTX,2117540.56,52.1944525666667,926.366333333334,1086.30766666667,931.232666666666,2943.90666666667,123.943333333333,3940.59633333333,216,4280.53966666667,988.983,1050.541,372.760666666667,2412.28466666667,1007.31566666667,878.332333333333,527.441,2413.089,36.0766666666667,339.958333333333,33.69,409.725,436.601,50
AuP,ACtx,AUD CTX,2383661.76,52.6211444666667,1080.473,1287.09733333333,1085.34933333333,3452.91966666667,150.196666666667,4410.68,234.398,4795.27466666667,1249.48166666667,1210.55333333333,408.362333333333,2868.39733333333,1099.968,1023.649,608.699666666667,2732.31666666667,39.773,381.727666666666,32.7463333333333,454.247,436.601,50
AuV,ACtx,AUD CTX,2712931.09615385,66.2880025096154,1188.57788461538,1423.29423076923,1179.19967948718,3791.0717948718,217.171474358974,5146.71666666667,276.876282051282,5640.76442307692,1443.67852564103,1407.50224358974,415.583653846154,3266.76442307692,1111.38333333333,1172.65352564103,739.305448717949,3023.34230769231,56.6679487179487,461.723717948718,41.7205128205128,560.11217948718,492.123076923077,52
BNST,BNST,STRIATUM,2165422.96296296,54.3881179197531,1189.33641975309,1583.08240740741,1227.58055555556,3999.99938271605,89.9820987654321,3701.5799382716,62.995987654321,3854.55802469136,1434.125,1724.93796296296,541.648456790123,3700.71141975309,1475.67716049383,1200.51574074074,543.620061728395,3219.81296296296,115.343209876543,534.112962962963,27.8527777777778,677.308950617284,176.273148148148,54
CA1,CA1,SUBIC-HPC,2949465.85576923,137.139932820513,2473.66634615385,2957.73621794872,2256.36634615385,7687.76891025641,401.0625,8477.82051282051,563.6375,9442.52051282051,3218.50192307692,5041.01666666667,3297.30833333333,11556.8269230769,2285.41442307692,1705.14647435897,705.80641025641,4696.36730769231,74.3778846153846,509.700641025641,101.440384615385,685.51891025641,950.501923076923,52
CA2,CA2,SUBIC-HPC,518987.269230769,65.7145965128205,191.270512820513,249.693269230769,181.907371794872,622.871153846154,27.9150641025641,814.691025641025,45.8442307692308,888.45032051282,277.030448717949,457.325,346.272756410256,1080.62820512821,137.603205128205,113.80032051282,56.0887820512821,307.492307692308,5.71666666666667,42.5724358974359,6.40352564102564,54.6926282051282,461.305769230769,52
CA3,CA3,SUBIC-HPC,1915583,166.591103580247,1943.18024691358,2190.33086419753,1614.57777777778,5748.08888888889,210.514814814815,5459.89413580247,339.496604938272,6009.90555555556,2320.23395061728,3254.96419753086,2153.83641975309,7729.03456790123,2668.66450617284,1534.23641975309,568.534259259259,4771.43518518519,74.2182098765432,567.816358024691,78.266049382716,720.300617283951,1036.50555555556,54
CLA,CLA,CORTICO-AMY,723114.111111111,75.5063678020282,315.858553791887,371.654387125221,260.850551146384,948.363492063492,41.3774691358025,1052.07700617284,128.81975308642,1222.27422839506,447.274603174603,528.863734567901,145.235846560847,1121.37418430335,475.370811287478,375.922266313933,129.278835978836,980.571913580247,27.3243386243386,147.757958553792,26.692614638448,201.774911816579,206.107605820106,54
COA,COA,OLFACTORY,2550997.01818182,100.452160528139,1250.66943722944,1547.02675324675,1303.31021645022,4101.00640692641,109.136103896104,4036.6512987013,182.147142857143,4327.93454545455,1455.38632034632,1606.45424242424,468.779047619048,3530.61961038961,1026.43822510822,1048.74294372294,670.035800865801,2745.21696969697,64.785367965368,554.887142857143,47.3933766233766,667.065887445888,668.022337662337,55
CeA,CeA,NUCLEAR AMY,1577946.81818182,90.6522768831168,797.170735930736,957.730822510823,732.218354978355,2487.11991341991,130.555281385281,3160.26108225108,147.188051948052,3438.00441558442,948.287229437229,1450.68935064935,687.956623376623,3086.9332034632,1232.32939393939,1068.89701298701,416.352943722944,2717.57935064935,70.3338961038961,528.914675324675,67.678354978355,666.926926406926,475.384155844156,55
Cpu,Cpu,STRIATUM,29091252.4545455,190.529301142857,13984.8116017316,16261.3206926407,12776.7366233766,43022.8689177489,1963.29376623377,55084.7567099567,3336.21298701299,60384.2634632035,14866.9857575758,20486.2915584416,8062.89567099567,43416.172987013,20181.6233766234,16494.9972727273,4788.57493506493,41465.1955844156,1006.42913419913,5049.68757575758,784.505064935065,6840.62177489178,767.652987012987,55
DG,DG,SUBIC-HPC,2065018.71296296,173.167278333333,1894.77901234568,2266.08364197531,1731.24598765432,5892.10864197531,275.225,6265.66234567901,504.433333333333,7045.32067901235,2442.71790123457,3553.27191358025,2305.56697530864,8301.55679012346,2214.40216049383,1667.51234567901,620.833950617284,4502.74845679012,76.1688271604938,586.635185185185,78.4296296296296,741.233641975309,1156.16388888889,54
DP,DP,OLFACTORY,321295.755102041,28.3248671015549,136.453401360544,174.342711370262,130.902332361516,441.698445092323,26.4404761904762,438.967614188533,5.4958211856171,470.903911564626,191.73508260447,271.879980563654,82.2469873663751,545.8620505345,164.922594752187,154.681754130224,66.9283527696793,386.53270165209,8.86984936831876,48.2684645286686,1.37191448007775,58.5102283770651,64.2866618075802,49
ECT,ECT,TEMP ASSOC CTX,1400976.46153846,74.6423917596154,695.672435897436,889.96282051282,667.748076923077,2253.38333333333,108.623397435897,2124.71057692308,67.4147435897436,2300.74871794872,983.23782051282,939.855448717949,256.1375,2179.23076923077,615.960576923077,642.497756410256,426.310256410256,1684.76858974359,35.2849358974359,227.575961538462,15.6028846153846,278.463782051282,573.159615384615,52
ENT,ENT,TEMP ASSOC CTX,2630727.39215686,60.9689197712418,1237.08529411765,1723.17516339869,1173.52745098039,4133.78790849673,172.225490196078,3109.32973856209,67.7843137254902,3349.33954248366,1953.43594771242,2233.68758169935,634.700653594771,4821.82418300654,1082.88431372549,1182.89836601307,897.336601307189,3163.11928104575,56.7447712418301,461.661764705882,19.6065359477124,538.013071895425,508.48137254902,51
EP,EP,OLFACTORY,2851446.56363636,190.849256813853,1254.74491341991,1539.17021645022,1127.52997835498,3921.44510822511,199.475238095238,4757.30145021645,315.551406926407,5272.32809523809,1690.99688311688,1942.77471861472,414.693614718615,4048.46521645022,1317.70272727273,1319.46463203463,698.28132034632,3335.44867965368,83.2922077922078,547.845021645022,62.7491991341991,693.886428571428,884.99474025974,55
EPI,EPI,THALAMIC,783980.111111111,66.743997654321,386.075617283951,395.661419753086,384.350617283951,1166.08765432099,44.3345679012346,1198.65586419753,82.133950617284,1325.12438271605,364.073456790123,438.233950617284,295.499074074074,1097.80648148148,413.068209876543,456.708950617284,222.389197530864,1092.16635802469,20.9663580246914,145.856172839506,20.4345679012346,187.257098765432,395.231481481482,54
Gus,Gus,VISC CTX,1817271.03636364,76.8380775670996,706.090476190476,849.425086580086,691.078311688311,2246.59387445887,115.198181818182,3086.60768398268,268.07961038961,3469.88547619048,952.864523809524,1007.26216450216,230.41380952381,2190.5404978355,752.020995670996,832.641948051948,513.074761904762,2097.73770562771,54.3444155844156,366.996103896104,61.8782683982684,483.218787878788,266.20474025974,55
