[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,172621,AI,AI,TEMP ASSOC CTX,7.3601,5,6,1,12,0,149,11,160,32,71,21,124,63,86,75,224,3,4,3,10
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,85952,AcB,AcB,STRIATUM,17.7564,6,7,1,14,0,279,4,283,28,26,7,61,42,55,48,145,9,2,4,15
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,384333,BNST,BNST,STRIATUM,13.1829,97,86,45,228,0,222,1,223,269,390,49,708,320,350,66,736,5,3,1,9
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,64154,CLA,CLA,CORTICO-AMY,11.4584,2,0,0,2,0,63,44,107,19,35,7,61,54,48,20,122,10,19,14,43
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,4028630,Cpu,Cpu,STRIATUM,13.2796,249,191,64,504,0,7819,661,8480,2546,2738,166,5450,2937,3775,1478,8190,674,438,321,1433
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,97681,EP,EP,OLFACTORY,7.2143,3,0,0,3,0,93,59,152,31,52,6,89,53,84,42,179,12,27,24,63
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,1132713,FBRS,FBRS,V&F,10.5371,342,344,77,763,0,745,35,780,436,586,118,1140,342,294,160,796,42,15,16,73
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,192972,Gus,Gus,VISC CTX,6.2786,10,3,0,13,0,215,27,242,33,49,19,101,95,117,65,277,4,12,8,24
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,51753,HY,HY,HYPOTHAL,NaN,14,19,14,47,0,115,0,115,20,18,3,41,39,22,10,71,8,1,0,9
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,213960,LH,LH,HYPOTHAL,0,9,5,0,14,0,608,0,608,32,49,11,92,115,134,58,307,38,0,0,38
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,698253,LSC,LSC,STRIATUM,8.0363,310,143,49,502,0,123,0,123,218,471,350,1039,365,329,230,924,3,0,0,3
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,850040,MoP,Mo,MOTOR CTX,12.5252,47,45,13,105,0,2480,29,2509,129,233,101,463,264,399,265,928,66,24,15,105
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,599318,MoS,Mo,MOTOR CTX,5.4119,41,43,13,97,0,1400,12,1412,78,131,38,247,147,239,214,600,37,4,4,45
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,554544,OTub,OTub,OLFACTORY,8.2357,68,91,41,200,0,1808,9,1817,147,228,48,423,153,173,181,507,76,10,4,90
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,278962,PALm,PALm,STRIATUM,0,18,22,5,45,0,737,0,737,109,152,23,284,115,150,160,425,48,2,0,50
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,673744,PALv,PALv,STRIATUM,10.308,55,53,11,119,0,1637,0,1637,248,393,85,726,342,368,258,968,111,2,1,114
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,383089,PH,PH,HYPOTHAL,4.9921,21,20,5,46,0,1230,0,1230,97,90,6,193,194,243,103,540,80,4,0,84
01_01_0.4_8488_LEFT_COUNTS.tif,8488,23,1,LEFT,0.4,3286,4500,4408.9212,2033.2856,4090.2702,3680.4978,5188.0112,7433.6699,6427.2184,3110.2533,3571,33697,12836,20559,769260,PIR,PIR,OLFACTORY,8.0307,64,62,21,147,0,551,51,602,179,232,64,475,230,304,345,879,28,25,31,84
