[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,115414,AI,AI,TEMP ASSOC CTX,1.0475,0,0,0,0,10,80,17,107,23,22,3,48,0,0,0,0,0,0,0,0
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,265568,AcB,AcB,STRIATUM,1.3347,5,4,1,10,61,68,2,131,54,60,18,132,1,2,0,3,0,0,0,0
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,389932,BNST,BNST,STRIATUM,4.2136,10,9,3,22,240,149,0,389,96,88,59,243,2,1,0,3,0,0,0,0
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,87302,CLA,CLA,CORTICO-AMY,4.6654,0,0,0,0,7,35,4,46,27,6,0,33,0,0,0,0,0,0,0,0
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,3790254,Cpu,Cpu,STRIATUM,5.7211,225,176,171,572,2056,1857,31,3944,1114,1244,606,2964,160,162,110,432,16,21,1,38
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,109625,EP,EP,OLFACTORY,1.6027,0,0,0,0,7,48,10,65,26,29,0,55,0,0,0,0,0,0,0,0
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,1315366,FBRS,FBRS,V&F,4.2103,118,57,28,203,409,301,5,715,305,266,153,724,17,13,10,40,0,4,0,4
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,166327,Gus,Gus,VISC CTX,1.5896,3,0,0,3,26,71,28,125,53,41,8,102,1,0,0,1,0,0,0,0
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,119112,HY,HY,HYPOTHAL,5.4831,7,3,2,12,26,35,0,61,32,37,24,93,3,1,2,6,0,0,0,0
01_01_0.2_9228_RIGHT_COUNTS.tif,9228,25,1,RIGHT,0.2,3360,4032,13135.27,7889.8927,15389.8594,20530.6298,14263.6747,14668.5165,15169.0316,16810.7076,1535,11979,9603,1033,243941,LH,LH,HYPOTHAL,3.7946,14,14,5,33,57,50,0,107,52,49,1,102,0,2,0,2,0,0,0,0
