[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,365538,ATN,ATN,THALAMIC,8.3761,145,166,144,455,0,220,14,234,125,173,158,456,15,6,3,24,0,11,3,14
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,600580,AuV,ACtx,AUD CTX,7.7667,267,308,311,886,0,432,18,450,190,262,256,708,9,11,1,21,0,4,0,4
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,69412,CA2s,CA2,SUBIC-HPC,9.8011,30,51,36,117,0,6,2,8,35,62,73,170,10,11,17,38,0,2,1,3
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,150316,CA3p,CA3,SUBIC-HPC,11.3727,71,110,66,247,0,32,18,50,65,134,149,348,35,43,18,96,0,3,0,3
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,401188,CA3s,CA3,SUBIC-HPC,10.867,150,275,108,533,0,44,13,57,216,383,398,997,84,73,29,186,0,8,3,11
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,280495,COA,COA,OLFACTORY,7.3989,141,162,224,527,0,161,9,170,124,182,111,417,2,1,1,4,0,4,1,5
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,361291,CeA,CeA,NUCLEAR AMY,11.1246,148,205,253,606,0,317,67,384,186,273,479,938,12,17,5,34,0,15,4,19
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,1239193,Cpu,Cpu,STRIATUM,11.3589,550,745,702,1997,0,750,122,872,561,914,1517,2992,374,79,8,461,0,46,4,50
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,43667,DGg,DG,SUBIC-HPC,10.5022,18,36,22,76,0,11,7,18,23,39,40,102,3,5,2,10,0,1,0,1
01_01_-1.2_3662_LEFT_COUNTS.tif,3662,39,1,LEFT,-1.2,3978,5053,10185.6429,2944.9185,26505.0601,6207.7832,7004.9718,7613.0363,20457.0197,6941.5903,38710,14649,32353,9355,138049,DGm,DG,SUBIC-HPC,11.5931,52,99,68,219,0,61,22,83,57,105,100,262,34,19,2,55,0,4,0,4
