"Width","Height","Name"
"?446 pixels","?1748 pixels","01_01_0.9_8358_LEFT_THUMB.tif"
"?1603 pixels","?438 pixels","01_01_1.1_8358_RIGHT_THUMB.tif"
"?1698 pixels","?450 pixels","02_01_0.6_8358_LEFT_THUMB.tif"
"?447 pixels","?1583 pixels","02_01_1_8358_RIGHT_THUMB.tif"
"?447 pixels","?1653 pixels","03_01_1.6_8358_RIGHT_THUMB.tif"
"?452 pixels","?1683 pixels","03_01_1.8_8358_LEFT_THUMB.tif"
"?1233 pixels","?341 pixels","04_01_2.2_8358_RIGHT_THUMB.tif"
"?1383 pixels","?355 pixels","04_01_2.5_8358_LEFT_THUMB.tif"
"?1353 pixels","?352 pixels","05_01_2.2_8358_LEFT_THUMB.tif"
"?1188 pixels","?343 pixels","05_01_2.5_8358_RIGHT_THUMB.tif"
"?1343 pixels","?354 pixels","06_01_2.2_8358_LEFT_THUMB.tif"
"?1178 pixels","?343 pixels","06_01_2.2_8358_RIGHT_THUMB.tif"
"?1448 pixels","?406 pixels","07_01_1.6_8358_LEFT_THUMB.tif"
"?408 pixels","?1568 pixels","07_01_2.3_8358_RIGHT_THUMB.tif"
"?1453 pixels","?411 pixels","08_01_1.6_8358_LEFT_THUMB.tif"
"?1583 pixels","?410 pixels","08_01_1.6_8358_RIGHT_THUMB.tif"
"?1453 pixels","?412 pixels","09_01_1.6_8358_LEFT_THUMB.tif"
"?1578 pixels","?413 pixels","09_01_1.6_8358_RIGHT_THUMB.tif"
"?1603 pixels","?439 pixels","10_01_1.1_8358_LEFT_THUMB.tif"
"?1498 pixels","?433 pixels","10_01_1.1_8358_RIGHT_THUMB.tif"
"?439 pixels","?1578 pixels","11_01_1.6_8358_LEFT_THUMB.tif"
"?432 pixels","?1493 pixels","11_01_1.6_8358_RIGHT_THUMB.tif"
"?1563 pixels","?437 pixels","12_01_0.9_8358_LEFT_THUMB.tif"
"?1493 pixels","?428 pixels","12_01_1.2_8358_RIGHT_THUMB.tif"
"?1333 pixels","?365 pixels","16_01_2.5_8358_LEFT_THUMB.tif"
"?1483 pixels","?367 pixels","16_01_2.5_8358_RIGHT_THUMB.tif"
"?1358 pixels","?368 pixels","17_01_2.2_8358_LEFT_THUMB.tif"
"?1493 pixels","?370 pixels","17_01_2.5_8358_RIGHT_THUMB.tif"
"?1498 pixels","?373 pixels","18_01_1.6_8358_RIGHT_THUMB.tif"
"?1333 pixels","?370 pixels","18_01_2.3_8358_LEFT_THUMB.tif"
"?1308 pixels","?337 pixels","19_01_2.2_8358_RIGHT_THUMB.tif"
"?1083 pixels","?331 pixels","19_01_2.5_8358_LEFT_THUMB.tif"
"?1138 pixels","?330 pixels","20_01_2.2_8358_LEFT_THUMB.tif"
"?1358 pixels","?338 pixels","20_01_2.2_8358_RIGHT_THUMB.tif"
"?1128 pixels","?330 pixels","21_01_2.3_8358_LEFT_THUMB.tif"
"?1368 pixels","?341 pixels","21_01_2.3_8358_RIGHT_THUMB.tif"
"?1588 pixels","?430 pixels","22_01_1.1_8358_RIGHT_THUMB.tif"
"?443 pixels","?1713 pixels","22_01_2.5_8358_LEFT_THUMB.tif"
"?1583 pixels","?431 pixels","23_01_1.2_8358_RIGHT_THUMB.tif"
"?446 pixels","?1678 pixels","23_01_1.6_8358_LEFT_THUMB.tif"
"?1578 pixels","?422 pixels","24_01_1.1_8358_RIGHT_THUMB.tif"
"?1658 pixels","?439 pixels","24_01_1.2_8358_LEFT_THUMB.tif"
"?415 pixels","?1463 pixels","28_01_1.6_8358_RIGHT_THUMB.tif"
"?423 pixels","?1588 pixels","28_01_2.5_8358_LEFT_THUMB.tif"
"?1578 pixels","?423 pixels","29_01_1.2_8358_LEFT_THUMB.tif"
"?414 pixels","?1458 pixels","29_01_1.6_8358_RIGHT_THUMB.tif"
"?1558 pixels","?421 pixels","30_01_1.2_8358_LEFT_THUMB.tif"
"?413 pixels","?1453 pixels","30_01_1.6_8358_RIGHT_THUMB.tif"
"?1428 pixels","?398 pixels","32_01_1.6_8358_LEFT_THUMB.tif"
"?396 pixels","?1548 pixels","32_01_1.6_8358_RIGHT_THUMB.tif"
"?1423 pixels","?399 pixels","33_01_1.6_8358_LEFT_THUMB.tif"
"?1533 pixels","?398 pixels","33_01_1.6_8358_RIGHT_THUMB.tif"
"?1808 pixels","?477 pixels","37_01_-0.4_8358_LEFT_THUMB.tif"
"?1743 pixels","?479 pixels","37_01_-0.5_8358_RIGHT_THUMB.tif"
"?1803 pixels","?478 pixels","38_01_-0.5_8358_LEFT_THUMB.tif"
"?1768 pixels","?481 pixels","38_01_-0.5_8358_RIGHT_THUMB.tif"
"?1808 pixels","?477 pixels","39_01_-0.4_8358_LEFT_THUMB.tif"
"?1758 pixels","?479 pixels","39_01_-0.4_8358_RIGHT_THUMB.tif"
"?1768 pixels","?465 pixels","40_01_-0.1_8358_LEFT_THUMB.tif"
"?465 pixels","?1868 pixels","40_01_-0.1_8358_RIGHT_THUMB.tif"
"?1748 pixels","?464 pixels","42_01_-0.1_8358_LEFT_THUMB.tif"
"?1878 pixels","?465 pixels","42_01_-0.1_8358_RIGHT_THUMB.tif"
"?1853 pixels","?485 pixels","43_01_-0.4_8358_LEFT_THUMB.tif"
"?482 pixels","?1798 pixels","43_01_-3.4_8358_RIGHT_THUMB.tif"
"?1808 pixels","?480 pixels","44_01_-0.4_8358_RIGHT_THUMB.tif"
"?1853 pixels","?482 pixels","44_01_-0.5_8358_LEFT_THUMB.tif"
"?1868 pixels","?472 pixels","45_01_-0.4_8358_LEFT_THUMB.tif"
