"Width","Height","Name"
"?1768 pixels","?462 pixels","01_01_0_8492_LEFT_THUMB.tif"
"?1728 pixels","?457 pixels","01_01_0_8492_RIGHT_THUMB.tif"
"?1753 pixels","?455 pixels","02_01_-0.1_8492_RIGHT_THUMB.tif"
"?1783 pixels","?463 pixels","02_01_0_8492_LEFT_THUMB.tif"
"?1763 pixels","?456 pixels","03_01_-0.1_8492_RIGHT_THUMB.tif"
"?1803 pixels","?466 pixels","03_01_0_8492_LEFT_THUMB.tif"
"?455 pixels","?1588 pixels","04_01_1.6_8492_LEFT_THUMB.tif"
"?449 pixels","?1543 pixels","04_01_1.6_8492_RIGHT_THUMB.tif"
"?456 pixels","?1598 pixels","05_01_1.6_8492_LEFT_THUMB.tif"
"?1553 pixels","?450 pixels","05_01_1_8492_RIGHT_THUMB.tif"
"?430 pixels","?1558 pixels","08_01_1.6_8492_LEFT_THUMB.tif"
"?421 pixels","?1468 pixels","08_01_1.6_8492_RIGHT_THUMB.tif"
"?1468 pixels","?424 pixels","09_01_1.2_8492_RIGHT_THUMB.tif"
"?433 pixels","?1558 pixels","09_01_1.6_8492_LEFT_THUMB.tif"
"?1643 pixels","?458 pixels","10_01_0.3_8492_RIGHT_THUMB.tif"
"?465 pixels","?1698 pixels","10_01_1.2_8492_LEFT_THUMB.tif"
"?457 pixels","?1638 pixels","11_01_-0.5_8492_RIGHT_THUMB.tif"
"?463 pixels","?1708 pixels","11_01_-0.8_8492_LEFT_THUMB.tif"
"?1718 pixels","?461 pixels","12_01_-0.1_8492_LEFT_THUMB.tif"
"?1633 pixels","?456 pixels","12_01_-0.1_8492_RIGHT_THUMB.tif"
"?1598 pixels","?442 pixels","14_01_1.2_8492_LEFT_THUMB.tif"
"?1498 pixels","?434 pixels","14_01_1.2_8492_RIGHT_THUMB.tif"
"?1573 pixels","?444 pixels","15_01_1.2_8492_LEFT_THUMB.tif"
"?1488 pixels","?435 pixels","15_01_1_8492_RIGHT_THUMB.tif"
"?404 pixels","?1448 pixels","16_01_0.1_8492_LEFT_THUMB.tif"
"?398 pixels","?1388 pixels","16_01_0.1_8492_RIGHT_THUMB.tif"
"?1473 pixels","?410 pixels","18_01_1.6_8492_LEFT_THUMB.tif"
"?1423 pixels","?404 pixels","18_01_1.6_8492_RIGHT_THUMB.tif"
"?655 pixels","?2383 pixels","19_01_-1.5_8492_RIGHT_THUMB.tif"
"?608 pixels","?2298 pixels","19_01_-1.7_8492_LEFT_THUMB.tif"
"?1163 pixels","?261 pixels","22_01_2.2_8492_LEFT_THUMB.tif"
