"Width","Height","Name"
"?419 pixels","?1729 pixels","05_01_-0.3_3539_RIGHT_THUMB.tif"
"?419 pixels","?1729 pixels","05_01_-0.6_3539_LEFT_THUMB.tif"
"?418 pixels","?1744 pixels","06_01_-0.3_3539_RIGHT_THUMB.tif"
"?421 pixels","?1744 pixels","06_01_-0.4_3539_LEFT_THUMB.tif"
"?487 pixels","?1739 pixels","07_01_-3.2_3539_LEFT_THUMB.tif"
"?503 pixels","?1739 pixels","07_01_-3.2_3539_RIGHT_THUMB.tif"
"?503 pixels","?1739 pixels","08_01_-0.8_3539_RIGHT_THUMB.tif"
"?490 pixels","?1739 pixels","08_01_-3.4_3539_LEFT_THUMB.tif"
"?490 pixels","?1729 pixels","09_01_-0.4_3539_LEFT_THUMB.tif"
"?504 pixels","?1729 pixels","09_01_-3.2_3539_RIGHT_THUMB.tif"
"?2139 pixels","?500 pixels","100_01_-3.3_3539_RIGHT_THUMB.tif"
"?2144 pixels","?496 pixels","100_01_-3.4_3539_LEFT_THUMB.tif"
"?503 pixels","?2124 pixels","101_01_-0.2_3539_LEFT_THUMB.tif"
"?503 pixels","?2124 pixels","101_01_-0.4_3539_RIGHT_THUMB.tif"
"?541 pixels","?2189 pixels","102_01_-0.7_3539_RIGHT_THUMB.tif"
"?2189 pixels","?528 pixels","102_01_-3.5_3539_LEFT_THUMB.tif"
"?2194 pixels","?567 pixels","103_01_-3.5_3539_LEFT_THUMB.tif"
"?579 pixels","?2194 pixels","103_01_-3.5_3539_RIGHT_THUMB.tif"
"?607 pixels","?2344 pixels","104_01_-0.7_3539_RIGHT_THUMB.tif"
"?615 pixels","?2344 pixels","104_01_-0.8_3539_LEFT_THUMB.tif"
"?2329 pixels","?601 pixels","105_01_-2.3_3539_LEFT_THUMB.tif"
"?606 pixels","?2329 pixels","105_01_-3.5_3539_RIGHT_THUMB.tif"
"?526 pixels","?2339 pixels","106_01_-0.6_3539_RIGHT_THUMB.tif"
"?2344 pixels","?528 pixels","106_01_-2_3539_LEFT_THUMB.tif"
"?2354 pixels","?531 pixels","107_01_-2_3539_LEFT_THUMB.tif"
"?2354 pixels","?530 pixels","107_01_-2_3539_RIGHT_THUMB.tif"
