"Width","Height","Name"
"?569 pixels","?2399 pixels","01_01_-0.9_3542_LEFT_THUMB.tif"
"?536 pixels","?2399 pixels","01_01_-3_3542_RIGHT_THUMB.tif"
"?2294 pixels","?579 pixels","02_01_-2.2_3542_RIGHT_THUMB.tif"
"?586 pixels","?2294 pixels","02_01_-3.5_3542_LEFT_THUMB.tif"
"?574 pixels","?2384 pixels","03_01_-0.7_3542_LEFT_THUMB.tif"
"?536 pixels","?2384 pixels","03_01_-3_3542_RIGHT_THUMB.tif"
"?583 pixels","?2169 pixels","04_01_-3.4_3542_LEFT_THUMB.tif"
"?618 pixels","?2174 pixels","04_01_-3.5_3542_RIGHT_THUMB.tif"
"?641 pixels","?2169 pixels","05_01_-3.2_3542_RIGHT_THUMB.tif"
"?594 pixels","?2169 pixels","05_01_0_3542_LEFT_THUMB.tif"
"?581 pixels","?2179 pixels","06_01_-0.5_3542_LEFT_THUMB.tif"
"?642 pixels","?2179 pixels","06_01_-0.7_3542_RIGHT_THUMB.tif"
"?1689 pixels","?450 pixels","01_01_0.3_3596_LEFT_THUMB.tif"
"?479 pixels","?1689 pixels","01_01_2.2_3596_RIGHT_THUMB.tif"
"?479 pixels","?1684 pixels","02_01_1.6_3596_RIGHT_THUMB.tif"
"?454 pixels","?1684 pixels","02_01_2.2_3596_LEFT_THUMB.tif"
"?498 pixels","?1704 pixels","04_01_1.6_3596_RIGHT_THUMB.tif"
"?499 pixels","?1704 pixels","04_01_2.3_3596_LEFT_THUMB.tif"
"?497 pixels","?1699 pixels","05_01_1.6_3596_RIGHT_THUMB.tif"
"?498 pixels","?1699 pixels","05_01_2.2_3596_LEFT_THUMB.tif"
"?509 pixels","?1989 pixels","07_01_-0.1_3596_RIGHT_THUMB.tif"
"?1989 pixels","?509 pixels","07_01_-1.7_3596_LEFT_THUMB.tif"
"?1989 pixels","?517 pixels","08_01_-1.8_3596_RIGHT_THUMB.tif"
"?1989 pixels","?522 pixels","08_01_-2.1_3596_LEFT_THUMB.tif"
"?1969 pixels","?560 pixels","09_01_-1.4_3596_RIGHT_THUMB.tif"
"?1969 pixels","?568 pixels","09_01_-1.7_3596_LEFT_THUMB.tif"
"?533 pixels","?1804 pixels","16_01_-3.3_3596_RIGHT_THUMB.tif"
"?528 pixels","?1799 pixels","16_01_-3.4_3596_LEFT_THUMB.tif"
"?1909 pixels","?494 pixels","17_01_-1.2_3596_LEFT_THUMB.tif"
"?1909 pixels","?492 pixels","17_01_-1.2_3596_RIGHT_THUMB.tif"
"?1874 pixels","?493 pixels","18_01_-0.9_3596_RIGHT_THUMB.tif"
"?499 pixels","?1874 pixels","18_01_-1.4_3596_LEFT_THUMB.tif"
"?521 pixels","?1934 pixels","19_01_-0.3_3596_LEFT_THUMB.tif"
"?526 pixels","?1934 pixels","19_01_-0.4_3596_RIGHT_THUMB.tif"
"?1939 pixels","?527 pixels","20_01_-2.1_3596_LEFT_THUMB.tif"
"?1939 pixels","?533 pixels","20_01_-2.1_3596_RIGHT_THUMB.tif"
"?575 pixels","?2014 pixels","22_01_-0.4_3596_LEFT_THUMB.tif"
"?574 pixels","?2014 pixels","22_01_-0.6_3596_RIGHT_THUMB.tif"
"?561 pixels","?2269 pixels","02_01_-2.8_3602_LEFT_THUMB.tif"
"?618 pixels","?2269 pixels","02_01_-2.8_3602_RIGHT_THUMB.tif"
"?2264 pixels","?559 pixels","03_01_-1.9_3602_LEFT_THUMB.tif"
"?616 pixels","?2264 pixels","03_01_-2.8_3602_RIGHT_THUMB.tif"
"?2069 pixels","?565 pixels","04_01_-1.2_3602_LEFT_THUMB.tif"
"?567 pixels","?2069 pixels","04_01_-3.3_3602_RIGHT_THUMB.tif"
"?2069 pixels","?566 pixels","05_01_-1.6_3602_RIGHT_THUMB.tif"
