"Width","Height","Name"
"?493 pixels","?1859 pixels","03_01_-0.4_3307_LEFT_THUMB.tif"
"?498 pixels","?1859 pixels","03_01_-0.6_3307_RIGHT_THUMB.tif"
"?1964 pixels","?505 pixels","04_01_-0.1_3307_LEFT_THUMB.tif"
"?519 pixels","?1964 pixels","04_01_-0.4_3307_RIGHT_THUMB.tif"
"?469 pixels","?1949 pixels","05_01_-0.4_3307_LEFT_THUMB.tif"
"?465 pixels","?1949 pixels","05_01_-0.4_3307_RIGHT_THUMB.tif"
"?471 pixels","?1949 pixels","06_01_-0.4_3307_LEFT_THUMB.tif"
"?465 pixels","?1949 pixels","06_01_-0.4_3307_RIGHT_THUMB.tif"
"?503 pixels","?1964 pixels","07_01_-0.3_3307_LEFT_THUMB.tif"
"?1964 pixels","?498 pixels","07_01_0_3307_RIGHT_THUMB.tif"
"?541 pixels","?2019 pixels","08_01_-0.5_3307_RIGHT_THUMB.tif"
"?546 pixels","?2019 pixels","08_01_-0.8_3307_LEFT_THUMB.tif"
"?542 pixels","?2054 pixels","09_01_-0.1_3307_RIGHT_THUMB.tif"
"?546 pixels","?2054 pixels","09_01_-0.9_3307_LEFT_THUMB.tif"
"?481 pixels","?1824 pixels","13_01_-0.3_3307_LEFT_THUMB.tif"
"?481 pixels","?1824 pixels","13_01_-0.3_3307_RIGHT_THUMB.tif"
"?482 pixels","?1889 pixels","14_01_-0.4_3307_RIGHT_THUMB.tif"
"?483 pixels","?1889 pixels","14_01_-0.8_3307_LEFT_THUMB.tif"
"?484 pixels","?1894 pixels","15_01_-0.8_3307_LEFT_THUMB.tif"
"?482 pixels","?1894 pixels","15_01_-0.8_3307_RIGHT_THUMB.tif"
"?495 pixels","?2034 pixels","16_01_-0.6_3307_LEFT_THUMB.tif"
"?495 pixels","?2034 pixels","16_01_-0.6_3307_RIGHT_THUMB.tif"
"?495 pixels","?2039 pixels","17_01_-0.8_3307_RIGHT_THUMB.tif"
"?497 pixels","?2039 pixels","17_01_-1.3_3307_LEFT_THUMB.tif"
"?494 pixels","?2024 pixels","18_01_-0.1_3307_RIGHT_THUMB.tif"
"?497 pixels","?2024 pixels","18_01_-0.8_3307_LEFT_THUMB.tif"
"?497 pixels","?2074 pixels","22_01_-0.1_3307_LEFT_THUMB.tif"
"?493 pixels","?2074 pixels","22_01_-0.3_3307_RIGHT_THUMB.tif"
"?494 pixels","?2014 pixels","23_01_-0.7_3307_RIGHT_THUMB.tif"
"?499 pixels","?2014 pixels","23_01_-0.8_3307_LEFT_THUMB.tif"
"?1979 pixels","?500 pixels","24_01_-0.1_3307_LEFT_THUMB.tif"
"?494 pixels","?1979 pixels","24_01_-0.7_3307_RIGHT_THUMB.tif"
"?481 pixels","?1904 pixels","25_01_-0.3_3307_LEFT_THUMB.tif"
"?476 pixels","?1904 pixels","25_01_-0.3_3307_RIGHT_THUMB.tif"
"?484 pixels","?1874 pixels","26_01_-0.1_3307_LEFT_THUMB.tif"
"?478 pixels","?1874 pixels","26_01_-0.4_3307_RIGHT_THUMB.tif"
"?487 pixels","?1854 pixels","27_01_-0.2_3307_LEFT_THUMB.tif"
"?478 pixels","?1854 pixels","27_01_-0.5_3307_RIGHT_THUMB.tif"
"?549 pixels","?1979 pixels","31_01_-0.4_3307_LEFT_THUMB.tif"
"?559 pixels","?1979 pixels","31_01_-3.4_3307_RIGHT_THUMB.tif"
"?2154 pixels","?555 pixels","33_01_-1.4_3307_RIGHT_THUMB.tif"
"?2154 pixels","?555 pixels","33_01_-1.8_3307_LEFT_THUMB.tif"
