idBysubroi,grp,SUBROI,AREAmm2,Ch1mm2,Ch2mm2,Ch3mm2,Ch4mm2,OLmm2
3425,SAA,AcB,2.963172,534.22481,1496.70691,801.84343,781.932334,199.110953
3426,SAA,AcB,8.89830031,581.796502,1480.8446,1139.43109,819.707106,234.089649
3429,SAA,AcB,4.33037209,1189.7361,957.654425,711.486203,560.459921,144.560326
3431,SAB,AcB,3.54884538,525.804818,1645.88743,839.991513,683.60262,204.573579
3433,SAB,AcB,3.85685587,827.357854,1692.3111,1162.08646,1054.48586,286.762077
3507,SAA,AcB,21.3232123,1033.94365,1426.66122,836.084158,933.20836,275.802722
3508,SAA,AcB,14.7490913,1373.30495,1950.01844,753.944755,524.981496,176.688852
3531,SAB,AcB,10.72194,839.866663,1811.89224,771.222369,952.53284,255.550767
3539,CAA,AcB,20.0202993,615.725061,1335.44457,1108.67474,1215.66614,436.906556
3540,CAA,AcB,33.4331423,296.891028,1582.95022,655.995772,789.276692,228.844777
3541,CAA,AcB,33.0532214,161.920678,1837.76339,744.042456,931.406947,266.146525
3542,CAA,AcB,17.4976328,398.968255,1679.82723,743.929203,919.152906,268.26486
3595,SAA,AcB,3.62708462,1033.06109,1293.87662,806.984206,899.344885,235.72651
3596,CAB,AcB,49.169545,607.794927,2019.31907,1027.83135,1053.86373,344.725582
3597,SAB,AcB,8.27692848,923.047725,2372.86091,964.609036,1921.60655,487.258046
3602,CAA,AcB,25.1912096,1311.40983,1665.5016,1114.11879,1262.10692,237.305
3603,SAB,AcB,10.3933903,500.702837,1389.15211,832.067281,746.435935,202.147706
3604,SAB,AcB,5.60982289,688.970057,1446.74799,1083.63492,985.770871,333.700374
3607,CAA,AcB,10.474185,628.784005,1195.98804,841.879343,1124.95626,304.080938
3608,CAB,AcB,13.8650943,1336.66599,1714.23284,1068.22209,801.00429,229.569301
3661,CAA,AcB,12.5894244,868.586174,1651.78322,824.580985,1222.85177,339.72959
3662,CAB,AcB,2.11959698,1170.97733,1166.73124,998.774778,1234.19689,280.713743
3663,CAB,AcB,17.9249026,736.461464,1937.86269,959.558911,1532.50484,469.625983
3664,CAB,AcB,19.0505119,990.996993,1412.71794,872.784946,1140.28432,222.251246
3858,CAB,AcB,13.6217475,720.906034,1269.00017,759.814404,926.166041,204.085415
8056,SAA,AcB,12.5376458,668.785844,1506.10413,780.210272,1248.79904,214.952636
8060,SAA,AcB,13.4069617,55.941086,1531.14482,534.722194,439.846112,49.45192
8061,SAA,AcB,3.48664177,1234.99926,2212.4441,1174.48257,1739.49617,350.767323
8350,SAB,AcB,5.67076413,1226.99513,1034.95752,548.250629,1868.88394,203.323569
8351,SAB,AcB,17.3109635,1278.95827,2365.61067,928.140135,352.435611,71.1687711
8352,SAB,AcB,0.344709931,1540.42559,3455.07887,1305.44542,472.86134,110.237613
8358,CAA,AcB,24.3920651,192.726609,1044.02804,548.580038,670.791913,79.5340613
8364,CAB,AcB,8.60437885,211.636427,1930.7611,519.270488,765.889103,101.343748
8365,CAB,AcB,2.82615032,819.843158,1097.25232,868.318994,1158.1125,48.4758363
8487,CAB,AcB,12.9414441,299.73471,1716.80995,537.497975,727.662223,80.2074321
8488,CAB,AcB,10.6856342,163.77128,1357.61712,1137.60211,1459.8104,64.2919255
8489,CAB,AcB,20.8837462,1715.87988,1989.05884,773.663873,1028.64686,128.137929
8492,CAB,AcB,33.6308869,332.848789,1538.2883,515.597464,835.541449,176.326007
8753,SAB,AcB,3.34726448,103.666741,395.248122,584.059016,968.552087,29.5763901
9204,CAB,AcB,32.2120127,1543.80294,1563.32982,569.011324,819.942555,147.646781
9214,CAA,AcB,20.0118471,1360.54408,837.004197,628.527689,884.975781,57.865723
9221,CAA,AcB,13.7588615,234.176353,764.743508,337.600608,352.718138,54.3649633
9222,CAA,AcB,1.15871076,1139.19716,77.6725333,1914.19643,2264.58586,2.58908444
9224,CAA,AcB,6.45641776,432.128171,942.782859,420.511822,409.050358,52.6607807
9228,SAA,AcB,26.7412703,154.031575,1124.47911,509.063325,63.3477759,10.3211252
9229,SAA,AcB,22.9396481,386.318044,1128.09054,676.034781,408.593887,42.8079801
9265,CAA,AcB,4.03689192,650.252732,1730.29156,619.536032,940.327379,167.950991
9266,SAB,AcB,1.19739985,669.784617,670.61976,609.654327,141.974295,36.7462882
9272,SAA,AcB,8.90903737,1085.86367,747.555512,416.655565,1024.91432,104.94961
9275,SAB,AcB,30.8236598,1434.61225,1844.20021,984.179041,260.935919,34.6162657
9276,SAB,AcB,18.0826373,1208.56265,1116.70658,874.872385,464.091596,75.7079832
9278,CAA,AcB,20.3943159,825.475104,1931.12631,1087.5089,1038.2795,164.702755
3425,SAA,AI,20.0082076,457.112411,1207.05465,914.774595,817.914345,219.909754
3426,SAA,AI,48.5678176,419.557662,1160.54216,828.07921,857.893191,266.472752
3429,SAA,AI,37.3813224,1139.82056,1146.85616,779.185917,819.259406,280.113151
3431,SAB,AI,35.9071146,507.670978,1180.26749,995.847213,848.077055,268.386923
3433,SAB,AI,22.1441139,750.673524,1213.55048,983.873191,826.901455,284.499982
3507,SAA,AI,35.0085504,1123.66835,1205.96253,687.28924,678.177181,251.938452
3508,SAA,AI,23.4909039,1179.35011,1094.1682,808.100025,793.626337,270.785664
3531,SAB,AI,23.8895436,601.853273,1205.2972,811.275441,961.04808,270.076319
3539,CAA,AI,38.8149453,689.785849,1167.48844,874.456984,980.936588,314.260394
3540,CAA,AI,38.9175632,353.336614,1505.38716,518.76321,890.009476,326.202335
3541,CAA,AI,39.8454479,117.27814,1272.36617,897.768802,1265.66528,440.02517
3542,CAA,AI,34.7500214,317.985416,1321.78336,586.042805,873.208096,292.143705
3595,SAA,AI,22.0384331,868.618922,986.549266,893.484574,849.243679,234.363304
3596,CAB,AI,31.9223873,505.977196,1740.40868,1021.28953,892.163852,224.795218
3597,SAB,AI,25.9300464,888.968713,1784.57066,1237.13623,1869.29862,626.801809
3602,CAA,AI,37.1903156,1141.04974,1336.12741,1205.07178,1398.96635,364.046386
3603,SAB,AI,28.0275635,738.665708,1650.55375,1355.13028,804.814876,319.257149
3604,SAB,AI,27.350123,739.48479,1525.7701,1191.9142,950.269948,303.14306
3607,CAA,AI,20.3343802,589.49424,1114.2705,743.519096,941.11548,348.52304
3608,CAB,AI,29.9515931,1031.43095,1560.18412,1227.88126,844.128722,366.524744
3661,CAA,AI,21.1479997,787.923218,1231.27484,706.92265,945.621348,319.510123
3662,CAB,AI,11.2922159,1018.13498,1614.47498,943.570341,1211.27688,420.997973
3663,CAB,AI,18.6149713,579.318647,1421.59768,841.097187,1261.24288,395.273239
3664,CAB,AI,34.4222574,683.656501,1360.66033,832.136013,1256.59975,423.911769
3858,CAB,AI,29.1457631,743.607225,1093.26354,743.778777,985.289008,298.911371
8056,SAA,AI,24.2721492,469.42691,867.331517,559.859775,971.854606,138.141867
8060,SAA,AI,14.7954991,64.6818328,1079.92301,609.644861,663.445006,82.4575089
8061,SAA,AI,19.8184893,991.801127,1397.7352,778.565903,1503.69686,198.097844
8350,SAB,AI,7.03171696,912.721607,871.479902,626.305073,1517.97919,163.971333
8351,SAB,AI,35.0850183,888.213873,1670.68461,831.608516,283.539826,46.0310434
8352,SAB,AI,5.44435407,1049.7113,1244.95944,1099.85499,488.763215,47.5722183
8358,CAA,AI,14.5794648,72.156284,1152.44285,715.184005,741.52242,87.2460011
8364,CAB,AI,5.01201631,103.152098,1359.93173,511.171521,726.055099,93.1760734
8365,CAB,AI,3.04244143,900.263838,619.239529,566.321502,725.732951,61.1351128
8487,CAB,AI,13.202115,146.643171,984.311985,236.022789,467.576597,71.0492221
8488,CAB,AI,5.73467601,85.6194838,1012.43732,906.241257,1254.99679,121.541304
