GROUP,CODE,ID,AGE,DOB,SUBEXPT,EXPT,DELTA T
CAA,G5,9278,8,12/15/2016,10A,AGE 10,1:45
CAA,H1,9224,10,12/3/2016,10A,AGE 10,1:46
CAB,H4,9204,10,12/3/2016,10A,AGE 10,1:36
CAA,I2,9220,10,12/3/2016,10A,AGE 10,1:49
CAA,I4,9222,10,12/3/2016,10A,AGE 10,1:50
CAB,J2,8488,28,7/31/2016,10A,AGE 10,1:32
CAB,J3,8489,28,7/31/2016,10A,AGE 10,1:37
CAB,K3,8360,32,6/30/2016,10A,AGE 10,1:31
CAB,K4,8364,32,6/30/2016,10A,AGE 10,1:24
CAB,K5,8365,32,6/30/2016,10A,AGE 10,1:27
CAA,H2,9265,10,12/3/2016,10A,AGE 10,1:41
CAA,H3,9214,10,12/3/2016,10A,AGE 10,1:45
CAA,I3,9221,10,12/3/2016,10A,AGE 10,1:36
CAB,J1,8487,28,7/31/2016,10A,AGE 10,1:42
CAB,J4,8492,28,7/31/2016,10A,AGE 10,1:43
CAA,K1,8358,32,6/30/2016,10A,AGE 10,1:55
SAA,A1,8004,42,4/20/2016,10B,AGE 10,1:35
SAA,A2,8006,42,4/20/2016,10B,AGE 10,1:40
SAA,B4,9228,10,12/3/2016,10B,AGE 10,1:46
SAA,B5,9229,10,12/3/2016,10B,AGE 10,1:52
SAB,C2,8753,21,9/12/2016,10B,AGE 10,1:58
SAB,D1,8350,32,6/29/2016,10B,AGE 10,1:45
SAB,D2,8351,32,6/29/2016,10B,AGE 10,1:30
SAB,D3,8352,32,6/29/2016,10B,AGE 10,1:37
SAA,F1,8056,40,5/4/2016,10B,AGE 10,1:46
SAA,F3,8060,40,5/4/2016,10B,AGE 10,1:40
SAA,F4,8061,40,5/4/2016,10B,AGE 10,1:36
SAB,F5,8284,34,6/16/2016,10B,AGE 10,
SAB,G1,9266,8,12/15/2016,10B,AGE 10,1:51
SAA,G2,9272,8,12/15/2016,10B,AGE 10,1:52
SAB,G3,9275,8,12/15/2016,10B,AGE 10,1:46
SAB,G4,9276,8,12/15/2016,10B,AGE 10,1:41
CAA,E1,3539,100,4/20/2015,11A,AGE 11,1:32
CAA,E2,3540,100,4/20/2015,11A,AGE 11,1:36
CAA,E3,3541,100,4/20/2015,11A,AGE 11,1:41
CAA,E4,3542,100,4/20/2015,11A,AGE 11,1:40
CAA,F1,3602,98,5/1/2015,11A,AGE 11,1:49
CAA,E5,3606,98,5/1/2015,11A,AGE 11,1:45
CAA,F2,3607,98,5/1/2015,11A,AGE 11,1:31
CAA,G1,3661,97,5/8/2015,11A,AGE 11,1:36
CAB,B2,3596,98,5/1/2015,11A,AGE 11,1:49
CAB,F3,3608,98,5/1/2015,11A,AGE 11,1:49
CAB,G2,3662,97,5/8/2015,11A,AGE 11,1:35
CAB,G3,3663,97,5/8/2015,11A,AGE 11,1:40
CAB,G4,3664,97,5/8/2015,11A,AGE 11,1:45
CAB,H2,3858,92,6/15/2015,11A,AGE 11,1:42
SAA,A1,3422,103,4/2/2015,11B,AGE 11,1:32
SAA,D1,3425,103,4/2/2015,11B,AGE 11,1:28
SAA,D2,3426,103,4/2/2015,11B,AGE 11,1:28
SAA,A2,3427,103,4/2/2015,11B,AGE 11,1:39
SAA,A3,3429,103,4/2/2015,11B,AGE 11,1:43
SAA,A4,3507,101,4/16/2015,11B,AGE 11,1:38
SAA,A5,3508,101,4/16/2015,11B,AGE 11,1:44
SAA,B1,3595,98,5/1/2015,11B,AGE 11,1:33
SAB,C1,3307,101,4/10/2015,11B,AGE 11,1:31
SAB,C2,3308,101,4/10/2015,11B,AGE 11,1:41
SAB,D3,3431,103,4/2/2015,11B,AGE 11,1:47
SAB,D4,3433,103,4/2/2015,11B,AGE 11,1:26
SAB,C3,3531,101,4/10/2015,11B,AGE 11,1:35
SAB,B3,3597,98,5/1/2015,11B,AGE 11,1:33
SAB,B4,3603,98,5/1/2015,11B,AGE 11,1:38
SAB,B5,3604,98,5/1/2015,11B,AGE 11,1:42
