SUBEXPT,ID,GROUP,CODE,AGE,DOB,EXPT,DELTA.T,Mouse.ID.
AGE 10A,9214,CAA,H3,10,12/3/2016,AGE 10,1:45,9214
AGE 10A,9222,CAA,I4,10,12/3/2016,AGE 10,1:50,9222
AGE 10A,8358,CAA,K1,32,6/30/2016,AGE 10,1:55,8358
AGE 10A,9278,CAA,G5,8,12/15/2016,AGE 10,1:45,9278
AGE 10A,9224,CAA,H1,10,12/3/2016,AGE 10,1:46,9224
AGE 10A,9265,CAA,H2,10,12/3/2016,AGE 10,1:41,9265
AGE 10A,9221,CAA,I3,10,12/3/2016,AGE 10,1:36,9221
AGE 10A,9220,CAA,I2,10,12/3/2016,AGE 10,1:49,9220
AGE 10A,9204,CAB,H4,10,12/3/2016,AGE 10,1:36,9204
AGE 10A,8487,CAB,J1,28,7/31/2016,AGE 10,1:42,8487
AGE 10A,8488,CAB,J2,28,7/31/2016,AGE 10,1:32,8488
AGE 10A,8489,CAB,J3,28,7/31/2016,AGE 10,1:37,8489
AGE 10A,8492,CAB,J4,28,7/31/2016,AGE 10,1:43,8492
AGE 10A,8360,CAB,K3,32,6/30/2016,AGE 10,1:31,8360
AGE 10A,8364,CAB,K4,32,6/30/2016,AGE 10,1:24,8364
AGE 10A,8365,CAB,K5,32,6/30/2016,AGE 10,1:27,8365
AGE 10B,9228,SAA,B4,10,12/3/2016,AGE 10,1:46,9228
AGE 10B,9229,SAA,B5,10,12/3/2016,AGE 10,1:52,9229
AGE 10B,8006,SAA,A2,42,4/20/2016,AGE 10,1:40,8006
AGE 10B,9272,SAA,G2,8,12/15/2016,AGE 10,1:52,9272
AGE 10B,8004,SAA,A1,42,4/20/2016,AGE 10,1:35,8004
AGE 10B,8056,SAA,F1,40,5/4/2016,AGE 10,1:46,8056
AGE 10B,8061,SAA,F4,40,5/4/2016,AGE 10,1:36,8061
AGE 10B,8060,SAA,F3,40,5/4/2016,AGE 10,1:40,8060
AGE 10B,8753,SAB,C2,21,9/12/2016,AGE 10,1:58,8753
AGE 10B,8350,SAB,D1,32,6/29/2016,AGE 10,1:45,8350
AGE 10B,8351,SAB,D2,32,6/29/2016,AGE 10,1:30,8351
AGE 10B,8352,SAB,D3,32,6/29/2016,AGE 10,1:37,8352
AGE 10B,8284,SAB,F5,34,6/16/2016,AGE 10,,8284
AGE 10B,9266,SAB,G1,8,12/15/2016,AGE 10,1:51,9266
AGE 10B,9275,SAB,G3,8,12/15/2016,AGE 10,1:46,9275
AGE 10B,9276,SAB,G4,8,12/15/2016,AGE 10,1:41,9276
AGE 11A,3539,CAA,E1,100,4/20/2015,AGE 11,1:32,3539
