"","ID","GROUP","SUBEXPT","CODE","AGE","DOB","EXPT","DELTA.T","Mouse.ID.","VALENCE","CONTEXT","FREEZE"
"1",1296,"SAA","16A",NA,37,"2/19/2018","YOUNG","1:11",1296,"SHOCK","AA",5
"2",1298,"SAA","16A",NA,37,"2/19/2018","YOUNG","1:15",1298,"SHOCK","AA",5
"3",1302,"SAA","16A",NA,37,"2/19/2018","YOUNG","1:21",1302,"SHOCK","AA",35
"4",1303,"SAB","16A",NA,37,"2/19/2018","YOUNG","1:30",1303,"SHOCK","AB",0
"5",1536,"SAA","15A",NA,23,"4/8/2018","YOUNG","1:11",1536,"SHOCK","AA",67
"6",1537,"SAA","15A",NA,23,"8-Apr","YOUNG","1:18",1537,"SHOCK","AA",60
"7",1542,"SAA","15A",NA,24,"4/5/2018","YOUNG","1:15",1542,"SHOCK","AA",27
"8",1543,"CAA","15A",NA,24,"4/4/2018","YOUNG","1:31",1543,"CONTEXT","AA",3
"9",1544,"SAB","15A",NA,24,"4/5/2018","YOUNG","1:21",1544,"SHOCK","AB",8
"10",1546,"CAA","15A",NA,24,"4/4/2018","YOUNG","1:24",1546,"CONTEXT","AA",0
"11",1548,"SAB","15A",NA,24,"4/5/2018","YOUNG","1:26",1548,"SHOCK","AB",31
"12",1549,"SAA","15A",NA,24,"4/7/2018","YOUNG","1:45",1549,"SHOCK","AA",17
"13",1550,"SAB","15A",NA,24,"4/7/2018","YOUNG","1:40",1550,"SHOCK","AB",7
"14",1551,"SAB","15A",NA,24,"4/7/2018","YOUNG","1:36",1551,"SHOCK","AB",13
"15",1552,"CAB","15A",NA,24,"4/7/2018","YOUNG","1:30",1552,"CONTEXT","AB",0
"16",1553,"CAB","15A",NA,24,"4/5/2018","YOUNG","1:31",1553,"CONTEXT","AB",0
"17",1554,"SAA","15A",NA,24,"4/7/2018","YOUNG","1:20",1554,"SHOCK","AA",74
"18",1655,"SAA","15A",NA,20,"5/1/2018","YOUNG","1:15",1655,"SHOCK","AA",51
"19",1661,"SAB","15A",NA,20,"4/30/2018","YOUNG","1:23",1661,"SHOCK","AB",31
"20",1743,"CAA","15A",NA,18,"5/14/2018","YOUNG","1:30",1743,"CONTEXT","AA",18
"21",1744,"SAB","15A",NA,18,"5/14/2018","YOUNG","1:25",1744,"SHOCK","AB",0
"22",1751,"CAA","15A",NA,18,"5/14/2018","YOUNG","1:35",1751,"CONTEXT","AA",19
"23",1753,"CAB","15A",NA,18,"5/14/2018","YOUNG","1:27",1753,"CONTEXT","AB",4
"24",1800,"CAB","15A",NA,18,"5/14/2018","YOUNG","1:35",1800,"CONTEXT","AB",0
"25",3307,"SAB","AGE 11B","C1",101,"4/10/2015","OLD","1:31",3307,"SHOCK","AB",4
"26",3308,"SAB","AGE 11B","C2",101,"4/10/2015","OLD","1:41",3308,"SHOCK","AB",3
"27",3422,"SAA","AGE 11B","A1",103,"4/2/2015","OLD","1:32",3422,"SHOCK","AA",29
"28",3425,"SAA","AGE 11B","D1",103,"4/2/2015","OLD","1:28",3425,"SHOCK","AA",8
"29",3426,"SAA","AGE 11B","D2",103,"4/2/2015","OLD","1:28",3426,"SHOCK","AA",1
"30",3427,"SAA","AGE 11B","A2",103,"4/2/2015","OLD","1:39",3427,"SHOCK","AA",3
"31",3429,"SAA","AGE 11B","A3",103,"4/2/2015","OLD","1:43",3429,"SHOCK","AA",29
"32",3431,"SAB","AGE 11B","D3",103,"4/2/2015","OLD","1:47",3431,"SHOCK","AB",0
"33",3433,"SAB","AGE 11B","D4",103,"4/2/2015","OLD","1:26",3433,"SHOCK","AB",5
"34",3507,"SAA","AGE 11B","A4",101,"4/16/2015","OLD","1:38",3507,"SHOCK","AA",16
"35",3508,"SAA","AGE 11B","A5",101,"4/16/2015","OLD","1:44",3508,"SHOCK","AA",22
"36",3531,"SAB","AGE 11B","C3",101,"4/10/2015","OLD","1:35",3531,"SHOCK","AB",3
"37",3539,"CAA","AGE 11A","E1",100,"4/20/2015","OLD","1:32",3539,"CONTEXT","AA",8
"38",3540,"CAA","AGE 11A","E2",100,"4/20/2015","OLD","1:36",3540,"CONTEXT","AA",1
"39",3541,"CAA","AGE 11A","E3",100,"4/20/2015","OLD","1:41",3541,"CONTEXT","AA",25
"40",3542,"CAA","AGE 11A","E4",100,"4/20/2015","OLD","1:40",3542,"CONTEXT","AA",2
"41",3595,"SAA","AGE 11B","B1",98,"5/1/2015","OLD","1:33",3595,"SHOCK","AA",9
"42",3596,"CAB","AGE 11A","B2",98,"5/1/2015","OLD","1:49",3596,"CONTEXT","AB",2
"43",3597,"SAB","AGE 11B","B3",98,"5/1/2015","OLD","1:33",3597,"SHOCK","AB",7
"44",3602,"CAA","AGE 11A","F1",98,"5/1/2015","OLD","1:49",3602,"CONTEXT","AA",0
"45",3603,"SAB","AGE 11B","B4",98,"5/1/2015","OLD","1:38",3603,"SHOCK","AB",7
"46",3604,"SAB","AGE 11B","B5",98,"5/1/2015","OLD","1:42",3604,"SHOCK","AB",16
"47",3606,"CAA","AGE 11A","E5",98,"5/1/2015","OLD","1:45",3606,"CONTEXT","AA",4
"48",3607,"CAA","AGE 11A","F2",98,"5/1/2015","OLD","1:31",3607,"CONTEXT","AA",0
"49",3608,"CAB","AGE 11A","F3",98,"5/1/2015","OLD","1:49",3608,"CONTEXT","AB",1
"50",3661,"CAA","AGE 11A","G1",97,"5/8/2015","OLD","1:36",3661,"CONTEXT","AA",2
"51",3662,"CAB","AGE 11A","G2",97,"5/8/2015","OLD","1:35",3662,"CONTEXT","AB",2
"52",3663,"CAB","AGE 11A","G3",97,"5/8/2015","OLD","1:40",3663,"CONTEXT","AB",0
"53",3664,"CAB","AGE 11A","G4",97,"5/8/2015","OLD","1:45",3664,"CONTEXT","AB",6
"54",3858,"CAB","AGE 11A","H2",92,"6/15/2015","OLD","1:42",3858,"CONTEXT","AB",0
"55",8004,"SAA","AGE 10B","A1",42,"4/20/2016","YOUNG","1:35",8004,"SHOCK","AA",82
"56",8006,"SAA","AGE 10B","A2",42,"4/20/2016","YOUNG","1:40",8006,"SHOCK","AA",37
"57",8056,"SAA","AGE 10B","F1",40,"5/4/2016","YOUNG","1:46",8056,"SHOCK","AA",90
"58",8060,"SAA","AGE 10B","F3",40,"5/4/2016","YOUNG","1:40",8060,"SHOCK","AA",95
"59",8061,"SAA","AGE 10B","F4",40,"5/4/2016","YOUNG","1:36",8061,"SHOCK","AA",90
"60",8212,"CAB","16A",NA,127,"6/1/2016","OLD","1:28",8212,"CONTEXT","AB",0
"61",8216,"SAA","16A",NA,127,"6/1/2016","OLD","1:00",8216,"SHOCK","AA",11
"62",8217,"SAB","16A",NA,126,"6/5/2016","OLD","1:18",8217,"SHOCK","AB",20
"63",8221,"CAA","16A",NA,126,"6/5/2016","OLD","1:24",8221,"CONTEXT","AA",3
"64",8283,"CAB","16A",NA,125,"6/16/2016","OLD","",8283,"CONTEXT","AB",0
"65",8284,"SAB","AGE 10B","F5",34,"6/16/2016","YOUNG","",8284,"SHOCK","AB",41
"66",8350,"SAB","AGE 10B","D1",32,"6/29/2016","YOUNG","1:45",8350,"SHOCK","AB",0
"67",8351,"SAB","AGE 10B","D2",32,"6/29/2016","YOUNG","1:30",8351,"SHOCK","AB",35
"68",8352,"SAB","AGE 10B","D3",32,"6/29/2016","YOUNG","1:37",8352,"SHOCK","AB",25
"69",8358,"CAA","AGE 10A","K1",32,"6/30/2016","YOUNG","1:55",8358,"CONTEXT","AA",0
"70",8360,"CAB","AGE 10A","K3",32,"6/30/2016","YOUNG","1:31",8360,"CONTEXT","AB",2
"71",8364,"CAB","AGE 10A","K4",32,"6/30/2016","YOUNG","1:24",8364,"CONTEXT","AB",1
"72",8365,"CAB","AGE 10A","K5",32,"6/30/2016","YOUNG","1:27",8365,"CONTEXT","AB",0
"73",8366,"SAB","16A",NA,122,"1-Jul","OLD","1:16",8366,"SHOCK","AB",30
"74",8390,"CAA","16A",NA,122,"7/4/2016","OLD","1:33",8390,"CONTEXT","AA",9
"75",8487,"CAB","AGE 10A","J1",28,"7/31/2016","YOUNG","1:42",8487,"CONTEXT","AB",0
"76",8488,"CAB","AGE 10A","J2",28,"7/31/2016","YOUNG","1:32",8488,"CONTEXT","AB",0
"77",8489,"CAB","AGE 10A","J3",28,"7/31/2016","YOUNG","1:37",8489,"CONTEXT","AB",2
"78",8492,"CAB","AGE 10A","J4",28,"7/31/2016","YOUNG","1:43",8492,"CONTEXT","AB",1
"79",8753,"SAB","AGE 10B","C2",21,"9/12/2016","YOUNG","1:58",8753,"SHOCK","AB",15
"80",9204,"CAB","AGE 10A","H4",10,"12/3/2016","YOUNG","1:36",9204,"CONTEXT","AB",2
"81",9214,"CAA","AGE 10A","H3",10,"12/3/2016","YOUNG","1:45",9214,"CONTEXT","AA",0
"82",9220,"CAA","AGE 10A","I2",10,"12/3/2016","YOUNG","1:49",9220,"CONTEXT","AA",7
"83",9221,"CAA","AGE 10A","I3",10,"12/3/2016","YOUNG","1:36",9221,"CONTEXT","AA",6
"84",9222,"CAA","AGE 10A","I4",10,"12/3/2016","YOUNG","1:50",9222,"CONTEXT","AA",0
"85",9224,"CAA","AGE 10A","H1",10,"12/3/2016","YOUNG","1:46",9224,"CONTEXT","AA",1
"86",9228,"SAA","AGE 10B","B4",10,"12/3/2016","YOUNG","1:46",9228,"SHOCK","AA",2
"87",9229,"SAA","AGE 10B","B5",10,"12/3/2016","YOUNG","1:52",9229,"SHOCK","AA",16
"88",9265,"CAA","AGE 10A","H2",10,"12/3/2016","YOUNG","1:41",9265,"CONTEXT","AA",3
"89",9266,"SAB","AGE 10B","G1",8,"12/15/2016","YOUNG","1:51",9266,"SHOCK","AB",2
"90",9272,"SAA","AGE 10B","G2",8,"12/15/2016","YOUNG","1:52",9272,"SHOCK","AA",40
"91",9275,"SAB","AGE 10B","G3",8,"12/15/2016","YOUNG","1:46",9275,"SHOCK","AB",5
"92",9276,"SAB","AGE 10B","G4",8,"12/15/2016","YOUNG","1:41",9276,"SHOCK","AB",3
"93",9278,"CAA","AGE 10A","G5",8,"12/15/2016","YOUNG","1:45",9278,"CONTEXT","AA",1
