[File Name],[Mouse ID],[Image Seq],[Z-Level],[Hemi],[Bregma],[Width (px)],[Height (px)],[Ch1 Mean],[Ch2 Mean],[Ch3 Mean],[Ch4 Mean],[Ch1 SD],[Ch2 SD],[Ch3 SD],[Ch4 SD],[Ch1 Total Coronal Count],[Ch2 Total Coronal Count],[Ch3 Total Coronal Count],[Ch4 Total Coronal Count],[ROI Area (px)],[Sub-ROI],[Major-ROI],[System],[% non-zero pixels],[Ch1 <m-0.5sd],[Ch1 (m-0.5sd)-(m+0.5sd)],[Ch1 >m+0.5sd],[Ch1 Total],[Ch2 <m-0.5sd],[Ch2 (m-0.5sd)-(m+0.5sd)],[Ch2 >m+0.5sd],[Ch2 Total],[Ch3 <m-0.5sd],[Ch3 (m-0.5sd)-(m+0.5sd)],[Ch3 >m+0.5sd],[Ch3 Total],[Ch4 <m-0.5sd],[Ch4 (m-0.5sd)-(m+0.5sd)],[Ch4 >m+0.5sd],[Ch4 Total],[OL <m-0.5sd],[OL (m-0.5sd)-(m+0.5sd)],[OL >m+0.5sd],[OL Total]
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,247574,AI,AI,TEMP ASSOC CTX,5.4081,56,46,39,141,21,17,15,53,4,4,4,12,5,4,4,13,0,0,0,0
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,710314,ATN,ATN,THALAMIC,7.552,262,214,173,649,45,36,33,114,45,39,37,121,56,53,48,157,1,1,0,2
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,170869,COA,COA,OLFACTORY,6.1632,63,54,44,161,9,9,7,25,4,4,4,12,4,3,3,10,0,0,0,0
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,399028,CeA,CeA,NUCLEAR AMY,5.4715,155,131,113,399,56,46,40,142,45,39,37,121,35,28,23,86,7,5,5,17
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,1705591,Cpu,Cpu,STRIATUM,8.9117,611,528,445,1584,87,73,62,222,275,253,236,764,158,133,118,409,24,20,14,58
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,46198,EPI,EPI,THALAMIC,6.1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,256955,EP,EP,OLFACTORY,6.1318,65,57,46,168,13,12,9,34,10,9,7,26,9,8,8,25,2,2,2,6
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,2195431,FBRS,FBRS,V&F,7.8527,854,766,684,2304,319,271,232,822,468,421,372,1261,236,217,195,648,43,40,37,120
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,66027,HY,HY,HYPOTHAL,12.0258,10,8,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_01_-0.8_9266_LEFT_COUNTS.tif,9266,35,01,LEFT,-0.8,3838,4830,26154.0681,1622.9282,13055.773,15305.2964,18561.0038,2954.0009,13013.7621,12985.8249,31766,26597,18307,7752,46720,IA,IA,CORTICO-AMY,4.7688,13,13,11,37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
