"","GROUP","CODE","ID","AGE","DOB","SUBEXPT","EXPT","DELTA.T","Mouse.ID.","VALENCE","CONTEXT"
"1","CAA","G5",9278,8,"12/15/2016","10A","AGE 10","1:45","9278","CONTEXT","AA"
"2","CAA","H1",9224,10,"12/3/2016","10A","AGE 10","1:46","9224","CONTEXT","AA"
"3","CAA","K1",8358,32,"6/30/2016","10A","AGE 10","1:55","8358","CONTEXT","AA"
"4","CAA","I2",9220,10,"12/3/2016","10A","AGE 10","1:49","9220","CONTEXT","AA"
"5","CAA","I4",9222,10,"12/3/2016","10A","AGE 10","1:50","9222","CONTEXT","AA"
"6","CAA","E4",3542,100,"4/20/2015","11A","AGE 11","1:40","3542","CONTEXT","AA"
"7","CAA","E1",3539,100,"4/20/2015","11A","AGE 11","1:32","3539","CONTEXT","AA"
"8","CAA","E2",3540,100,"4/20/2015","11A","AGE 11","1:36","3540","CONTEXT","AA"
"9","CAA","E3",3541,100,"4/20/2015","11A","AGE 11","1:41","3541","CONTEXT","AA"
"10","CAA","G1",3661,97,"5/8/2015","11A","AGE 11","1:36","3661","CONTEXT","AA"
"11","CAA","H2",9265,10,"12/3/2016","10A","AGE 10","1:41","9265","CONTEXT","AA"
"12","CAA","H3",9214,10,"12/3/2016","10A","AGE 10","1:45","9214","CONTEXT","AA"
"13","CAA","I3",9221,10,"12/3/2016","10A","AGE 10","1:36","9221","CONTEXT","AA"
"14","CAA","F2",3607,98,"5/1/2015","11A","AGE 11","1:31","3607","CONTEXT","AA"
"15","CAA","F1",3602,98,"5/1/2015","11A","AGE 11","1:49","3602","CONTEXT","AA"
"16","CAA","E5",3606,98,"5/1/2015","11A","AGE 11","1:45","3606","CONTEXT","AA"
"17","CAB","J4",8492,28,"7/31/2016","10A","AGE 10","1:43","8492","CONTEXT","AB"
"18","CAB","J2",8488,28,"7/31/2016","10A","AGE 10","1:32","8488","CONTEXT","AB"
"19","CAB","G4",3664,97,"5/8/2015","11A","AGE 11","1:45","3664","CONTEXT","AB"
"20","CAB","H4",9204,10,"12/3/2016","10A","AGE 10","1:36","9204","CONTEXT","AB"
"21","CAB","G2",3662,97,"5/8/2015","11A","AGE 11","1:35","3662","CONTEXT","AB"
"22","CAB","G3",3663,97,"5/8/2015","11A","AGE 11","1:40","3663","CONTEXT","AB"
"23","CAB","K5",8365,32,"6/30/2016","10A","AGE 10","1:27","8365","CONTEXT","AB"
"24","CAB","J3",8489,28,"7/31/2016","10A","AGE 10","1:37","8489","CONTEXT","AB"
"25","CAB","K3",8360,32,"6/30/2016","10A","AGE 10","1:31","8360","CONTEXT","AB"
"26","CAB","K4",8364,32,"6/30/2016","10A","AGE 10","1:24","8364","CONTEXT","AB"
"27","CAB","J1",8487,28,"7/31/2016","10A","AGE 10","1:42","8487","CONTEXT","AB"
"28","CAB","B2",3596,98,"5/1/2015","11A","AGE 11","1:49","3596","CONTEXT","AB"
"29","CAB","F3",3608,98,"5/1/2015","11A","AGE 11","1:49","3608","CONTEXT","AB"
"30","CAB","H2",3858,92,"6/15/2015","11A","AGE 11","1:42","3858","CONTEXT","AB"
"31","SAA","A1",8004,42,"4/20/2016","10B","AGE 10","1:35","8004","SHOCK","AA"
"32","SAA","A2",8006,42,"4/20/2016","10B","AGE 10","1:40","8006","SHOCK","AA"
"33","SAA","B4",9228,10,"12/3/2016","10B","AGE 10","1:46","9228","SHOCK","AA"
"34","SAA","A1",3422,103,"4/2/2015","11B","AGE 11","1:32","3422","SHOCK","AA"
"35","SAA","D1",3425,103,"4/2/2015","11B","AGE 11","1:28","3425","SHOCK","AA"
"36","SAA","D2",3426,103,"4/2/2015","11B","AGE 11","1:28","3426","SHOCK","AA"
"37","SAA","A2",3427,103,"4/2/2015","11B","AGE 11","1:39","3427","SHOCK","AA"
"38","SAA","F1",8056,40,"5/4/2016","10B","AGE 10","1:46","8056","SHOCK","AA"
"39","SAA","F3",8060,40,"5/4/2016","10B","AGE 10","1:40","8060","SHOCK","AA"
"40","SAA","F4",8061,40,"5/4/2016","10B","AGE 10","1:36","8061","SHOCK","AA"
"41","SAA","B1",3595,98,"5/1/2015","11B","AGE 11","1:33","3595","SHOCK","AA"
"42","SAA","B5",9229,10,"12/3/2016","10B","AGE 10","1:52","9229","SHOCK","AA"
"43","SAA","G2",9272,8,"12/15/2016","10B","AGE 10","1:52","9272","SHOCK","AA"
"44","SAA","A4",3507,101,"4/16/2015","11B","AGE 11","1:38","3507","SHOCK","AA"
"45","SAA","A5",3508,101,"4/16/2015","11B","AGE 11","1:44","3508","SHOCK","AA"
"46","SAA","A3",3429,103,"4/2/2015","11B","AGE 11","1:43","3429","SHOCK","AA"
"47","SAB","G1",9266,8,"12/15/2016","10B","AGE 10","1:51","9266","SHOCK","AB"
"48","SAB","G3",9275,8,"12/15/2016","10B","AGE 10","1:46","9275","SHOCK","AB"
"49","SAB","G4",9276,8,"12/15/2016","10B","AGE 10","1:41","9276","SHOCK","AB"
"50","SAB","D3",8352,32,"6/29/2016","10B","AGE 10","1:37","8352","SHOCK","AB"
"51","SAB","C2",8753,21,"9/12/2016","10B","AGE 10","1:58","8753","SHOCK","AB"
"52","SAB","D1",8350,32,"6/29/2016","10B","AGE 10","1:45","8350","SHOCK","AB"
"53","SAB","D2",8351,32,"6/29/2016","10B","AGE 10","1:30","8351","SHOCK","AB"
"54","SAB","F5",8284,34,"6/16/2016","10B","AGE 10","","8284","SHOCK","AB"
"55","SAB","C1",3307,101,"4/10/2015","11B","AGE 11","1:31","3307","SHOCK","AB"
"56","SAB","C2",3308,101,"4/10/2015","11B","AGE 11","1:41","3308","SHOCK","AB"
"57","SAB","D3",3431,103,"4/2/2015","11B","AGE 11","1:47","3431","SHOCK","AB"
"58","SAB","D4",3433,103,"4/2/2015","11B","AGE 11","1:26","3433","SHOCK","AB"
"59","SAB","C3",3531,101,"4/10/2015","11B","AGE 11","1:35","3531","SHOCK","AB"
"60","SAB","B3",3597,98,"5/1/2015","11B","AGE 11","1:33","3597","SHOCK","AB"
"61","SAB","B4",3603,98,"5/1/2015","11B","AGE 11","1:38","3603","SHOCK","AB"
"62","SAB","B5",3604,98,"5/1/2015","11B","AGE 11","1:42","3604","SHOCK","AB"
