FREEZE,ID
0,9214
0,9222
0,8358
1,9278
1,9224
3,9265
6,9221
7,9220
2,9204
0,8487
0,8488
2,8489
1,8492
2,8360
1,8364
0,8365
2,9228
16,9229
37,8006
40,9272
82,8004
90,8056
90,8061
95,8060
15,8753
0,8350
35,8351
25,8352
41,8284
2,9266
5,9275
3,9276
8,3539
1,3540
25,3541
2,3542
0,3602
4,3606
0,3607
2,3661
2,3596
1,3608
2,3662
0,3663
6,3664
0,3858
29,3422
8,3425
1,3426
3,3427
29,3429
16,3507
22,3508
9,3595
4,3307
3,3308
0,3431
5,3433
3,3531
7,3597
7,3603
16,3604
6,9941
48,9358
31,9957
4,9973
11,9967
28,9958
46,9970
22,9956
2,9971
0,9854
3,9855
0,299
29,9851
0,124
3,130
2,136
30,8366
9,8390
0,8212
11,8216
20,8217
3,8221
0,8283
5,1296
5,1298
35,1302
0,1303
67,1536
60,1537
3,1543
0,1546
27,1542
8,1544
31,1548
0,1553
17,1549
7,1550
13,1551
0,1552
74,1554
0,1744
18,1743
0,1800
51,1655
31,1661
19,1751
4,1753
