"","old fn ","new fn","old b","new b"
"1",NA,NA,NA,NA
"2","10_01_1.6_8489_RIGHT_COUNTS.tif","10_01_2.2_8489_RIGHT_COUNTS.tif","1.6","2.2"
"3","10_01_2.5_8489_LEFT_COUNTS.tif","10_01_2.5_8489_LEFT_COUNTS.tif","2.5","2.5"
"4","100_01_-3.5_8489_LEFT_COUNTS.tif","100_01_-3.5_8489_LEFT_COUNTS.tif","-3.5","-3.5"
"5","100_01_-3.5_8489_RIGHT_COUNTS.tif","100_01_-3.5_8489_RIGHT_COUNTS.tif","-3.5","-3.5"
"6","103_01_-3.3_8489_RIGHT_COUNTS.tif","103_01_-3.3_8489_RIGHT_COUNTS.tif","-3.3","-3.3"
"7","103_01_-3.5_8489_LEFT_COUNTS.tif","103_01_-3.5_8489_LEFT_COUNTS.tif","-3.5","-3.5"
"8","106_01_-3.5_8489_RIGHT_COUNTS.tif","106_01_-3.4_8489_RIGHT_COUNTS.tif","-3.5","-3.4"
"9","109_01_-3.4_8489_LEFT_COUNTS.tif","109_01_-3.4_8489_LEFT_COUNTS.tif","-3.4","-3.4"
"10","109_01_-3.5_8489_RIGHT_COUNTS.tif","109_01_-3.3_8489_RIGHT_COUNTS.tif","-3.5","-3.3"
"11","16_01_1.6_8489_LEFT_COUNTS.tif","16_01_1.6_8489_LEFT_COUNTS.tif","1.6","1.6"
"12","16_01_2.5_8489_RIGHT_COUNTS.tif","16_01_2.5_8489_RIGHT_COUNTS.tif","2.5","2.5"
"13","22_01_2.5_8489_LEFT_COUNTS.tif","22_01_2.2_8489_LEFT_COUNTS.tif","2.5","2.2"
"14","22_01_2.5_8489_RIGHT_COUNTS.tif","22_01_2.5_8489_RIGHT_COUNTS.tif","2.5","2.5"
"15","31_01_-0.4_8489_LEFT_COUNTS.tif","31_01_-0.5_8489_LEFT_COUNTS.tif","-0.4","-0.5"
"16","31_01_-0.4_8489_RIGHT_COUNTS.tif","31_01_-0.4_8489_RIGHT_COUNTS.tif","-0.4","-0.4"
"17","37_01_2.4_8489_LEFT_COUNTS.tif","37_01_-0.9_8489_LEFT_COUNTS.tif","2.4","-0.9"
"18","40_01_-0.1_8489_LEFT_COUNTS.tif","40_01_-0.1_8489_LEFT_COUNTS.tif","-0.1","-0.1"
"19","40_01_-0.1_8489_RIGHT_COUNTS.tif","40_01_0_8489_RIGHT_COUNTS.tif","-0.1","0"
"20","43_01_1.6_8489_RIGHT_COUNTS.tif","43_01_0.6_8489_RIGHT_COUNTS.tif","1.6","0.6"
"21","43_01_2.2_8489_LEFT_COUNTS.tif","43_01_0.6_8489_LEFT_COUNTS.tif","2.2","0.6"
"22","46_01_-0.5_8489_RIGHT_COUNTS.tif","46_01_-0.4_8489_RIGHT_COUNTS.tif","-0.5","-0.4"
"23","46_01_-0.7_8489_LEFT_COUNTS.tif","46_01_-0.7_8489_LEFT_COUNTS.tif","-0.7","-0.7"
